benchmark,variant,probe_row,source_row,hull,speed_case,motion_test,coefficient,omega_e_sqrt_l_over_g,reference_value,computed_value,raw_computed_value,gate_error_ratio,status,provider_route,provider_formulation,solver_status,matched_apply_local_time_phase,matched_local_time_phase_gradient_correction,candidate_default_gate_eligible,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,default_no_local_time_phase,0,0,wigley_iii,Fn0.4,forced_heave,A33,1.68,1.035,1.3977360431730068,4.135867227726948,2.3364640462029436,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,1,0,wigley_iii,Fn0.4,forced_heave,A33,1.68,1.035,1.1756960773479972,3.478856326143149,0.9062549265571485,PASS,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,2,0,wigley_iii,Fn0.4,forced_heave,A33,1.68,1.035,1.1756960773479972,3.478856326143149,0.9062549265571485,PASS,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,3,1,wigley_iii,Fn0.4,forced_heave,A53,1.68,0.14,1.5025862940395698,4.446116590255758,32.442530810465946,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,4,1,wigley_iii,Fn0.4,forced_heave,A53,1.68,0.14,1.395442329884223,4.1290801854472425,29.89148404486245,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,5,1,wigley_iii,Fn0.4,forced_heave,A53,1.68,0.14,1.395442329884223,4.1290801854472425,29.89148404486245,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,6,2,wigley_iii,Fn0.4,forced_heave,A33,2.23,0.712,1.3977360431730068,4.135867227726948,6.420749467912049,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,7,2,wigley_iii,Fn0.4,forced_heave,A33,2.23,0.712,1.0415838722422106,3.082021547041325,3.0859913131293135,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,8,2,wigley_iii,Fn0.4,forced_heave,A33,2.23,0.712,1.0415838722422106,3.082021547041325,3.0859913131293135,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,9,3,wigley_iii,Fn0.4,forced_heave,A53,2.23,0.07,1.5025862940395698,4.446116590255758,68.21839495426522,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
