benchmark,candidate_name,candidate_operation,omega_e_sqrt_l_over_g,omega_rad_s,candidate_force_real,candidate_force_imag,candidate_force_abs,candidate_force_phase_deg,reference_force_real,reference_force_imag,reference_force_abs,reference_force_phase_deg,reference_minus_candidate_phase_deg,candidate_abs_over_reference_abs,candidate_force_residual_norm,candidate_status,current_default_residual_norm,residual_improvement_vs_current,diagnostic_conclusion,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,current_time_plus_gradient_plus_end,Current Eq.30/Eq.32 component composition: time + pressure-gradient + end-contour.,1.67,3.019368928821606,7.832711255015859,-50.77464431797524,51.37524570472969,-81.23043922948008,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-72.65415807577722,0.11591586912528448,0.9717605061273294,PASS,0.9717605061273294,0.0,current_time_pressure_phase_baseline,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_sign_flipped_plus_gradient_end,"Flip only the time-pressure force component, then add pressure-gradient and end-contour.",1.67,3.019368928821606,-44.016745621088184,25.437124622391444,50.838186475588,149.97653165876517,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,56.13887103597756,0.11470412431581911,0.9409223758941448,PASS,0.9717605061273294,0.030838130233184602,time_pressure_phase_candidate_partially_closes_cell35,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_plus_90_plus_gradient_end,"Rotate only the time-pressure force component by +90 degrees, then add pressure-gradient and end-contour.",1.67,3.019368928821606,20.01386728714718,13.255968590260123,24.005740710369736,33.51806936988874,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,172.59733332485393,0.0541631725604099,1.053734839688116,FAIL,0.9717605061273294,-0.08197433356078665,time_pressure_phase_candidate_worsens_or_not_decisive,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_minus_90_plus_gradient_end,"Rotate only the time-pressure force component by -90 degrees, then add pressure-gradient and end-contour.",1.67,3.019368928821606,-56.1979016532195,-38.59348828584392,68.17375952882827,-145.52095848615176,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-8.363638819105546,0.15381766994828724,0.8481133688102,PASS,0.9717605061273294,0.1236471373171294,time_pressure_phase_candidate_partially_closes_cell35,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_omitted_gradient_end,Omit time-pressure and retain pressure-gradient plus end-contour.,1.67,3.019368928821606,-18.092017183036162,-12.668759847791899,22.086614992621662,-144.99873980376503,-397.9637127813165,-195.09308812402497,443.21149547869214,-153.8845973052573,-8.885857501492268,0.04983312756535553,0.9507961282743234,PASS,0.9717605061273294,0.02096437785300609,time_pressure_phase_candidate_partially_closes_cell35,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_time_plus_gradient_plus_end,Current Eq.30/Eq.32 component composition: time + pressure-gradient + end-contour.,2.23,4.031851922917474,20.28780386976945,-66.17148626974931,69.21170840981932,-72.95475633463009,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,-79.36087917537374,0.15719158457384266,0.983192252524359,PASS,0.983192252524359,0.0,current_time_pressure_phase_baseline,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_sign_flipped_plus_gradient_end,"Flip only the time-pressure force component, then add pressure-gradient and end-contour.",2.23,4.031851922917474,-64.26465207579686,50.72487438489492,81.87159695392896,141.71553683074046,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,65.96882765925568,0.18594434890373598,0.9397498205956587,PASS,0.983192252524359,0.04344243192870034,time_pressure_phase_candidate_partially_closes_cell35,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_plus_90_plus_gradient_end,"Rotate only the time-pressure force component by +90 degrees, then add pressure-gradient and end-contour.",2.23,4.031851922917474,36.45975622430841,34.55292203035596,50.2316458497216,43.4618619213408,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,164.2225025686554,0.11408462799553712,1.1102199100618113,FAIL,0.983192252524359,-0.12702765753745227,time_pressure_phase_candidate_worsens_or_not_decisive,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_phase_minus_90_plus_gradient_end,"Rotate only the time-pressure force component by -90 degrees, then add pressure-gradient and end-contour.",2.23,4.031851922917474,-80.43660443033582,-49.99953391521035,94.71008776271191,-148.1348436242575,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,-4.180791885746316,0.21510274941336696,0.7856261719391987,PASS,0.983192252524359,0.19756608058516034,time_pressure_phase_candidate_partially_closes_cell35,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_pressure_omitted_gradient_end,Omit time-pressure and retain pressure-gradient plus end-contour.,2.23,4.031851922917474,-21.988424103013703,-7.723305942427192,23.305369536103157,-160.64647185957963,-389.896080831075,-204.564311467425,440.30161409376393,-152.31563551000383,8.330836349575804,0.05293046582186771,0.9476590906037006,PASS,0.983192252524359,0.035533161920658474,time_pressure_phase_candidate_partially_closes_cell35,False,Time-pressure phase variants are diagnostic-only.  A sign or phase operation cannot enter matched_bie_station_sweep unless it is derived from the pressure convention and passes the complete Ma 2005 Gate 1.,diagnostic_journee_cell35_time_pressure_phase_candidate_not_hard_gate,INFO
