benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,free_surface_normal_derivative_source,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_inner_free_surface_normal_derivative_norm_max,matched_pitch_inner_free_surface_normal_derivative_norm_max,matched_heave_free_surface_potential_increment_to_normal_derivative_gain_max,matched_heave_free_surface_potential_increment_normal_derivative_phase_deg_median,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,current_raw,0,Current default: propagate the raw BIE-solved inner free-surface normal derivative.,True,False,raw,1.07,1.0181504124660368,81.40112547665964,0.9515424415570437,0.05184958753396329,0.04845755844295634,0.15,0.0,0.1605,0.323050389619709,0.323050389619709,0.0,relative,PASS,1.6025107101110088,0.8246633972428078,1.9409617391086629,2.132916745486488,0.08575282160756105,108.54897470547546,36273.83721574658,9.725907875528648,-0.3573324133930934,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,real_part_only,1,Propagate only the real part of the BIE-solved free-surface normal derivative.,False,True,real_part_only,1.07,0.8593081129207841,68.7016836280167,0.8030916943184898,0.21069188707921593,0.19690830568151022,0.15,0.0,0.1605,1.3127220378767348,0.323050389619709,0.9896716482570258,relative,FAIL,1.31733632361374,0.7459633019372991,2.1106260522549576,1.9371996538983987,0.14286715022207247,-117.86711777995676,61664.58220260459,16.192730450513242,-0.1207104783938353,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,imaginary_part_only,2,Propagate only the imaginary/quadrature part of the BIE-solved free-surface normal derivative.,False,True,imaginary_part_only,1.07,0.9461343360988849,75.64344017110585,0.8842376972886774,0.1238656639011152,0.11576230271132261,0.15,0.0,0.1605,0.7717486847421507,0.323050389619709,0.44869829512244175,relative,PASS,1.4932854692820743,0.5615468797431246,1.751863210779771,1.8264454686754588,0.1309753277860226,64.0287101199012,36293.14127375082,9.728889488814486,-0.24295545389922985,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,phase_lead_90,3,Rotate the BIE-solved free-surface normal derivative by +90 degrees before marching.,False,True,phase_lead_90,1.07,1.3793934439091073,110.28250584053313,1.2891527513169225,0.3093934439091073,0.2891527513169227,0.15,0.0,0.1605,1.9276850087794846,0.323050389619709,1.6046346191597756,relative,FAIL,9.721976562495295,12.315043478610724,40.32474085735717,50.6474957376548,0.11153908347316682,-49.80028264347597,36349.43108329698,9.743704574168172,-0.3414173318649826,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,phase_lag_90,4,Rotate the BIE-solved free-surface normal derivative by -90 degrees before marching.,False,True,phase_lag_90,1.07,-0.9713201549816232,-77.65704639078078,-0.9077758457772179,2.0413201549816233,1.907775845777218,0.15,0.0,0.1605,12.718505638514786,0.323050389619709,12.395455248895077,relative,FAIL,29.329478067016453,30.3368407730256,114.48912549287577,123.87452561056708,0.059355164815791825,50.32202554094131,36178.5340721691,9.698020528853238,-2.1306745005325096,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,body_velocity_norm_normalized,5,Keep the BIE-solved phase pattern but scale its norm to the local body normal-velocity norm.,False,True,body_velocity_norm_normalized,1.07,1.6747042870584323,133.89260775032167,1.5651441935125534,0.6047042870584323,0.5651441935125535,0.15,0.0,0.1605,3.7676279567503568,0.323050389619709,3.444577567130648,relative,FAIL,1.357267678443893,1.519526609239058,0.6345970062897245,2.17523665081821,0.6637512887165056,106.55528556837044,36323.927978580854,9.753072091380078,-0.09679590808420448,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,current_raw,0,Current default: propagate the raw BIE-solved inner free-surface normal derivative.,True,False,raw,0.941,0.8954918095166653,71.5945701708574,0.9516384798264244,0.045508190483334654,0.04836152017357562,0.15,0.0,0.14115,0.3224101344905041,0.3224101344905041,0.0,relative,PASS,1.6769432816274554,0.8298989053864633,2.3494975921786416,2.2935178228922717,0.08266794363942438,109.4685200166005,36448.98738627265,8.751562504504902,-0.28889524358281377,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,real_part_only,1,Propagate only the real part of the BIE-solved free-surface normal derivative.,False,True,real_part_only,0.941,0.7781902391846572,62.21630962281335,0.8269821882940035,0.1628097608153427,0.1730178117059965,0.15,0.0,0.14115,1.1534520780399766,0.3224101344905041,0.8310419435494725,relative,FAIL,1.2810051611705957,0.750061953891998,2.454030519308576,2.135300042515104,0.1307921711978001,-113.59807048650096,36424.17118551869,8.745374695645841,-0.06559209541362482,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,imaginary_part_only,2,Propagate only the imaginary/quadrature part of the BIE-solved free-surface normal derivative.,False,True,imaginary_part_only,0.941,0.9038476588687165,72.26262032655389,0.9605182347170207,0.037152341131283406,0.03948176528297918,0.15,0.0,0.14115,0.2632117685531945,0.3224101344905041,-0.059198365937309594,relative,PASS,1.5948001812565133,0.6102301357326735,2.0480957585262094,1.90055992800507,0.1218760955146068,61.1711971755858,36472.827765862145,8.754881934950204,-0.22974522191363111,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,phase_lead_90,3,Rotate the BIE-solved free-surface normal derivative by +90 degrees before marching.,False,True,phase_lead_90,0.941,1.2835000922516335,102.61583237551811,1.3639745932535958,0.3425000922516336,0.36397459325359577,0.15,0.0,0.14115,2.426497288357305,0.3224101344905041,2.104087153866801,relative,FAIL,10.058898115286516,12.907298148609636,42.028126043520494,53.00864796614507,0.11421459113317521,-51.22416531765169,36535.46322953185,8.76962866790602,-0.3713635704430945,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_normal_derivative_source_candidate_not_hard_gate
