coefficient,PASS,FAIL,NOT_EVALUATED,total,pass_fraction
A33,2,0,0,2,1.0
B33,1,0,0,1,1.0
A53,2,0,0,2,1.0
B53,1,0,0,1,1.0
A35,1,0,0,1,1.0
B35,1,0,0,1,1.0
A55,1,0,0,1,1.0
B55,0,1,0,1,0.0
