benchmark,row,coefficient,prefix,mode_column,generalized_row,variant_name,variant_description,reference_value,current_computed_value,computed_value,scale_factor_applied_to_current_value,omega_e_rad_s,omega_e_sqrt_l_over_g,gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,status,phase_rotation_not_represented,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,current_unit_displacement,Current default body condition scale; heave uses i*omega*N3 and pitch uses i*omega*N5 plus U*m5.,1.07,1.0181504124660368,1.0181504124660368,1.0,3.616010693199528,2.0,0.323050389619709,0.323050389619709,0.0,PASS,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_dimensional_omega_unit_velocity_proxy,Real-amplitude proxy for interpreting the solved potential as unit velocity in SI time units.,1.07,1.0181504124660368,0.28156731239230776,0.27654785476178373,3.616010693199528,2.0,4.912353193817398,0.323050389619709,4.589302804197689,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_dimensional_omega2_unit_acceleration_proxy,Real-amplitude proxy for interpreting the solved potential as unit acceleration in SI time units.,1.07,1.0181504124660368,0.0778668362131337,0.07647871597334462,3.616010693199528,2.0,6.181515039170507,0.323050389619709,5.858464649550798,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_nondimensional_omega_unit_velocity_proxy,Real-amplitude proxy for interpreting the solved potential with A1 nondimensional encounter frequency.,1.07,1.0181504124660368,0.5090752062330184,0.5,3.616010693199528,2.0,3.494858528143188,0.323050389619709,3.1718081385234793,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_nondimensional_omega2_unit_acceleration_proxy,Real-amplitude proxy for removing two powers of the A1 nondimensional encounter frequency.,1.07,1.0181504124660368,0.2545376031165092,0.25,3.616010693199528,2.0,5.080762597404927,0.323050389619709,4.757712207785218,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,multiply_dimensional_omega_proxy,Opposite real-amplitude proxy: tests whether one dimensional omega is missing upstream.,1.07,1.0181504124660368,3.6816427787626993,3.616010693199528,3.616010693199528,2.0,16.271917624689717,0.323050389619709,15.948867235070008,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,multiply_nondimensional_omega_proxy,Opposite real-amplitude proxy: tests whether one nondimensional omega is missing upstream.,1.07,1.0181504124660368,2.0363008249320735,2.0,3.616010693199528,2.0,6.0205658874272485,0.323050389619709,5.697515497807539,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,A,heave,heave_force,current_unit_displacement,Current default body condition scale; heave uses i*omega*N3 and pitch uses i*omega*N5 plus U*m5.,0.941,0.8954918095166653,0.8954918095166653,1.0,4.031851922917474,2.23,0.3224101344905041,0.3224101344905041,0.0,PASS,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,A,heave,heave_force,remove_dimensional_omega_unit_velocity_proxy,Real-amplitude proxy for interpreting the solved potential as unit velocity in SI time units.,0.941,0.8954918095166653,0.22210433980141855,0.2480249818491334,4.031851922917474,2.23,5.093132555427427,0.3224101344905041,4.770722420936924,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,A,heave,heave_force,remove_dimensional_omega2_unit_acceleration_proxy,Real-amplitude proxy for interpreting the solved potential as unit acceleration in SI time units.,0.941,0.8954918095166653,0.05508742484786058,0.06151639162126295,4.031851922917474,2.23,6.276390897287563,0.3224101344905041,5.953980762797059,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
