benchmark,candidate_name,candidate_order,known_potential_rhs_scale,unknown_normal_column_scale,row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,improved_row_count,worsened_row_count,median_heave_free_surface_potential_norm_max,median_heave_inner_free_surface_normal_derivative_norm_max,median_selected_body_pressure_to_body_potential_gain_max,max_abs_selected_pressure_gradient_component_value,candidate_gate_status,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,current_default,0,1.0,1.0,10,9,1,0.9,0.6007843054704187,2.0832706213366734,0.0,0.0,0,0,1.6769432816274554,2.3494975921786416,36273.83721574658,0.3573324133930934,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,both_free_blocks_one_over_2pi,8,0.15915494309189535,0.15915494309189535,10,9,1,0.9,0.6007843054704185,2.0832706213366743,0.0,1.4432899320127035e-15,3,4,10.536545388095146,14.762328750430655,36273.83721574659,0.3573324133930935,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,both_free_blocks_2pi,11,6.283185307179586,6.283185307179586,10,9,1,0.9,0.6007843054704187,2.0832706213366743,0.0,1.1102230246251565e-15,3,2,0.26689381255575384,0.37393415557773696,36273.8372157466,0.3573324133930934,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,known_phi_free_rhs_removed,1,0.0,1.0,10,0,10,0.0,3.316422665747261,6.644165155124139,2.6754321398724485,5.9223339773452786,0,10,5.315490578943306,1.6790229511726384,36696.47207135686,0.16295036865166426,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_2pi,10,1.0,6.283185307179586,10,0,10,0.0,3.1119758072676236,7.246688975050713,2.482703819663542,5.1634183537140395,0,10,0.6330946784923936,0.3103515802202491,36271.03779250785,0.23563793299481187,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,known_phi_free_rhs_one_over_2pi,6,0.15915494309189535,1.0,10,0,10,0.0,3.1119758072676236,7.246688975050715,2.4827038196635414,5.163418353714041,0,10,3.977851181956991,1.9499964888998356,36271.037792507836,0.23563793299481187,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_one_over_2pi,7,1.0,0.15915494309189535,10,1,9,0.1,3.563800190596451,17.024885757385054,2.973301314044264,16.429541176542365,1,9,1.7140924095247894,6.34992288383984,36551.09471034196,0.4247521413839743,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,known_phi_free_rhs_2pi,9,6.283185307179586,1.0,10,1,9,0.1,3.563800190596452,17.024885757385054,2.973301314044265,16.429541176542365,1,9,0.2728062798921676,1.010621615215454,36551.0947103419,0.42475214138397427,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,known_phi_free_rhs_flipped,2,-1.0,1.0,10,1,9,0.1,47.648576988102555,133.33773016137798,47.18425990580823,132.57491371422864,1,9,214.78032625302436,893.4814164649448,36285.714443403194,18.027592250843043,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_flipped,4,1.0,-1.0,10,1,9,0.1,47.648576988102555,133.33773016137798,47.18425990580823,132.57491371422864,1,9,214.78032625302436,893.4814164649448,36285.714443403194,18.027592250843043,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,unknown_phi_n_free_column_removed,3,1.0,0.0,10,0,10,0.0,,,,,0,0,,,,,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,both_free_blocks_removed,5,0.0,0.0,10,0,10,0.0,,,,,0,0,,,,,FAIL,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,INFO
