benchmark,source_row,coefficient,reference_value,computed_value,gate_error_ratio,coefficient_status,pressure_gradient_integral_value,stokes_body_forward_integral_value,end_contour_integral_value,reported_pressure_gradient_component_value,reported_stokes_body_forward_component_value,reported_end_contour_component_value,reported_forward_identity_residual_value,station_integral_forward_identity_residual_value,station_integral_closure_residual,abs_forward_identity_residual_sum,peak_abs_residual_station_index,peak_abs_residual_x_over_l,peak_abs_residual_share,first_station_abs_residual_share,configured_end_abs_residual_share,residual_abs_centroid_x_over_l,max_station_residual_to_pressure_gradient_abs_ratio,max_station_residual_to_stokes_plus_end_abs_ratio,abs_pressure_gradient_contribution_sum,abs_stokes_plus_end_contribution_sum,diagnostic_conclusion,remaining_blocker,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,0,A33,1.07,1.0181504124660368,0.323050389619709,PASS,-0.35733241339309335,0.0,0.0,-0.3573324133930934,0.0,0.0,-0.3573324133930934,-0.35733241339309335,5.551115123125783e-17,0.4304789235358622,21,0.5499999999999999,0.05975847647523306,0.01019313361930624,0.01019313361930624,0.5006994451575979,1.0,2.572476462520147e+298,0.4304789235358622,0.0,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,0.941,0.8954918095166653,0.3224101344905041,PASS,-0.28889524358281365,0.0,0.0,-0.28889524358281377,0.0,0.0,-0.28889524358281377,-0.28889524358281365,1.1102230246251565e-16,0.3658650746805173,21,0.5499999999999999,0.06103294171480781,0.009588597576537784,0.009588597576537784,0.510529050125443,1.0,2.232982177845982e+298,0.3658650746805173,0.0,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,6,A35,-0.125,-0.11322998555308025,0.3138670519178599,PASS,-0.015326903125125014,0.0,0.0,-0.015326903125125009,0.0,0.0,-0.015326903125125009,-0.015326903125125014,-5.204170427930421e-18,0.07573596491720119,10,0.27499999999999997,0.05070489205946262,0.007160592390676795,0.007160592390676795,0.4670217313373285,1.0,3.840183926145934e+297,0.07573596491720119,0.0,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,3,A53,0.19,0.15544523028440557,0.606224030098148,PASS,0.03067572603923422,0.1649096281135736,0.0,0.03067572603923421,0.16490962811357357,0.0,-0.13423390207433936,-0.13423390207433938,-2.7755575615628914e-17,0.16747640977518688,13,0.35000000000000003,0.06501240168675139,0.009869806082788365,0.009869806082788365,0.3686311373381163,6.550283839497816e+297,2.94734555609125e+17,0.0616382891894286,0.1649096281135736,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,4,A53,0.145,0.11550117901521131,0.6781338157422685,PASS,0.03460960130056612,0.14367320362190794,0.0,0.03460960130056612,0.1436732036219079,0.0,-0.1090636023213418,-0.10906360232134184,-4.163336342344337e-17,0.1403325149788247,13,0.35000000000000003,0.06460857598991417,0.009475069017585479,0.009475069017585479,0.3818169348739364,5.968181390197674e+297,1.0846653891416522e+16,0.05410104632815359,0.14367320362190794,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,8,A55,0.0458,0.04055945100808402,0.7628164471493417,PASS,-0.0072563875001225775,0.01128816412051383,0.0,-0.0072563875001225775,0.01128816412051383,0.0,-0.018544551620636406,-0.01854455162063641,-3.469446951953614e-18,0.023470925221329854,7,0.19999999999999998,0.06413396019316431,0.008623626399334292,0.008623626399334292,0.42626063665928265,6.841295868616891e+294,33.51546799003841,0.015844777101262295,0.011469509718866627,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,2,B33,2.05,1.7861811857284653,0.8579473634846653,PASS,-0.1952537076843343,0.0,0.0,-0.1952537076843343,-0.0,-0.0,-0.1952537076843343,-0.1952537076843343,0.0,1.039521733425575,10,0.27499999999999997,0.04028096342605121,0.001403623830538646,0.001403623830538646,0.47712112062032486,1.0,4.187293692470095e+298,1.039521733425575,0.0,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,7,B35,0.163,0.1403372783872581,0.4634503397288734,PASS,0.12631188674571225,0.0,0.0,0.12631188674571228,-0.0,-0.0,0.12631188674571228,0.12631188674571225,-2.7755575615628914e-17,0.3312684673562298,17,0.44999999999999996,0.057489668747617774,0.00411050540572312,0.00411050540572312,0.487113261274294,1.0,1.904451445484068e+298,0.3312684673562298,0.0,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,5,B53,-0.106,-0.12493195767079752,0.5953445808426896,PASS,-0.25421966432905063,-0.3581967238066662,0.0,-0.2542196643290507,-0.3581967238066661,-0.0,0.10397705947761543,0.10397705947761557,1.3877787807814457e-16,0.33952883647888815,20,0.525,0.05487131441284755,0.0027305442372539354,0.0027305442372539354,0.4846415089544674,1.8223566663361286e+298,84.93844671963225,0.2546717990135227,0.3608547365682034,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,9,B55,0.0703,0.04833191129800478,2.0832706213366734,FAIL,0.023509718897410794,0.0452919942212321,0.0,0.023509718897410787,0.045291994221232104,-0.0,-0.021782275323821317,-0.02178227532382132,-3.469446951953614e-18,0.08729031290672014,24,0.625,0.05313923166990655,0.00782824882563968,0.00782824882563968,0.5044318754389799,2.4846442893060883e+297,692.7564365829089,0.05977459111150785,0.0662373755382973,residual_distributed_along_station_sweep,"Audit whether Eq.31 pressure-gradient density, Eq.32 Stokes body row, and Eq.32 end contour use the same station indexing, generalized-force sign, and longitudinal derivative convention.",diagnostic_station_forward_identity_localization_not_hard_gate,INFO
