benchmark,candidate_family,candidate_name,row_count,affected_coefficients,pass_count,improved_row_count,worsened_row_count,max_gate_error_ratio,median_gate_error_ratio,candidate_default_gate_eligible,candidate_exclusion_reason,source_files,diagnostic_conclusion,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,pitch_moment_complex_scale_requirement,replace_gradient_with_scaled_stokes_moment,2,all_or_summary_defined,2,2,0,0.032148252738801945,0.018684119733267664,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_pitch_moment_complex_scale_requirement_summary.csv,real_scale_closes_pitch_pair_but_requires_formula_trace,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,pitch_moment_complex_scale_requirement,scale_eq32_stokes_plus_end_moment_keep_time,2,all_or_summary_defined,2,2,0,0.032148252738801945,0.018684119733267664,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_pitch_moment_complex_scale_requirement_summary.csv,real_scale_closes_pitch_pair_but_requires_formula_trace,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,zero_m3_transport_scale_requirement,add_panel_normal_variation,3,all_or_summary_defined,3,3,0,0.24482061164627855,0.08081686658920433,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_zero_m3_transport_scale_requirement_summary.csv,median_zero_m3_scale_closes_subset_but_requires_full_gate1_and_derivation,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,zero_m3_transport_scale_requirement,subtract_panel_normal_variation,3,all_or_summary_defined,3,3,0,0.24482061164627855,0.08081686658920433,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_zero_m3_transport_scale_requirement_summary.csv,median_zero_m3_scale_closes_subset_but_requires_full_gate1_and_derivation,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_control_row_scale_requirement,clip_two_zone_body_free_control_row_scale,4,"A33,A53",4,0,0,0.6109531225432482,0.4050389454698343,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_control_row_scale_requirement_summary.csv,shared_control_row_scale_closes_a33_a53_subset_but_untraced,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_geometry_rhs_marching_cross_candidate,clip_two_zone_two_substeps,4,all_or_summary_defined,4,2,2,0.6492847999495386,0.5634977875248336,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_geometry_rhs_marching_cross_summary.csv,a33_a53_subset_closed_but_requires_full_gate_and_trace_before_default,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_geometry_rhs_marching_cross_candidate,waterline_clipped_two_zone,4,all_or_summary_defined,4,2,2,0.6506737010946394,0.49846747809580844,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_geometry_rhs_marching_cross_summary.csv,a33_a53_subset_closed_but_requires_full_gate_and_trace_before_default,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_geometry_candidate,waterline_clipped_two_zone_free_surface,4,all_or_summary_defined,4,2,2,0.6506737010946394,0.49846747809580844,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_geometry_candidate_summary.csv,waterline_clipping_closes_a33_a53_subset_but_still_requires_full_gate,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,clip_two_zone_all_rows,4,"A33,A53",4,2,2,0.6506737010946394,0.49846747809580844,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_a53_subset_but_requires_full_gate_and_trace,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_geometry_rhs_marching_cross_candidate,current_default,4,all_or_summary_defined,4,1,1,0.6781338157422685,0.4646372098589285,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_geometry_rhs_marching_cross_summary.csv,a33_a53_subset_closed_but_requires_full_gate_and_trace_before_default,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_geometry_candidate,waterline_clipped_free_surface,4,all_or_summary_defined,4,1,1,0.6781338157422685,0.4646372098589285,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_geometry_candidate_summary.csv,waterline_clipping_closes_a33_a53_subset_but_still_requires_full_gate,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,current_all_rows,4,"A33,A53",4,1,1,0.6781338157422685,0.4646372098589285,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_a53_subset_but_requires_full_gate_and_trace,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_control_row_scale_requirement,unclipped_body_free_control_row_scale,4,"A33,A53",4,0,0,0.7090766935963433,0.46410765595145154,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_control_row_scale_requirement_summary.csv,shared_control_row_scale_closes_a33_a53_subset_but_untraced,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,control_row_removed,4,"A33,A53",4,2,2,0.8948324607949824,0.5332398569916181,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_a53_subset_but_requires_full_gate_and_trace,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,zero_m3_transport_scale_requirement,add_eq31_eq32_proxy_residual,3,all_or_summary_defined,3,2,1,0.9086597284703107,0.24462499428318724,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_zero_m3_transport_scale_requirement_summary.csv,median_zero_m3_scale_closes_subset_but_requires_full_gate1_and_derivation,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,zero_m3_transport_scale_requirement,replace_eq31_with_boundary_proxy,3,all_or_summary_defined,3,2,1,0.9086597284703107,0.24462499428318724,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_zero_m3_transport_scale_requirement_summary.csv,median_zero_m3_scale_closes_subset_but_requires_full_gate1_and_derivation,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,zero_m3_transport_scale_requirement,add_full_zero_m3_transport,3,all_or_summary_defined,3,2,1,0.952673193030009,0.25622056131566096,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_zero_m3_transport_scale_requirement_summary.csv,median_zero_m3_scale_closes_subset_but_requires_full_gate1_and_derivation,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,zero_m3_transport_scale_requirement,subtract_full_zero_m3_transport,3,all_or_summary_defined,3,2,1,0.952673193030009,0.25622056131566096,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_zero_m3_transport_scale_requirement_summary.csv,median_zero_m3_scale_closes_subset_but_requires_full_gate1_and_derivation,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,clip_two_zone_control_row_removed,4,"A33,A53",4,2,2,0.9653409996252009,0.5316472731250789,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_a53_subset_but_requires_full_gate_and_trace,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,clip_two_zone_only_free_row_retained,4,"A33,A53",2,1,3,1.294517506380336,0.6910324180794045,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_but_not_a53,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,only_free_row_retained,4,"A33,A53",2,1,3,1.3615672957596718,0.711056525659951,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_but_not_a53,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,clip_two_zone_body_row_removed,4,"A33,A53",2,0,4,1.3859035336084196,1.0445932024099962,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_but_not_a53,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_rhs_row_block_candidate,body_row_removed,4,"A33,A53",2,0,4,1.4073496291876082,1.0368198435538065,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_rhs_row_block_candidate_summary.csv,row_block_candidate_closes_a33_but_not_a53,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_control_row_scale_requirement,clip_two_zone_free_control_row_scale,4,"A33,A53",2,0,0,1.6275164121581573,1.002043218287413,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_control_row_scale_requirement_summary.csv,shared_control_row_scale_partially_closes_subset,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,eq30_component_scale_fit,least_squares_time_gradient_stokes_end,10,all_or_summary_defined,9,6,4,1.6466841228979108,0.5218866658028808,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_eq30_component_scale_fit_summary.csv,candidate_summary_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_marching_candidate,outer_history_rhs_disabled,10,all_or_summary_defined,8,5,5,1.672443686165383,0.3861584503015818,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_marching_candidate_summary.csv,candidate_summary_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,inner_free_surface_geometry_candidate,current_full_free_surface,4,all_or_summary_defined,2,2,2,2.015241736736181,0.9236017471311615,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_inner_free_surface_geometry_candidate_summary.csv,baseline_full_span_inner_free_surface,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,pitch_m5_forward_speed_scale_probe,current_m5_forward_scale_1,2,all_or_summary_defined,1,1,1,2.0625164526305353,1.4178353203705953,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_pitch_m5_forward_speed_scale_summary.csv,m5_forward_scale_closes_only_one_pitch_row,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,eq30_pressure_balance_candidate,time_plus_stokes_plus_end,10,all_or_summary_defined,9,2,2,2.083270621336673,0.6007843054704188,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_eq30_pressure_balance_candidate_summary.csv,candidate_summary_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,ab_force_reconstruction_candidate,current_ab_split,8,"A33,A35,A53,A55,B33,B35,B53,B55",7,0,0,2.0832706213366734,0.636739198292479,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_ab_force_reconstruction_candidate_summary.csv,candidate_partially_closes_pairable_ab_rows,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_default,matched_bie_station_sweep,10,all,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_coefficients_comparison.csv,current_default_gate_baseline,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,force_assembly_route_candidate,current_hybrid_pressure_gradient_plus_end,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_force_assembly_route_candidate_summary.csv,current_default_route_baseline,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,force_assembly_route_candidate,eq32_stokes_body_only,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_force_assembly_route_candidate_summary.csv,route_excluded_because_gate1_or_identity_not_closed,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,force_assembly_route_candidate,eq32_stokes_body_plus_end,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_force_assembly_route_candidate_summary.csv,route_excluded_because_gate1_or_identity_not_closed,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_marching_candidate,current_marching,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_marching_candidate_summary.csv,candidate_summary_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_normal_derivative_source_candidate,current_raw,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_normal_derivative_source_candidate_summary.csv,candidate_summary_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_update_formula_candidate,current_eq19_22,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_update_formula_candidate_summary.csv,candidate_summary_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,free_surface_update_formula_candidate,reverse_local_time,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_free_surface_update_formula_candidate_summary.csv,candidate_summary_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_free_surface_cross_probe,default,10,all_or_summary_defined,9,0,0,2.0832706213366734,0.6007843054704187,false,diagnostic-only candidate impact; no candidate may enter matched_bie_station_sweep until the complete Ma 2005 Wigley III eight-row Gate 1 closes under one traced formulation.,ma2005_wigley_iii_coefficients_local_time_free_surface_cross_probe_summary.csv,local_time_free_surface_cross_probe_recorded,diagnostic_candidate_impact_summary_not_hard_gate,INFO
