benchmark,probe_row,source_row,coefficient,current_gate_omega_e_sqrt_l_over_g,current_gate_reference_value,journee_omega_e_sqrt_l_over_g,journee_reference_value,omega_abs_delta_vs_current_gate,source_table,source_url,source_lines,reference_value,computed_value,raw_computed_value,abs_error,rel_error,tolerance,effective_abs_tolerance,gate_error_ratio,error_metric,status,provider_route,provider_formulation,solver_status,hydro_model,candidate_default_gate_eligible,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,0,0,A33,2.0,1.07,2.23,0.712,0.22999999999999998,Table 2-III,https://www.scribd.com/document/493001264/0909-DUT-92,1789,0.712,1.0415838722422106,3.082021547041325,0.32958387224221064,0.462898696969397,0.15,0.10679999999999999,3.0859913131293135,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,1,A33,2.23,0.941,2.23,0.712,0.0,Table 2-III,https://www.scribd.com/document/493001264/0909-DUT-92,1789,0.712,1.0415838722422106,3.082021547041325,0.32958387224221064,0.462898696969397,0.15,0.10679999999999999,3.0859913131293135,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,2,2,B33,2.23,2.05,2.23,1.965,0.0,Table 2-III,https://www.scribd.com/document/493001264/0909-DUT-92,1789,1.965,1.0319226368827366,9.562003563632524,0.9330773631172635,0.47484853084848017,0.15,0.29475,3.165656872323201,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,3,3,A53,2.0,0.19,2.23,0.07,0.22999999999999998,Table 2-III,https://www.scribd.com/document/493001264/0909-DUT-92,1789,0.07,1.207018545168265,3.5715387526872155,1.1370185451682648,16.243122073832353,0.3,0.021,54.143740246107846,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,4,4,A53,2.23,0.145,2.23,0.07,0.0,Table 2-III,https://www.scribd.com/document/493001264/0909-DUT-92,1789,0.07,1.207018545168265,3.5715387526872155,1.1370185451682648,16.243122073832353,0.3,0.021,54.143740246107846,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,5,5,B53,2.23,-0.106,2.23,-0.105,0.0,Table 2-III,https://www.scribd.com/document/493001264/0909-DUT-92,1789,-0.105,0.5081069824177383,4.70822191793539,0.6131069824177383,5.839114118264175,0.3,0.0315,19.463713727547248,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,6,6,A35,2.23,-0.125,2.23,-0.1,0.0,Table 3-III,https://www.scribd.com/document/493001264/0909-DUT-92,1923,-0.1,0.8789125387959964,2.60068099624352,0.9789125387959964,9.789125387959963,0.3,0.03,32.63041795986655,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,7,7,B35,2.23,0.163,2.23,0.117,0.0,Table 3-III,https://www.scribd.com/document/493001264/0909-DUT-92,1923,0.117,1.5644607059671538,14.496608864798944,1.4474607059671538,12.371459025360288,0.3,0.0351,41.23819675120097,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,8,8,A55,2.23,0.0458,2.23,0.0419,0.0,Table 3-III,https://www.scribd.com/document/493001264/0909-DUT-92,1923,0.0419,1.1281923691885425,3.338293999849989,1.0862923691885424,25.925832200203878,0.15,0.006285,172.83888133469253,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,9,9,B55,2.23,0.0703,2.23,0.065,0.0,Table 3-III,https://www.scribd.com/document/493001264/0909-DUT-92,1923,0.065,1.1459217144503797,10.618342039979463,1.0809217144503798,16.62956483769815,0.15,0.00975,110.86376558465433,relative,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,matched_bie_provider,False,journee_frequency_probe_not_hard_gate,INFO
