benchmark,coefficient,source_row,station_index,x_m,x_over_l,waterplane_beam_m,effective_draft_m,submerged_area_m2,body_normal_velocity_norm,body_potential_norm,body_potential_to_body_normal_velocity_gain,body_potential_norm_to_submerged_area_ratio,free_surface_potential_norm,control_potential_norm,inner_free_surface_normal_derivative_norm,free_surface_potential_to_body_potential_ratio,control_potential_to_body_potential_ratio,inner_free_surface_normal_derivative_to_body_normal_velocity_ratio,time_pressure_to_body_potential_gain,time_derivative_pressure_norm,time_derivative_density_value_per_m,time_derivative_density_per_submerged_area,time_derivative_density_per_beam,station_trapezoid_weight_m,station_time_derivative_contribution_value,station_abs_contribution_share,station_contribution_sign,station_scale_flag,coefficient_reference_value,coefficient_computed_value,coefficient_gate_error_ratio,coefficient_status,coefficient_time_component_value,station_integral_time_component_value,station_integral_minus_reported_time_component,required_global_scale_to_reference_from_time_integral,computed_over_reference,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,0.03452962500000001,0.1875,0.004316203125000001,1.0702187802957153,1.395242201930657,1.3036981107219343,323.25684438928175,1.5572099527660632,1.427118770703091,1.7496763171119665,1.1160857595987883,1.022846620270176,1.6348772319511233,3706.4109605295157,5171.340989829123,-0.006982083836406609,-1.617644868464481,-0.20220560855806013,0.0,-0.0,0.0,zero,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,0,0.075,0.024999999999999998,0.03452962500000001,0.1875,0.004316203125000001,1.1932939400297224,1.4120562620651687,1.1833264334100257,327.152411777462,1.632017185119383,1.4418619648168693,2.0914585363852036,1.1557734836517886,1.0211080135773833,1.7526767431108465,4132.64822099041,5835.531799361987,-0.01560181373762978,-3.6147079471913814,-0.4518384933989227,0.0375,-0.0005850680151611167,0.0006089920809353227,negative,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,0.06623399999999997,0.1875,0.008279249999999997,2.0107297107905167,1.582375243503695,0.7869656647593801,191.12543328244655,1.5758459239910168,1.4218081822216668,1.7641896163678865,0.9958737224059313,0.8985278226885675,0.8773877497807981,3706.4109605295153,5864.932946192656,-0.0019764518644322534,-0.23872353950324657,-0.02984044243790582,0.0375,-7.41169449162095e-05,7.714766718987591e-05,negative,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,1,0.15,0.049999999999999996,0.06623399999999997,0.1875,0.008279249999999997,2.2419636275314256,1.5815116988649836,0.7054136291257987,191.02113100401417,1.6499675943495793,1.4340439120296544,2.1224871500141615,1.0432851021802274,0.9067551716872132,0.9467090027464822,4132.64822099041,6535.831508789895,-0.02197679265473377,-2.654442450069001,-0.33180530625862514,0.03749999999999999,-0.0008241297245525161,0.000857829282938464,negative,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,0.09527962500000002,0.1875,0.011909953125000003,2.811745077359882,1.6821424000811611,0.5982556575365738,141.2383728488571,1.589720314129372,1.4138252006962646,1.785077242460964,0.9450569191125973,0.8404907935428353,0.6348645390488533,3706.410960529516,6234.711028832242,0.01669749420895202,1.4019781634490702,0.17524727043113378,0.03749999999999999,0.0006261560328357006,0.000651760232221565,positive,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,2,0.22499999999999998,0.075,0.09527962500000002,0.1875,0.011909953125000003,3.1350957612562684,1.6666188292659305,0.5316006132450951,139.93496126928963,1.6635606048183464,1.4242826004210571,2.157161879236976,0.9981650126628347,0.854594089188581,0.6880688959792975,4132.648220990411,6887.549339834969,-0.014522513168738645,-1.2193593892703622,-0.15241992365879528,0.037500000000000006,-0.0005445942438276993,0.0005668632931894217,negative,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,0.12182399999999996,0.1875,0.015227999999999995,3.4822803916969276,1.7632685620540953,0.5063545618722702,115.79121106212871,1.5986723411239145,1.4029328030518562,1.8106015065842074,0.9066527785543702,0.7956432918066259,0.5199470757442065,3706.410960529516,6535.397924754418,0.04623755852755183,3.0363513611473496,0.3795439201434187,0.037500000000000006,0.0017339084447831937,0.0018048098418934442,positive,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,3,0.3,0.09999999999999999,0.12182399999999996,0.1875,0.015227999999999995,3.8827426367420736,1.737522371649123,0.44749872299211696,114.10049721888124,1.6726216865546415,1.4123647305749243,2.193814978247553,0.9626475686566943,0.8128613211664238,0.5650168407989915,4132.648220990411,7180.568738126788,0.004243820712850867,0.27868536333404703,0.03483567041675588,0.037500000000000006,0.0001591432767319075,0.00016565081794317737,positive,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,0.146015625,0.1875,0.018251953125,4.039379866597088,1.8365858838042304,0.454670257430241,100.62407410462984,1.6025107101110088,1.3889560234695557,1.8389363446407991,0.8725487461504563,0.7562706627105986,0.4552521439856515,3706.410960529516,6807.142049685788,0.08411510025828241,4.608553379587008,0.576069172448376,0.03749999999999998,0.0031543162596855885,0.0032832996730902406,positive,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,4,0.375,0.125,0.146015625,0.1875,0.018251953125,4.503908551255753,1.804812466961483,0.40072138375417854,98.88325126637551,1.6769432816274554,1.3981059973824292,2.2308782804403835,0.9291509851163078,0.7746544435922642,0.4953205099642583,4132.64822099041,7458.655030809686,0.03197400300792958,1.7518126848646276,0.21897658560807845,0.037500000000000006,0.0011990251127973594,0.0012480545502647098,positive,background_station,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.06116768153903773,0.9836310712410093,0.9516384798264244,open_section_time_pressure_regression_guard,diagnostic_heave_time_pressure_station_scale_not_hard_gate
