benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,use_free_surface_marching,time_step_scale,free_surface_substeps_per_station,free_surface_velocity_scale,history_rhs_scale,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_inner_free_surface_normal_derivative_norm_max,matched_pitch_inner_free_surface_normal_derivative_norm_max,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,current_marching,0,Current default: station-to-station inner free-surface state marching is active with unit velocity and unit outer-control history RHS.,True,False,True,1.0,1,1.0,1.0,1.07,1.0181504124660368,81.40112547665964,0.9515424415570437,0.05184958753396329,0.04845755844295634,0.15,0.0,0.1605,0.323050389619709,0.323050389619709,0.0,relative,PASS,1.6025107101110088,0.8246633972428078,1.9409617391086629,2.132916745486488,36273.83721574658,9.725907875528648,-0.3573324133930934,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,free_surface_marching_disabled,1,Sets the prescribed inner free-surface potential/elevation to zero at each station while keeping the matched control-surface history chain active.,False,True,False,1.0,1,1.0,1.0,1.07,0.7872920365536326,62.943998322462924,0.7357869500501238,0.2827079634463675,0.26421304994987616,0.15,0.0,0.1605,1.7614203329991744,0.323050389619709,1.4383699433794654,relative,FAIL,0.0,0.0,1.5102578485265201,1.1227451417183434,36696.47207135686,9.86785145139255,-0.00633351889997164,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,free_surface_velocity_zero,2,Keeps the marching machinery active but suppresses the BIE-derived inner free-surface normal derivative before the Eq.19-Eq.22 free-surface update.,False,True,True,1.0,1,0.0,1.0,1.07,0.7872920365536326,62.943998322462924,0.7357869500501238,0.2827079634463675,0.26421304994987616,0.15,0.0,0.1605,1.7614203329991744,0.323050389619709,1.4383699433794654,relative,FAIL,0.0,0.0,1.5102578485265201,1.1227451417183434,36696.47207135686,9.86785145139255,-0.00633351889997164,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,free_surface_velocity_half,3,Halves the BIE-derived inner free-surface normal derivative before the station-to-station update; diagnostic for state-amplification scale.,False,True,True,1.0,1,0.5,1.0,1.07,0.8031906776199975,64.2150946757188,0.7506454931028014,0.26680932238000254,0.24935450689719862,0.15,0.0,0.1605,1.6623633793146575,0.323050389619709,1.3393129896949485,relative,FAIL,1.3098754177558505,0.5571163513839743,1.952109482289883,1.843783413651251,36270.80894681227,9.723900838903718,-0.2661789833436499,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,free_surface_time_step_half,4,Halves the local free-surface marching time step while keeping hull station spacing unchanged; diagnostic for A1 Section 3.3's statement that free-surface stations are twice the hull stations.,False,True,True,0.5,1,1.0,1.0,1.07,0.7479323787624957,59.79719368206153,0.6990022231425193,0.3220676212375043,0.30099777685748064,0.15,0.0,0.1605,2.006651845716538,0.323050389619709,1.6836014560968289,relative,FAIL,0.843299964194129,0.3326688237686982,1.8609147514308044,1.6384121437992412,36271.14070297005,9.723394290430134,-0.1575214663560541,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,free_surface_two_substeps_per_station,5,Keeps the hull-station time interval fixed but advances the inner free-surface state in two local predictor substeps; diagnostic for A1 Section 3.3's two-free-surface-stations-per-body-station longitudinal staggering requirement.,False,True,True,1.0,2,1.0,1.0,1.07,1.0009480458317686,80.02579626424989,0.935465463394176,0.06905195416823151,0.06453453660582384,0.15,0.0,0.1605,0.4302302440388256,0.323050389619709,0.1071798544191166,relative,PASS,1.6449573023779265,0.8445257700955725,2.053890656865482,2.2687124411794795,36186.50758210162,9.701604441717917,-0.3648063367061385,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,free_surface_time_step_quarter,6,Uses a quarter local free-surface marching time step as a bounded refinement diagnostic for state-amplification sensitivity; it is not a production correction.,False,True,True,0.25,1,1.0,1.0,1.07,0.7595175278254087,60.72342634964143,0.7098294652573913,0.31048247217459135,0.29017053474260873,0.15,0.0,0.1605,1.9344702316173916,0.323050389619709,1.6114198419976826,relative,FAIL,0.28774004740411546,0.10732212772642796,1.4864178225861004,1.271666681301436,36271.848028400644,9.723140940687808,-0.04503490824017454,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,free_surface_velocity_flipped,7,Flips only the BIE-derived inner free-surface normal derivative used by the free-surface marching update; diagnostic for free-surface vertical-velocity sign.,False,True,True,1.0,1,-1.0,1.0,1.07,9.329628088208786,745.9037656522925,8.719278587111015,8.259628088208785,7.719278587111014,0.15,0.0,0.1605,51.46185724740676,0.323050389619709,51.13880685778705,relative,FAIL,200.58751075308373,221.3473674542291,833.8707814181498,922.7062188718842,36285.714443403194,9.72439399316875,-7.184141445928742,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,outer_history_rhs_disabled,8,Keeps inner free-surface marching active but suppresses the transient outer-control history RHS; diagnostic for separating local free-surface propagation from history convolution.,False,True,True,1.0,1,1.0,0.0,1.07,1.1170896985180099,89.31132139651488,1.044009064035523,0.047089698518009815,0.04400906403552319,0.15,0.0,0.1605,0.2933937602368213,0.323050389619709,-0.02965662938288771,relative,PASS,1.7098311893249993,1.2153638366821837,2.2780028245446626,2.265080989916815,36274.421531489235,9.726060999223847,-0.35684867130454867,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,current_marching,0,Current default: station-to-station inner free-surface state marching is active with unit velocity and unit outer-control history RHS.,True,False,True,1.0,1,1.0,1.0,0.941,0.8954918095166653,71.5945701708574,0.9516384798264244,0.045508190483334654,0.04836152017357562,0.15,0.0,0.14115,0.3224101344905041,0.3224101344905041,0.0,relative,PASS,1.6769432816274554,0.8298989053864633,2.3494975921786416,2.2935178228922717,36448.98738627265,8.751562504504902,-0.28889524358281377,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
