benchmark,matrix_cell,candidate_name,station_index,x_m,x_over_l,trapz_weight_m,candidate_transport_force_density_real,candidate_transport_force_density_imag,direct_pressure_gradient_force_density_real,direct_pressure_gradient_force_density_imag,stokes_body_forward_force_density_real,stokes_body_forward_force_density_imag,direct_minus_candidate_force_density_real,direct_minus_candidate_force_density_imag,candidate_minus_stokes_force_density_real,candidate_minus_stokes_force_density_imag,candidate_transport_station_force_real,candidate_transport_station_force_imag,direct_minus_candidate_station_force_real,direct_minus_candidate_station_force_imag,candidate_minus_stokes_station_force_real,candidate_minus_stokes_station_force_imag,station_abs_direct_candidate_residual_share,station_abs_candidate_stokes_residual_share,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,0,0.075,0.024999999999999998,0.0375,295.13553395339216,-87.73541584921063,80.34957463320589,90.46965317687737,17.216200607441554,-5.109827285865936,-214.78595932018627,178.20506902608798,277.9193333459506,-82.62558856334469,11.067582523252206,-3.2900780943453984,-8.054473474506985,6.682690088478299,10.421975000473147,-3.0984595711254257,0.02230644939594619,0.017069022949622904,near_aft_startup_region,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,1,0.15,0.049999999999999996,0.07499999999999998,283.44206560063424,-2.8292127922759627,63.063261501515875,176.34155061706065,38.881812813954184,-0.25491855412020537,-220.37880409911835,179.17076340933662,244.56025278668005,-2.5742942381557574,21.258154920047563,-0.21219095942069716,-16.528410307433873,13.437807255700243,18.342018959001,-0.19307206786168177,0.04540176329889481,0.02879638878739285,peak_abs_direct_candidate_residual;near_aft_startup_region,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,2,0.22499999999999998,0.075,0.075,229.38174046190238,50.14690700504371,4.604063430991469,213.7639863149936,57.81415963426016,13.213700713692145,-224.77767703091092,163.61707930994987,171.56758082764222,36.93320629135157,17.203630534642677,3.761018025378278,-16.858325777318317,12.27128094824624,12.867568562073165,2.7699904718513673,0.04444231687403943,0.020663310585930877,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,3,0.3,0.09999999999999999,0.07500000000000001,168.90085287258233,68.6666885562433,-41.553429868771005,203.1084851196324,72.64871500978266,31.06551569084616,-210.45428274135332,134.44179656338912,96.25213786279967,37.601172865397146,12.667563965443676,5.150001641718248,-15.784071205601501,10.083134742254185,7.218910339709977,2.8200879649047863,0.03992013457629133,0.01216689069015131,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,4,0.375,0.125,0.07499999999999998,112.26439699150082,63.312341701622124,-81.29603182220055,164.99985660938685,82.7706461921324,49.91185076654598,-193.56042881370138,101.68751490776472,29.493750799368414,13.400490935076142,8.41982977436256,4.748425627621658,-14.5170321610276,7.626563618082352,2.2120313099526303,1.0050368201307105,0.03495107978603761,0.003814256550037301,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,5,0.44999999999999996,0.15,0.07500000000000001,63.849828180504716,44.09457214427162,-113.47240167500884,111.80180431279123,88.02608395159778,67.16408926602064,-177.32222985551357,67.70723216851961,-24.176255771093068,-23.069517121749016,4.788737113537854,3.3070929108203724,-13.29916723916352,5.078042412638972,-1.8132191828319804,-1.7302137841311764,0.03034143764608832,0.0039345510013102485,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,6,0.525,0.17500000000000002,0.07500000000000001,25.445022047467678,18.89768726877754,-136.54258927840812,52.550482328941456,88.61660836715929,80.92309346984148,-161.9876113258758,33.65279506016392,-63.17158631969161,-62.02540620106394,1.9083766535600761,1.4173265451583157,-12.149070849440687,2.5239596295122944,-4.737868973976871,-4.651905465079796,0.02644701400135025,0.010423778945101533,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,7,0.6,0.19999999999999998,0.07499999999999996,-2.629593540959795,-6.467013893521173,-149.750044994236,-6.026188225027216,85.01159176574076,89.87468751316763,-147.1204514532762,0.4408256684939573,-87.64118530670055,-96.3417014066888,-0.1972195155719845,-0.4850260420140877,-11.034033858995707,0.03306192513704678,-6.5730888980025375,-7.225627605501655,0.023517677821343203,0.015334711004712112,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,-20.96794299673271,-27.934847337945452,-153.20823780998967,-59.07080453052312,77.87312534001042,93.19466813726272,-132.24029481325695,-31.135957192577667,-98.84106833674312,-121.12951547520818,-1.5725957247549534,-2.0951135503459093,-9.918022110994272,-2.335196789443325,-7.4130801252557355,-9.084713660640615,0.021716974842152865,0.018407538662945415,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,9,0.75,0.25,0.07500000000000001,-30.741500523431124,-42.85552292970511,-147.75042109748847,-103.26038262975797,67.99434488035095,90.466527475564,-117.00892057405734,-60.40485970005286,-98.73584540378208,-133.32205040526912,-2.305612539257335,-3.2141642197278837,-8.775669043054302,-4.530364477503965,-7.405188405283657,-9.999153780395186,0.02104950623428381,0.019533506490296712,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
