benchmark,variant,coefficient,row_count,unique_frequency_count,pass_count,fail_count,reference_frequency_sensitivity_ratio,computed_frequency_sensitivity_ratio,max_gate_error_ratio,median_gate_error_ratio,diagnostic_conclusion,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status,source_reference
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A33,2,2,0,2,0.3120772946859903,0.0,6.420749467912049,4.378606757057496,default_frequency_invariant_despite_reference_variation,False,default path lacks sufficient same-cell frequency sensitivity in this probe,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A33,2,2,1,1,0.3120772946859903,0.11407047083826442,3.0859913131293135,1.996123119843231,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A33,2,2,1,1,0.3120772946859903,0.11407047083826442,3.0859913131293135,1.996123119843231,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A53,2,2,0,2,0.5,0.0,68.21839495426522,50.33046288236558,default_frequency_invariant_despite_reference_variation,False,default path lacks sufficient same-cell frequency sensitivity in this probe,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A53,2,2,0,2,0.5,0.13502799842082414,54.143740246107846,42.017612145485145,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A53,2,2,0,2,0.5,0.13502799842082414,54.143740246107846,42.017612145485145,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A55,2,2,0,2,0.3453125,0.06346266504329745,241.4054056836295,204.07690310314743,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A55,2,2,0,2,0.3453125,0.1642078874953225,172.83888133469253,153.3906942635062,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A55,2,2,0,2,0.3453125,0.1642078874953225,172.83888133469253,153.3906942635062,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A35,2,2,0,2,0.4505494505494505,5.132228648881501e-16,46.59808635119094,36.85163100101423,default_frequency_invariant_despite_reference_variation,False,default path lacks sufficient same-cell frequency sensitivity in this probe,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A35,2,2,0,2,0.4505494505494505,0.08545468034511505,32.63041795986655,26.782587267661235,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A35,2,2,0,2,0.4505494505494505,0.08545468034511505,32.63041795986655,26.782587267661235,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
