component,omega_rad_s,speed_mps,row_dof,col_dof,row_index,col_index,added_mass_coefficient,damping_coefficient,added_mass_value,damping_value,dynamic_operator_real,dynamic_operator_imag,active_station_count,clipped_station_count,max_heave_radiation_pressure_abs_pa,max_condition_number,max_residual_norm,section_solver,status
pressure_main_radiation_raw,4.0,2.0,heave,heave,2,2,A33,B33,25.14258834733586,0.1768468106216422,-402.28141355737375,0.7073872424865688,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,4.0,2.0,heave,pitch,2,4,A35,B35,-0.022105851327705928,50.28517669467172,0.35369362124329484,201.14070677868688,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,4.0,2.0,pitch,heave,4,2,A53,B53,-0.0,0.0,0.0,0.0,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,4.0,2.0,pitch,pitch,4,4,A55,B55,8.054544494610166,0.05348289321964472,-128.87271191376266,0.2139315728785789,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,heave,heave,2,2,A33,B33,25.14258834733586,0.1768468106216422,-402.28141355737375,0.7073872424865688,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,heave,pitch,2,4,A35,B35,-0.022105851327705928,50.28517669467172,0.35369362124329484,201.14070677868688,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,pitch,heave,4,2,A53,B53,-0.0,0.0,0.0,0.0,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,pitch,pitch,4,4,A55,B55,8.054544494610166,0.05348289321964472,-128.87271191376266,0.2139315728785789,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,heave,heave,2,2,A33,B33,25.14258834733586,0.17684681062164218,-402.28141355737375,0.7073872424865687,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,heave,pitch,2,4,A35,B35,-0.022105851327705484,50.28517669467172,0.35369362124328774,201.14070677868688,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,pitch,heave,4,2,A53,B53,-0.0,0.0,0.0,0.0,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,pitch,pitch,4,4,A55,B55,8.054544494610164,0.05348289321964117,-128.87271191376263,0.21393157287856468,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_raw_minus_force_main_radiation,4.0,2.0,heave,heave,2,2,A33,B33,-0.0,2.7755575615628914e-17,0.0,1.1102230246251565e-16,3,0,873.024977032184,4.054656915845401,3.787284787826399e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
