benchmark,candidate_name,candidate_order,row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,improved_row_count,worsened_row_count,median_forward_gradient_component_value,max_abs_forward_gradient_component_value,candidate_gate_status,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,startup_aft_gradient_zero,13,10,1,9,0.1,2.636464327434215,4.087583274874839,2.086201694902008,2.7368487552150773,1,9,-0.011691602163512718,0.3617203425809896,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_first_pair_gradient_average,15,10,1,9,0.1,2.6217440188786574,4.1432918568314445,2.0874153839274006,2.6717932854703292,1,9,-0.010982377498272725,0.35475050735704927,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_default,0,10,1,9,0.1,2.6118974185891846,4.148920249010576,2.0723396587429326,2.6993524920868133,1,9,-0.011291645312623793,0.3573324133930934,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_copy_second,14,10,1,9,0.1,2.603821525936172,4.153459545497463,2.0632724495075676,2.72042670690814,1,9,-0.011516435088769279,0.3591723645248863,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_forward,11,10,2,8,0.2,2.8259412321356407,12.618575461441736,2.0183090463558195,12.023230880599046,0,10,-0.05497664842049794,0.8524962249425028,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_forward,8,10,4,6,0.4,2.3366569381801643,12.687823473633253,1.6759580865733947,12.092478892790563,1,9,-0.04492716694518082,0.7274517824330858,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_forward,2,10,2,8,0.2,2.768354415658705,12.701399251621188,1.967921509053858,12.106054670778498,0,10,-0.05327371943379139,0.8392220749104577,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_central,10,10,2,8,0.2,2.893396246911134,13.388535879469291,2.0830143415941302,12.793191298626601,0,10,-0.0557164101724586,0.8350036177585183,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_central,1,10,2,8,0.2,2.834667291507845,13.43695505300066,2.0242853861908414,12.841610472157969,0,10,-0.05433220650031427,0.8243475821737686,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_central,7,10,3,7,0.3,2.264514233077617,13.774694968778656,1.6038153814708473,13.179350387935965,1,9,-0.04368508253550273,0.7029925727621211,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_backward,3,10,2,8,0.2,2.9077250192594115,14.14169372964026,2.097343113942408,13.54634914879757,0,10,-0.057506532225211196,0.8124534064085551,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_backward,12,10,1,9,0.1,2.9603434947591785,14.159382350709624,2.1499615894421753,13.564037769866934,0,10,-0.061792162257998384,0.8174017724018832,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_backward,9,10,1,9,0.1,2.1905266922511824,14.874706773446757,1.5298278406444128,14.279362192604067,0,10,-0.042410758847618,0.6773212012176212,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_forward,5,10,2,8,0.2,2.667593805902781,15.847061075869945,1.904491261938817,15.251716495027255,0,10,-0.015002922307712758,0.4221471475349235,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_central,4,10,2,8,0.2,2.5868795108005616,15.97543982921201,1.8912662701340526,15.38009524836932,0,10,-0.013104655023770756,0.37878933153748745,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_backward,6,10,2,8,0.2,2.513277452077255,16.062255799743816,1.8833343066548909,15.466911218901126,0,10,-0.011556882036916467,0.3380491382101676,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
