benchmark,matrix_cell,coefficient,pair_status,station_index,x_m,x_over_l,trapz_weight_m,time_density_value_per_m,pressure_gradient_density_value_per_m,force_derivative_proxy_density_value_per_m,pressure_gradient_minus_force_derivative_proxy_density_value_per_m,pressure_gradient_station_contribution_value,force_derivative_proxy_station_contribution_value,station_residual_contribution_value,station_abs_residual_share_of_total_abs,diagnostic_flags,gate_role
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,0,0.075,0.024999999999999998,0.0375,-0.0024354598160259444,0.014461716642311351,0.07876370493567421,-0.06430198829336285,0.0005423143740866756,0.0029536389350877826,-0.002411324561001107,0.05175345398245048,first_active_station;near_aft_startup_region,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,1,0.15,0.049999999999999996,0.07499999999999998,-0.00012149997645448472,0.011981019901146134,0.06941671729602564,-0.057435697394879505,0.0008985764925859599,0.005206253797201922,-0.004307677304615962,0.09245423978227632,peak_abs_derivative_path_difference;near_aft_startup_region,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,2,0.22499999999999998,0.075,0.075,0.006297950069311771,0.0009261519465025335,0.05773658479092404,-0.056810432844421506,6.946139598769002e-05,0.004330243859319303,-0.004260782463331613,0.09144775146059793,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,3,0.3,0.09999999999999999,0.07500000000000001,0.01480653080750023,-0.008881304513286089,0.0426720311468238,-0.05155333566010989,-0.0006660978384964568,0.0032004023360117854,-0.003866500174508242,0.08298540233483617,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,4,0.375,0.125,0.07499999999999998,0.02378912242721851,-0.018533948646901142,0.02629310680089905,-0.04482705544780019,-0.0013900461485175854,0.0019719830100674283,-0.0033620291585850135,0.07215810934810378,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,5,0.44999999999999996,0.15,0.07500000000000001,0.0320119313895073,-0.027717373754013303,0.009995761199695464,-0.03771313495370877,-0.002078803031550998,0.0007496820899771599,-0.002828485121528158,0.06070683181540662,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,6,0.525,0.17500000000000002,0.07500000000000001,0.038569785495384194,-0.03591820697778767,-0.0051543515209344255,-0.030763855456853246,-0.002693865523334076,-0.000386576364070082,-0.0023072891592639936,0.04952057688932616,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,7,0.6,0.19999999999999998,0.07499999999999996,0.042836318660252906,-0.042675201691646014,-0.018369823063705982,-0.024305378627940032,-0.003200640126873449,-0.0013777367297779478,-0.0018229033970955013,0.03912436699805646,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,0.0444186968792455,-0.04762985935261512,-0.02909706410165677,-0.018532795250958353,-0.0035722394514461344,-0.002182279807624258,-0.0013899596438218767,0.029832239768724247,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,35,A35,paired_ab_complex_reconstruction,9,0.75,0.25,0.07500000000000001,0.04311840303714008,-0.050526427719767134,-0.03697385772795068,-0.013552569991816456,-0.0037894820789825356,-0.0027730393295963014,-0.0010164427493862343,0.02181557136975215,none,diagnostic_section_force_derivative_not_hard_gate
