benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,station_index,x_m,x_over_l,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,total_density_sign,pressure_gradient_density_sign,stokes_body_forward_density_sign
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,0,0.075,0.024999999999999998,0.11002936117415758,-0.006982083836406609,0.11701144501056421,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,1,0.15,0.049999999999999996,0.12717080431020517,-0.0019764518644322534,0.12914725617463746,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,2,0.22499999999999998,0.075,0.11056126608380952,0.01669749420895202,0.0938637718748575,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,3,0.3,0.09999999999999999,0.1226639866791017,0.04623755852755183,0.07642642815154989,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,4,0.375,0.125,0.14513479644191585,0.08411510025828241,0.06101969618363344,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,5,0.44999999999999996,0.15,0.17193805370032014,0.12816068303957917,0.043777370660741007,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,6,0.525,0.17500000000000002,0.20029191261684573,0.17651752098225088,0.02377439163459485,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,7,0.6,0.19999999999999998,0.22853917038658078,0.227592857006171,0.0009463133804098009,0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,8,0.6749999999999999,0.22499999999999998,0.2555146347008699,0.2800115980132121,-0.02449696331234227,0.0,positive,negative,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,9,0.75,0.25,0.28033286399545326,0.33257429311812087,-0.05224142912266754,0.0,positive,negative,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,10,0.825,0.27499999999999997,0.30230627427328227,0.38422031878809537,-0.08191404451481318,0.0,positive,negative,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,11,0.8999999999999999,0.3,0.3209109072799641,0.4339961546912754,-0.11308524741131136,0.0,positive,negative,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,12,0.975,0.325,0.3357745359457462,0.4810286010340169,-0.14525406508827077,0.0,positive,negative,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,13,1.05,0.35000000000000003,0.34667714975435954,0.5245032965419408,-0.17782614678758124,0.0,positive,negative,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,14,1.125,0.375,0.3535573485381571,0.5636495000226306,-0.21009215148447363,0.0,positive,negative,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,1.07,15,1.2,0.39999999999999997,0.35651856087906375,0.5977324936499564,-0.2412139327708927,0.0,positive,negative,zero
