benchmark,row,coefficient,variant_name,variant_description,reference_value,computed_value,current_computed_value,raw_computed_value,omega_e_rad_s,documented_length_power,gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,status,candidate_default_gate_eligible,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,0,A33,length_power_0,raw/(rho*disp*L^0) with current damping sqrt(g/L),1.07,1.0181504124660368,1.0181504124660368,81.40112547665964,3.616010693199528,0,0.323050389619709,0.323050389619709,0.0,PASS,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,length_power_1,raw/(rho*disp*L^1) with current damping sqrt(g/L),1.07,0.33938347082201226,1.0181504124660368,81.40112547665964,3.616010693199528,0,4.552127907651014,0.323050389619709,4.229077518031305,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,length_power_2,raw/(rho*disp*L^2) with current damping sqrt(g/L),1.07,0.11312782360733742,1.0181504124660368,81.40112547665964,3.616010693199528,0,5.961820413661449,0.323050389619709,5.63877002404174,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,added_mass_sign_flipped_current,"-raw/(rho*disp*L^r), tests a final added-mass sign convention only",1.07,-1.0181504124660368,1.0181504124660368,81.40112547665964,3.616010693199528,0,13.010282943713626,0.323050389619709,12.687232554093917,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,length_power_0,raw/(rho*disp*L^0) with current damping sqrt(g/L),0.941,0.8954918095166653,0.8954918095166653,71.5945701708574,4.031851922917474,0,0.3224101344905041,0.3224101344905041,0.0,PASS,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,length_power_1,raw/(rho*disp*L^1) with current damping sqrt(g/L),0.941,0.2984972698388884,0.8954918095166653,71.5945701708574,4.031851922917474,0,4.551914489274612,0.3224101344905041,4.229504354784108,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,length_power_2,raw/(rho*disp*L^2) with current damping sqrt(g/L),0.941,0.09949908994629614,0.8954918095166653,71.5945701708574,4.031851922917474,0,5.961749274202649,0.3224101344905041,5.6393391397121455,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,A33,added_mass_sign_flipped_current,"-raw/(rho*disp*L^r), tests a final added-mass sign convention only",0.941,-0.8954918095166653,0.8954918095166653,71.5945701708574,4.031851922917474,0,13.01092319884283,0.3224101344905041,12.688513064352327,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,2,B33,length_power_0,raw/(rho*disp*L^0) with current damping sqrt(g/L),2.05,1.7861811857284653,1.7861811857284653,258.19253944674807,4.031851922917474,0,0.8579473634846653,0.8579473634846653,0.0,PASS,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,2,B33,length_power_1,raw/(rho*disp*L^1) with current damping sqrt(g/L),2.05,0.595393728576155,1.7861811857284653,258.19253944674807,4.031851922917474,0,4.730426898939333,0.8579473634846653,3.872479535454668,FAIL,False,diagnostic_coefficient_conversion_chain_not_hard_gate,INFO
