x_m,free_panels,cumulative_infinity_gain,constant_error,affine_error,smooth_cosine_error
2.999997,256,1.0,0.0,0.0,0.0
2.995309509375,256,1.0,0.0,4.336808689942018e-19,8.049701527124142e-06
2.9906220187500003,256,1.0,0.0,4.336808689942018e-19,1.3246836769620352e-05
2.985934528125,256,1.0,0.0,4.336808689942018e-19,1.5635444444828117e-05
2.9812470375,254,1.0,0.0,0.0,5.3816069441881e-06
2.9765595468750004,254,1.0,0.0,0.0,1.1552522543145649e-05
2.97187205625,254,1.0,0.0,0.0,1.4996144030665626e-05
2.967184565625,252,1.0,0.0,0.0,1.9068347424378018e-06
2.9624970750000004,252,1.0,0.0,0.0,9.145264992738156e-06
2.957809584375,252,1.0,0.0,0.0,1.3735061335173882e-05
2.9531220937500002,252,1.0,0.0,0.0,1.5717642610102445e-05
2.9484346031250004,250,1.0,0.0,0.0,5.864453122672586e-06
2.9437471125,250,1.0,0.0,0.0,1.1683501705106458e-05
2.9390596218750002,250,1.0,0.0,1.734723475976807e-18,1.4970420407545149e-05
2.9343721312500004,248,1.0,0.0,0.0,1.531060065951273e-06
2.929684640625,248,1.0,0.0,0.0,8.65543586359152e-06
2.9249971500000003,248,1.0,0.0,0.0,1.3320324187438004e-05
2.9203096593750004,248,1.0,0.0,0.0,1.5564644001875294e-05
2.91562216875,246,1.0,0.0,0.0,4.451728188414883e-06
2.9109346781250003,246,1.0,0.0,0.0,1.0561453619328809e-05
2.9062471875000004,246,1.0,0.0,0.0,1.4319854844679902e-05
2.901559696875,246,1.0,0.0,0.0,1.5764450496447147e-05
2.8968722062500003,244,1.0,0.0,0.0,6.475858478127705e-06
2.8921847156250005,244,1.0,0.0,0.0,1.1806315651563537e-05
2.887497225,244,1.0,0.0,0.0,1.4888917057698237e-05
2.8828097343750003,242,1.0,0.0,0.0,8.344117647940408e-07
2.87812224375,242,1.0,0.0,0.0,7.78856325722721e-06
2.873434753125,242,1.0,1.1102230246251565e-16,3.469446951953614e-18,1.2558568691867222e-05
2.8687472625000003,242,1.0,1.1102230246251565e-16,3.469446951953614e-18,1.5179636118745066e-05
2.864059771875,240,1.0,0.0,0.0,2.0210197710923694e-06
2.85937228125,240,1.0,0.0,6.938893903907228e-18,8.521734517263901e-06
