case_order,case_label,time_step_s,coefficient,value_nondimensional,harmonic_fit_residual_nrmse,sun_fig7_13_value,sun_fig7_13_digitization_uncertainty,reference_relative_error
0,sub8,0.0031103849223331993,A33,0.9533654512416857,0.018092587526104868,1.00621118,0.0372670807,0.05251952056258636
0,sub8,0.0031103849223331993,A53,-0.23091438306912437,0.01960818059243611,-0.208074534,0.0372670807,0.10976763292486512
0,sub8,0.0031103849223331993,B33,2.096662366980895,0.018092587526104868,2.57342657,0.111888112,0.18526435087639018
0,sub8,0.0031103849223331993,B53,0.8324206929426765,0.01960818059243611,1.68764569,0.111888112,0.5067562475494033
1,sub16,0.0015551924611665996,A33,0.9725045763501331,0.01530370187176259,1.00621118,0.0372670807,0.0334985381993737
1,sub16,0.0015551924611665996,A53,-0.2189519939562091,0.017334847355322872,-0.208074534,0.0372670807,0.052276747889816684
1,sub16,0.0015551924611665996,B33,2.1818951325250953,0.01530370187176259,2.57342657,0.111888112,0.1521440098735379
1,sub16,0.0015551924611665996,B53,0.9233088622217794,0.017334847355322872,1.68764569,0.111888112,0.45290124124230163
2,sub32,0.0007775962305832998,A33,0.9532445001834987,0.029919990510654994,1.00621118,0.0372670807,0.0526397250093179
2,sub32,0.0007775962305832998,A53,-0.2518056846126449,0.02555902125762346,-0.208074534,0.0372670807,0.21017060460000792
2,sub32,0.0007775962305832998,B33,2.3112172522243957,0.029919990510654994,2.57342657,0.111888112,0.10189112090173391
2,sub32,0.0007775962305832998,B53,1.0287456933947172,0.02555902125762346,1.68764569,0.111888112,0.3904255499300228
