omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
7.516249999999999,98.41039008057349,1373.954325875172,959.3533285918239,-109.76746412993182
8.707904702227681,139.09949511280675,1709.5792236804893,993.3604282630245,-131.31414164007475
10.088488847906737,192.94654764150087,2111.0535513258324,1004.972548856167,-153.41255020791476
11.687956025552452,261.18102293074605,2582.1792583101865,983.6429131053472,-173.8791733276616
13.54100877889088,342.58998801056543,3121.518704776061,916.5082148315736,-189.82099918176414
15.687851524178978,431.8987988963296,3719.5748105595544,788.9556219252776,-198.57660945196682
18.175062837884298,519.4108150310285,4355.723368022043,585.6334084091407,-200.05317313411726
21.05660604015252,595.404182416631,4994.225464813954,291.31329381495567,-200.57701634082724
24.394999999999996,664.3522481694262,5575.309190442061,-109.3446477178943,-216.08930125083702
43.910999999999994,2086.1829238948353,3659.3473518873006,-2645.216226381168,-315.34044598059756
