iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda,raw_shallow_water_step_count,raw_step_count_is_even,root_state_jump,boundary_panel_count_change,raw_step_parity_change,condition_number_ratio,explicit_matching_surface_adjustment
2058,1.9707227014452435,0.0139458909669806,8.224808740053689,0.1418336373302759,2.0786249852073806,2.078829857600145,9.856149821267732e-05,0.5529621807491987,8.74531616223522,36820.7545387195,0.0009640965057818,0.2486739641642707,0.0044509597888225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,1.008300152509563e-05,0.0006181225854938,520.0,True,False,False,True,,False
2059,1.9716874113200145,0.0139648001794602,8.224151916101828,0.1378589968244854,2.1127182567759166,2.1129428529909107,0.0001063067516332,0.5530636062143055,8.498318271793941,36815.86848798317,0.000964709874771,0.2485620408113274,0.0045793030949097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,260.0,688.0,9.0402682539593e-05,0.0055995144393102,519.0,False,False,False,True,0.9998673017216095,False
2060,1.972652779590987,0.0137450128012973,8.226659681475358,0.1500130917929169,2.014876985812989,2.014480750745091,0.0001966547192152,0.5529606555526729,9.254276562830132,37004.998114624446,0.0009653682709724,0.2485381050505893,0.0040535566441488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,0.0001195290714866,0.0071759754734121,520.0,True,True,False,True,1.00513717683186,False
2061,1.9736160718965847,0.0138478601573521,8.225820438359376,0.1460316769698421,2.044697151550953,2.044936949895507,0.0001172781721597,0.5529399573015266,9.006365551145748,36914.43148557377,0.0009632923055979,0.2487764859220802,0.0042569725076596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,6.539170011004116e-05,0.0039664726289705,520.0,True,False,False,False,0.9975525838760985,False
2062,1.9745800749823177,0.0139374961126184,8.225073806918594,0.1420498480653204,2.0767943809824296,2.0770304012280927,0.0001136464196091,0.5529770121943884,8.758788761560234,36827.363366478094,0.000964003085733,0.2486763410189429,0.004439900651616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,1.4009465006053278e-05,0.0008584104619757,520.0,True,False,False,False,0.9976413528370415,False
2063,1.975544745648622,0.0139658126082055,8.224412094771074,0.138074665780691,2.110801292301805,2.1110266871518357,0.0001067816524712,0.5530749229897194,8.51175193393804,36814.55762779361,0.0009646706663043,0.2485677179127071,0.0045741268650042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,260.0,688.0,9.437750493958883e-05,0.0058426508241251,519.0,False,False,False,True,0.9996522765271831,False
2064,1.976510073653183,0.0137848292431658,8.226947231060345,0.1502283949019657,2.0133244436069764,2.0129294589473328,0.0001961852998396,0.5529867876913819,9.26771839117181,37011.75208385429,0.0009653280045609,0.2485555862884402,0.0040694247527028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,0.0001236908940171,0.0074218754202109,520.0,True,True,False,True,1.0053564260653183,False
2065,1.977473254781993,0.0138902155254225,8.226103276688896,0.1462470663245576,2.0430603282498314,2.0433003890908505,0.0001175006130263,0.552963347838854,9.01980380319921,36921.20905288906,0.0009631811288101,0.2487797936344897,0.0042755157985455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,6.94875624282059e-05,0.004212632387362,520.0,True,False,False,False,0.9975536680684531,False
2066,1.9784371475392628,0.0139828887514524,8.225352005702861,0.1422650039845147,2.0750670180863398,2.075303541717681,0.0001139836107846,0.5529975340281967,8.772204951013435,36834.17927793076,0.0009638927572694,0.2486798374946753,0.0044614617818712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,1.804990077764275e-05,0.0011053891779723,520.0,True,False,False,False,0.9976428243497217,False
2067,1.979401708749579,0.0140145968410757,8.224685693904929,0.1382892217651828,2.1089776549799377,2.1092037931363574,0.0001072264354654,0.5530924475182251,8.525123754409634,36813.24260245275,0.0009645612103162,0.2485713525043597,0.0045989256517218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,260.0,688.0,9.843755891523524e-05,0.0060906011845221,519.0,False,False,False,True,0.9994315965256065,False
2068,1.9803669287155945,0.0138143098335828,8.227234491050218,0.1504432201666403,2.0117720457531907,2.0113758084810978,0.0001969593289306,0.5530123966388469,9.281133155637791,37018.52504733994,0.0009652199660155,0.2485596812200101,0.0040795753389572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,0.0001278682743866,0.0076684879803095,520.0,True,True,False,True,1.0055763206491761,False
2069,1.9813300102170603,0.0139235506763367,8.226385802732388,0.1464620263635704,2.041420330357948,2.041660611656118,0.0001177030005026,0.5529861569727561,9.033215489562728,36927.9683164225,0.0009630815014658,0.2487832360701403,0.0042887781018447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,7.358039107769816e-05,0.004458372543764,520.0,True,False,False,False,0.9975537455692349,False
