iteration,step_scale,objective,relative_decrease,maximum_displacement_ratio,condition_number,condition_number_ratio,dipole_coefficient,root_relative_mismatch,accepted,rejection_reason
1,0.1,0.0022067907213706795,0.06393615869076286,0.4104824095987572,147767.7710500883,1.0001236215874894,8.210927921458577,1.905972603038762e-05,False,displacement_limit
1,0.05,0.0022659053858461505,0.03886123909338189,0.2052413349205968,147761.07046424516,1.0000782706010558,8.206328885123856,5.48405021835136e-06,True,
1,0.02,0.0023169779277896624,0.01719758094306263,0.08209656490591662,147754.10444362034,1.000031123095711,8.203565528857467,1.4752623242667807e-07,True,
2,0.1,0.002109545227494417,0.06900559896650073,0.42793569750076654,147776.27749166626,1.0001029163322472,8.215689253550586,1.1829736446715483e-05,False,displacement_limit
2,0.05,0.0021636102088418516,0.04514538764207893,0.21396800167654226,147767.44324180728,1.0000431289347194,8.211011902417873,9.884096223607359e-06,True,
2,0.02,0.0022191872003490456,0.020617888897271452,0.0855872370054734,147765.5986395884,1.0000306452526975,8.208198376769943,5.366472171438732e-06,True,
3,0.1,0.0020465192388865417,0.05411832939075794,0.4422678901486915,147785.29973293436,1.0001208418494314,8.220462167151707,4.2904108567941154e-06,False,displacement_limit
3,0.05,0.0020700807024029823,0.04322844570461436,0.2211341196271704,147775.78891902888,1.0000564784572197,8.215743653214046,3.44494629054854e-06,True,
3,0.02,0.0021178021056525113,0.021172068333815436,0.08845368930768795,147770.76342857804,1.0000224690005992,8.212901807583282,7.349341398960251e-06,True,
4,0.1,0.0020588289735722046,0.005435405884281007,0.45380651852921255,147795.11653277668,1.0001307901239382,8.225210742819957,2.8637934620765855e-05,False,displacement_limit
4,0.05,0.0020151801095921727,0.02652099154737309,0.22690345381682314,147784.69892661064,1.0000602940958525,8.220488909529104,1.1751715692770374e-05,True,
4,0.02,0.0020362967229570817,0.01632012674997821,0.09076142771664081,147778.8604295802,1.000020784937599,8.21764012493095,2.130075226812072e-06,True,
5,0.1,0.00219997923469365,-0.09170352775012075,0.46247672878219837,147797.4431567152,1.0000862351122757,8.229891339420147,5.206010669017694e-05,False,insufficient_objective_decrease
5,0.05,0.0020402207792872065,-0.012426020669736323,0.23123857660130287,147794.3371669752,1.0000652181209189,8.225208016103114,3.492455887074134e-05,False,insufficient_objective_decrease
5,0.02,0.002009041496184824,0.0030461859851280593,0.09249548100624465,147788.53417319027,1.0000259515809653,8.22237640267096,2.0967742588688485e-05,True,
6,0.1,0.0023065180080574623,-0.14806887385728312,0.46482691766739326,147799.46880885054,1.0000739883897045,8.231727037517876,6.448742734193233e-05,False,insufficient_objective_decrease
6,0.05,0.00208219780670213,-0.03641353882248322,0.23241367691691664,147792.86455685168,1.0000293012153185,8.227075677356323,4.1498046479337734e-05,False,insufficient_objective_decrease
6,0.02,0.002020123242714323,-0.0055159371026149056,0.09296552253611454,147792.24142431092,1.0000250848358527,8.22425993152976,3.1053633608058614e-05,False,insufficient_objective_decrease
