iteration,step_scale,objective,relative_decrease,weak_projected_integral_at_source,unresolved_integral_at_source
1,0.05,0.0022659053858461505,0.03886123909338189,0.0020074752648339897,0.0003500463314324836
2,0.05,0.0021636102088418516,0.04514538764207893,0.001916234921432746,0.0003496704644134045
3,0.05,0.0020700807024029823,0.04322844570461436,0.0018143122167701348,0.0003492979920717168
4,0.05,0.0020151801095921727,0.02652099154737309,0.0017211457849900282,0.00034893491741295416
5,0.02,0.002009041496184824,0.0030461859851280593,0.0016665925828648772,0.0003485875267272955
