xi,eta,arc_length
3.2400266790799415,0.17927326941347177,0.0
3.2570258366926246,0.18227085111371966,0.017261426812129502
3.2745703429958937,0.17772239125388062,0.03538594579945757
3.293450059486865,0.17532965463077244,0.05441668102768839
3.313271077153817,0.17279618754654374,0.0743989530912072
3.334115857707017,0.1704058595699383,0.09538033874961437
3.356014810703685,0.16800236171883956,0.1174107936761589
3.3790199305833073,0.16558309515913072,0.1405427713556119
3.403184052611529,0.16312745716443874,0.1648313479165337
3.428564396510244,0.1606291722534218,0.19033435330636286
3.4552212247488345,0.15808297336922958,0.21711250896539927
3.4832181158459345,0.15548617813220145,0.2452295724074789
3.5126219529170366,0.15283722156358737,0.2747524890216334
3.543503056993766,0.1501355029506979,0.3057515514665046
3.5759353207065274,0.14738110921450057,0.3383005670336167
3.6099963675584874,0.1445746988361861,0.372477033379085
3.6457677238751733,0.1417174131585676,0.40836232304182607
3.6833350038873007,0.1388108218349397,0.4460418771877044
3.722788106469147,0.13585688389326198,0.48560540904087635
3.764221423421194,0.13285791958043913,0.527147117486707
3.8077340593105866,0.1298165882162333,0.5707659113548293
3.853430063143156,0.12673586946230855,0.6165656449163576
3.901418672261928,0.12361904614855564,0.6646553651559622
3.9518145689664492,0.12046968743212522,0.7151495714075465
4.004738150418733,0.11729163143808995,0.7681684879717102
4.06031581246034,0.11408896680147516,0.8238383503640827
4.118680248015035,0.11086601272284179,0.8822917058760726
4.1799707607962695,0.10762729729661052,0.9436677291636629
4.244333595080365,0.10437753398781009,1.0081125536156321
4.311922282346202,0.10112159622932493,1.0757796192901996
4.382898005621302,0.09786449019393938,1.146830038248495
4.457429982413227,0.0946113258670645,1.221432978154706
4.5356958671447805,0.09136728660892122,1.299766065056227
4.61788217405213,0.08813759745002028,1.382015806302824
4.704184721547111,0.08492749241130065,1.4683780346117499
4.794809099089183,0.08174218118009817,1.5590583743361228
4.889971157659116,0.07858681550488736,1.6542727310467138
4.989897524976054,0.07546645569504613,1.7542478055928348
5.094826146652415,0.0723860376263464,1.8592216338662615
5.205006854537644,0.06935034065819462,1.9694441535533593
5.320701963562371,0.06636395686471554,2.085177799224812
5.442186898459434,0.06343126196866977,2.2066981271798376
5.569750851807712,0.06055638834523825,2.334294471532614
5.703697474918969,0.05774320043243232,2.4682706331030286
5.844345603167143,0.05499527284707997,2.6089456027519646
5.9920300174437635,0.05231587146098771,2.7566543208833476
6.147102243512601,0.04970793764215946,2.9117484749212994
6.309931391131174,0.0471740758122017,3.074597336661149
6.480905034906512,0.04471654441468544,3.245588641487991
6.66043013895747,0.04233725033176675,3.4251295115561744
6.8489340275660835,0.0400377467292718,3.6136474251277666
7.046865404115813,0.0378192342551829,3.811591234377939
7.254695420735274,0.0356825654643593,4.019432234090621
7.472918801192153,0.033628252294602465,4.237665283788935
7.702055019713738,0.03165647637685603,4.466809985972166
7.94264953854789,0.029767101926240894,4.707411923264557
8.195275107221779,0.027959690931364443,4.960043957421569
8.460533126605407,0.026233520337270447,5.22530759328643
8.739055081043412,0.024587600902653002,5.503834410944536
9.031504041981968,0.023020697404442108,5.796287569485546
9.338576246688655,0.02153134986229385,6.103363385953608
9.661002755841956,0.020117895461404814,6.425792993245071
9.999551193954451,0.018778490863795783,6.764344080901108
10.3550275767901,0.01751113461503237,7.119822722939949
10.728278230141994,0.016313689374451452,7.493075297080731
11.120191804553018,0.015183903721469544,7.88499049992855
11.531701390788736,0.014119433317580775,8.296501462918764
11.963786741110006,0.013117861232351997,8.728587974058485
12.417476601643171,0.012176717271172404,9.182278810755193
12.893851161408449,0.01129349617229297,9.658654189286736
13.394044623843483,0.010465674568511458,10.158848336744855
13.91924790694925,0.009690726640312524,10.68405219157588
14.470711478490479,0.008966138394988872,11.23551623914846
15.049748333003281,0.008289420597652107,11.814553489099668
15.657737117699115,0.007658120096924799,12.422542601548434
16.296125414709138,0.007069830500506638,13.060931169619641
16.96643318747946,0.006522197676679173,13.73123916609441
17.67025639953957,0.006012940820589346,14.435062562392911
18.409270814150204,0.005539733125384858,15.17407712850634
19.185235984859904,0.005101568322844979,15.950042422925446
19.9999994468722,0.004703733799565902,16.7648059820655
