iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,accepted_time_step,maximum_displacement_ratio
0,0.0,1.9223078535127431,5.660700714699171,0.002997248919179594,1.6897137969300045,,
1,0.00018362379197635264,1.4856828799488402,5.696768471840836,0.01891264724982127,0.9730120469362349,0.00018362379197635264,0.08603268314674377
2,0.00042748022759949225,1.5008174808356116,5.700346594833838,0.017704898176517762,1.020426775405944,0.00024385643562313964,0.09648207289490372
3,0.0006731284812270667,1.517769366686972,5.703829312075985,0.01650255604714974,1.0665945587471164,0.0002456482536275744,0.09686713284291538
4,0.0009202539733841942,1.5305316074885433,5.707206246012545,0.01530063710901181,1.1116970787499787,0.00024712549215712745,0.09733364571139189
5,0.0011683594701585285,1.5411397078251499,5.710480276263924,0.014093565404302977,1.1559096444583286,0.0002481054967743344,0.09787960004523305
6,0.0014167240570185338,1.5596809313761448,5.713656308766287,0.012875156718101258,1.1993906843034823,0.0002483645868600054,0.09849609020599445
7,0.0016643625083422227,1.5841288937287967,5.716748939659539,0.011638663484398168,1.2422643322782794,0.00024763845132368877,0.09916429245984774
8,0.0019100085990446083,1.6133553663527327,5.71977501441423,0.010376880965147547,1.2845994464718384,0.0002456460907023856,0.0998537905861987
9,0.0021521496321609277,1.6465520967524476,5.722762096843563,0.009082352091671884,1.3263866491846175,0.00024214103311631947,0.10052311602453869
10,0.0023891397104797065,1.3107654654630434,5.751845852275912,0.018702936384723118,1.0083140606330152,0.0002369900783187788,0.09458723982942428
11,0.0026373660701993545,1.3392365057059405,5.755442838434236,0.01757015274645991,1.0548673251701377,0.0002482263597196478,0.09634158320428125
12,0.0028864780543897913,1.3837290278439436,5.758964232096047,0.016440558449513684,1.100318483049033,0.00024911198419043693,0.09664332826301505
13,0.0031365664636697392,1.4458001630997535,5.76240265889092,0.015307660630019973,1.1450783319829405,0.000250088409279948,0.09703679107125902
14,0.0033872889357575067,1.4624099777827184,5.765758154807332,0.014165534682144479,1.189356351123363,0.00025072247208776736,0.09750345039692106
15,0.003638136179505305,1.4833106042140443,5.769027047492692,0.013007560786147962,1.23335692290778,0.00025084724374779837,0.0980425352932616
16,0.0038883880812479814,1.5082065012753063,5.772225019904007,0.011826418118485074,1.2772634404440197,0.0002502519017426767,0.09864782804487297
17,0.004137072742940873,1.5370214850421555,5.775355870811582,0.010614150232477297,1.3212148967841244,0.0002486846616928916,0.0993051823455232
18,0.004382944851204602,1.56976410425354,5.7784346829634785,0.009362356456163217,1.3652723305657681,0.0002458721082637287,0.09999015584013449
19,0.004624509763218081,1.0891014090745843,5.800593692286128,0.01832708028167022,1.0474506508736083,0.000241564912013479,0.09510585009035222
20,0.004877625693444558,1.0995941615046094,5.80414686497339,0.01726987752644915,1.0931370895717092,0.0002531159302264769,0.09643488189918069
21,0.005130095144470312,1.11537648574111,5.80763551573919,0.016217777722614766,1.1373102886808082,0.00025246945102575376,0.09664405620833313
22,0.005383030422262922,1.1369714922275713,5.811056303431571,0.015160727576162873,1.181031308825651,0.0002529352777926102,0.09699535407810694
23,0.005636153826254305,1.164748571373645,5.814407802373779,0.014092883967073604,1.2245263675910272,0.0002531234039913827,0.09740908042352692
24,0.005889062498253515,1.1994350370935931,5.817689484127446,0.013007725584260554,1.268025339350571,0.0002529086719992099,0.0978867879463106
25,0.006141190018399577,1.2421059143043462,5.8209023322813955,0.01189802010197344,1.3117484455180588,0.00025212752014606207,0.09842691978650873
26,0.006391767488686178,1.2927434396827622,5.824048213572218,0.01075583545264024,1.3558870689073401,0.000250577470286601,0.0990232159906674
27,0.006639789772969539,1.3510187299617757,5.827137011879084,0.00957265793713307,1.400573247530211,0.0002480222842833613,0.09966239833672833
28,0.006884003482093397,1.3974320307676644,5.830327548835936,0.008582513428430251,1.4393129831205254,0.0002442137091238574,0.09474090424315995
29,0.007123991330145536,0.972193705218171,5.8484947792734445,0.018089850645710323,1.0805612478157232,0.00023998784805213827,0.09440112247918564
30,0.00738205696892047,0.9769769773452303,5.851988597795226,0.017107964368699102,1.125441590122297,0.0002580656387749344,0.09658088845845286
