coarse_cfl,fine_cfl,pseudo_time_relative_difference,kinematic_rms_relative_change,kinematic_convergence_integral_relative_change,root_body_eta_relative_change,interface_s_lambda_relative_change,measured_s_lambda_relative_change,solved_dipole_coefficient_relative_change,body_vertical_force_coefficient_relative_change,computed_pressure_peak_relative_change,computed_peak_eta_relative_change,free_surface_nrmse_relative_change,pressure_nrmse_relative_change,kinematic_rms_trajectory_relative_l2,kinematic_convergence_integral_trajectory_relative_l2,root_body_eta_trajectory_relative_l2,free_surface_eta_relative_l2,pressure_curve_relative_l2
0.25,0.125,0.00021021063846941192,4.3169585290694504e-05,2.799608089297686e-05,1.577306527665252e-07,7.314982755015127e-08,1.879426016716624e-06,9.851254563159906e-08,4.727487488711323e-08,9.072366716419127e-08,7.75833226592965e-08,5.659873050482389e-06,6.064482221723781e-06,0.0006391971936045373,0.0003980683371436931,3.1309707267171964e-06,1.1040032192183893e-06,2.9892574161973637e-07
0.125,0.0625,0.00010489339754450648,1.2679567050175761e-05,4.207030331110656e-06,7.469626328890701e-08,1.8285230907244812e-07,7.892276702472612e-07,5.1808890861416085e-08,9.975699546362298e-09,4.8860188966765464e-08,5.400602263388526e-08,2.9196140116561745e-06,1.8527346560435654e-06,0.0001549948229970675,8.868172096975002e-05,7.685446454589127e-07,5.405600353004194e-07,1.294751741095931e-07
