component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,diagnostic_zero_restoring_component,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-21.610222801713363,-0.6720133249978842,0.02634766220774626,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,A53,-8.93933572761773,-0.8741717510374374,0.0431586205736641,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,B33,304.13739993939714,1.7031060476373259,0.02634766220774626,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,B53,-1.0276802105312415,-0.018096839551388487,0.0431586205736641,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,A33,-17.845328188772744,-0.5549363577530925,0.07724492085426159,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,A53,-10.447721031811295,-1.0216757561205334,0.10328758516490945,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,B33,300.9287371448049,1.6851382047762118,0.07724492085426159,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,B53,0.5481110877152537,0.009651911469222972,0.10328758516490945,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,A33,-3.7648946129406196,-0.1170769672447918,0.22793886729591842,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,A53,1.508385304193564,0.1475040050830958,0.23031633471897614,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,B33,3.2086627945921906,0.017967842861113907,0.22793886729591842,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,B53,-1.575791298246486,-0.027748751020611296,0.23031633471897614,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,A33,-19.0612299552634,-0.592747267731559,0.04719493305739133,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,A53,-7.847033161749226,-0.7673562027950829,0.048476640025120185,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,B33,62.82395975535446,0.35180108009468186,0.04719493305739133,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,B53,21.461945055717333,0.3779321350688059,0.048476640025120185,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,A33,-2.548992846449977,-0.07926605726632577,0.01664147637564339,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,A53,-1.0923025658685042,-0.10681554824235465,0.016736437798842835,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,B33,241.31344018404272,1.351304967542644,0.01664147637564339,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,B53,-22.489625266248563,-0.39602897462019415,0.016736437798842835,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,A33,1.372513102927985,0.04268105434936424,0.004002584177908719,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,A53,-0.4663880704888588,-0.045607782128892875,0.004305347218073297,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,B33,67.32791822256887,0.3770223087411709,0.004002584177908719,zero_diagnostic_only,False,False
