station_index,x_m,omega_rad_s,waterplane_beam_m,draft_m,added_mass_per_m,damping_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,section_solver,status
0,0.0,0.9112006086908124,1.6484864516727733,0.3,600.8884394968713,2434.0275184472025,419.090042754885,6.161516645451497e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
1,2.2,0.9112006086908124,1.8682846452291433,0.34,513.3523437785785,2756.0170308170045,393.0179693974183,7.16410327532557e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
2,4.4,0.9112006086908124,1.978183742007328,0.36,480.35795661895105,2905.4934186816354,383.61299707171474,6.542037425011284e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
3,6.6,0.9112006086908124,1.4850521120497775,0.3,642.6617719348875,2147.3320854793924,443.602009708311,6.367647184085187e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
4,8.8,0.9112006086908124,0.8984147095616863,0.2,783.7348005956147,940.9048275559403,582.0760454581654,9.03951880301632e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
5,11.0,0.9112006086908124,0.2256871758415598,0.06,77.89142113589622,12.496788339434335,553.5169674104293,3.787160423478372e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
0,0.0,4.0,1.6484864516727733,0.3,457.96893692296277,1400.6643604530566,78.79865361576114,1.0886429462423403e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
1,2.2,4.0,1.8682846452291433,0.34,572.9142720564818,1702.932164489652,83.39357499420989,1.0103432196340732e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
2,4.4,4.0,1.978183742007328,0.36,634.58809333719,1861.1479837750685,85.74731710552877,9.815352172205613e-16,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
3,6.6,4.0,1.4850521120497775,0.3,371.6599330991159,1182.8663280219776,75.69015227108144,1.1540676546379222e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
4,8.8,4.0,0.8984147095616863,0.2,144.2837823074877,511.02877606927115,61.57553485940256,9.829834031318685e-16,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
5,11.0,4.0,0.2256871758415598,0.06,6.008652414160568,65.5648196107433,93.76725954020169,1.739405190707155e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
0,0.0,14.334541805954894,1.6484864516727733,0.3,438.07338887724325,296.31473436563937,73.97115294432312,7.460193019809406e-16,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
1,2.2,14.334541805954894,1.8682846452291433,0.34,569.1957259834799,279.1777068744588,68.61126348764196,6.421757883315487e-16,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
2,4.4,14.334541805954894,1.978183742007328,0.36,641.4813802101992,266.07585277216026,66.31457730543063,8.347319449356048e-16,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
3,6.6,14.334541805954894,1.4850521120497775,0.3,347.6544636228704,282.12246129710996,78.64648909374888,6.208749282695968e-16,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
4,8.8,14.334541805954894,0.8984147095616863,0.2,119.76587238103073,232.3318461382181,103.3825152365148,8.087653006775049e-16,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
5,11.0,14.334541805954894,0.2256871758415598,0.06,6.972312842382773,64.88925572082849,169.05312887610546,1.3707805592063194e-15,8,8,pdstrip_style,experimental_pdstrip_style_section_solver_not_validated
