,surge,sway,heave,roll,pitch,yaw
surge,50.20994466796725,0.0,0.0,0.0,0.0,0.0
sway,0.0,2989.5709850825833,0.0,0.0,0.0,1325.6976245982783
heave,0.0,0.0,4126.873680974809,0.0,398.22935961971325,0.0
roll,0.0,0.0,0.0,5603.88635619915,0.0,0.0
pitch,0.0,0.0,3807.8210071637823,0.0,24291.462306212925,0.0
yaw,0.0,1325.6976245982783,0.0,0.0,0.0,19776.7459422395
