residual_row,shape_mode,value,finite_difference_step,jacobian_condition_number
0,0,-11.66964926144412,3.277267858264207e-05,2711.7847363541746
0,1,-23.518362772465235,1.6013280474238616e-05,2711.7847363541746
0,2,-1.7465508134856964,1.1397053741750026e-05,2711.7847363541746
0,3,-1.5690974190080589,1.5842869136694542e-05,2711.7847363541746
0,4,-1.724020098147019,1.678201400670814e-05,2711.7847363541746
0,5,-1.6502049220255517,1.8564810321995485e-05,2711.7847363541746
0,6,-1.714080789425041,1.842215572698702e-05,2711.7847363541746
0,7,-1.695898817566225,2.0559157363834265e-05,2711.7847363541746
0,8,-1.7480942556304586,1.992749924936426e-05,2711.7847363541746
0,9,-1.7584222640893947,2.0878483654500187e-05,2711.7847363541746
0,10,-1.7691777626706087,2.3094964505059214e-05,2711.7847363541746
0,11,-1.789617164131636,2.4181699960942145e-05,2711.7847363541746
0,12,-1.7964196236891607,2.4314279524727917e-05,2711.7847363541746
0,13,-1.8156017068428776,2.488160120672786e-05,2711.7847363541746
0,14,-1.8237236064961309,2.5852148385160803e-05,2711.7847363541746
0,15,-1.823265440432647,2.7364947688207485e-05,2711.7847363541746
0,16,-1.8138486247683547,2.8198594076798612e-05,2711.7847363541746
0,17,-1.8663608413306232,2.70634226849472e-05,2711.7847363541746
0,18,-1.8933882710833911,2.7072554135219665e-05,2711.7847363541746
0,19,-1.8973642208597226,2.8765591148058855e-05,2711.7847363541746
0,20,-1.8558256700356168,3.267032515525287e-05,2711.7847363541746
0,21,-1.9490915529041637,2.9521668168389724e-05,2711.7847363541746
0,22,-1.9214915992027823,3.0402979305826452e-05,2711.7847363541746
0,23,-1.933831414631389,3.4327989033076e-05,2711.7847363541746
0,24,-1.9442669153488976,3.11721097769168e-05,2711.7847363541746
0,25,-1.9676361647514677,3.536206074049357e-05,2711.7847363541746
0,26,-1.9620320352177838,3.2749209144405456e-05,2711.7847363541746
0,27,-2.013501742280858,3.599121771703221e-05,2711.7847363541746
0,28,-1.953175831931318,3.409041646197405e-05,2711.7847363541746
0,29,-2.0916517692087324,3.827554705701293e-05,2711.7847363541746
0,30,-1.8811036131351266,3.508284976941514e-05,2711.7847363541746
0,31,-2.201151901496716,4.1067057809617206e-05,2711.7847363541746
1,0,-3.7585207408965364,3.277267858264207e-05,2711.7847363541746
1,1,-7.5483740603263,1.6013280474238616e-05,2711.7847363541746
1,2,-0.5625454987585093,1.1397053741750026e-05,2711.7847363541746
1,3,-0.5053669248666163,1.5842869136694542e-05,2711.7847363541746
1,4,-0.5537163005613969,1.678201400670814e-05,2711.7847363541746
1,5,-0.5310210961958446,1.8564810321995485e-05,2711.7847363541746
1,6,-0.5506342657496772,1.842215572698702e-05,2711.7847363541746
1,7,-0.5452147149782508,2.0559157363834265e-05,2711.7847363541746
1,8,-0.5616146660628835,1.992749924936426e-05,2711.7847363541746
1,9,-0.5650107800664445,2.0878483654500187e-05,2711.7847363541746
1,10,-0.5682287813227643,2.3094964505059214e-05,2711.7847363541746
1,11,-0.5746359520487139,2.4181699960942145e-05,2711.7847363541746
1,12,-0.5768541557950353,2.4314279524727917e-05,2711.7847363541746
1,13,-0.582902784738111,2.488160120672786e-05,2711.7847363541746
1,14,-0.5853996719703919,2.5852148385160803e-05,2711.7847363541746
1,15,-0.5852603102080407,2.7364947688207485e-05,2711.7847363541746
1,16,-0.5819661788456783,2.8198594076798612e-05,2711.7847363541746
1,17,-0.5990375873229364,2.70634226849472e-05,2711.7847363541746
1,18,-0.6075691853383386,2.7072554135219665e-05,2711.7847363541746
1,19,-0.6086954153633912,2.8765591148058855e-05,2711.7847363541746
1,20,-0.5952877912916263,3.267032515525287e-05,2711.7847363541746
1,21,-0.6251881435514764,2.9521668168389724e-05,2711.7847363541746
1,22,-0.6163201154065165,3.0402979305826452e-05,2711.7847363541746
1,23,-0.6200772188728059,3.4327989033076e-05,2711.7847363541746
1,24,-0.6235566201342789,3.11721097769168e-05,2711.7847363541746
1,25,-0.630732451135688,3.536206074049357e-05,2711.7847363541746
1,26,-0.6291684776061102,3.2749209144405456e-05,2711.7847363541746
1,27,-0.645395945662178,3.599121771703221e-05,2711.7847363541746
1,28,-0.6261494592955821,3.409041646197405e-05,2711.7847363541746
1,29,-0.6703091760424585,3.827554705701293e-05,2711.7847363541746
1,30,-0.6029907447543777,3.508284976941514e-05,2711.7847363541746
1,31,-0.705249021481272,4.1067057809617206e-05,2711.7847363541746
2,0,-4.958676242891247,3.277267858264207e-05,2711.7847363541746
2,1,-10.045985158294329,1.6013280474238616e-05,2711.7847363541746
2,2,-0.7424952625377722,1.1397053741750026e-05,2711.7847363541746
2,3,-0.6670422708800859,1.5842869136694542e-05,2711.7847363541746
2,4,-0.7359406139830228,1.678201400670814e-05,2711.7847363541746
2,5,-0.7024075034901833,1.8564810321995485e-05,2711.7847363541746
2,6,-0.7314526750081474,1.842215572698702e-05,2711.7847363541746
2,7,-0.7228440248758337,2.0559157363834265e-05,2711.7847363541746
2,8,-0.7458441993163627,1.992749924936426e-05,2711.7847363541746
2,9,-0.750088155598911,2.0878483654500187e-05,2711.7847363541746
2,10,-0.7551233974807859,2.3094964505059214e-05,2711.7847363541746
2,11,-0.7641540019304973,2.4181699960942145e-05,2711.7847363541746
2,12,-0.7669840765272513,2.4314279524727917e-05,2711.7847363541746
2,13,-0.7753944773645901,2.488160120672786e-05,2711.7847363541746
2,14,-0.7790691448434098,2.5852148385160803e-05,2711.7847363541746
2,15,-0.7788530786291897,2.7364947688207485e-05,2711.7847363541746
2,16,-0.7753600641522979,2.8198594076798612e-05,2711.7847363541746
2,17,-0.7973699042105138,2.70634226849472e-05,2711.7847363541746
2,18,-0.8091925652972403,2.7072554135219665e-05,2711.7847363541746
2,19,-0.8111815613623952,2.8765591148058855e-05,2711.7847363541746
2,20,-0.7935680692625703,3.267032515525287e-05,2711.7847363541746
2,21,-0.8334880077639331,2.9521668168389724e-05,2711.7847363541746
2,22,-0.8217132039611299,3.0402979305826452e-05,2711.7847363541746
2,23,-0.82737081579879,3.4327989033076e-05,2711.7847363541746
2,24,-0.8315816581822155,3.11721097769168e-05,2711.7847363541746
2,25,-0.8421889271855018,3.536206074049357e-05,2711.7847363541746
2,26,-0.8393448052151008,3.2749209144405456e-05,2711.7847363541746
2,27,-0.861892149878834,3.599121771703221e-05,2711.7847363541746
2,28,-0.835900573445633,3.409041646197405e-05,2711.7847363541746
2,29,-0.895600927883372,3.827554705701293e-05,2711.7847363541746
2,30,-0.8051615958003089,3.508284976941514e-05,2711.7847363541746
2,31,-0.9427759755430206,4.1067057809617206e-05,2711.7847363541746
