case,omega_e_rad_s,x_m,lever_forward_m,component,transom_weight,F3_density_real,F3_density_imag,M5_density_real,M5_density_imag
fn167,8.6966,1.7902623815836317e-05,-0.6969820973761841,incident,0.0,-3363.7152938098443,-2112.6725816446815,2344.4493404559325,1472.494967023868
fn167,8.6966,0.1278912295049587,-0.5691087704950413,incident,0.0,-2916.89149175428,-2696.2399819702514,1660.0285305397251,1534.453821098662
fn167,8.6966,0.25576455638610157,-0.4412354436138984,incident,1.0,-2370.199820572106,-3187.4941295010117,1045.8161692837155,1406.4353862470755
fn167,8.6966,0.38363788326724446,-0.3133621167327555,incident,1.0,-1742.3577856708982,-3569.615576186805,545.9889238236294,1118.582292876112
fn167,8.6966,0.5115112101483873,-0.18548878985161266,incident,1.0,-1054.8613002003071,-3829.5213346295864,195.66494603545365,710.3332780713746
fn167,8.6966,0.6393845370295301,-0.05761546297046982,incident,1.0,-331.24871285450587,-3958.312810437761,19.085047949484576,228.06002515531316
fn167,8.6966,0.7672578639106731,0.07025786391067312,incident,1.0,403.70509277014816,-3951.5804702820997,28.36345746789074,-277.6296029131534
fn167,8.6966,0.8951311907918159,0.19813119079181596,incident,1.0,1124.836935018897,-3809.5548144974555,222.86528138191056,-754.7916317830765
fn167,8.6966,1.0230045176729587,0.3260045176729588,incident,1.0,1807.4568654831985,-3537.0984852645965,589.2391036465281,-1153.110085650438
fn167,8.6966,1.1508778445541017,0.45387784455410174,incident,1.0,2428.1934978528193,-3143.539780570423,1102.1032309657226,-1426.7830598753776
fn167,8.6966,1.2787511714352444,0.5817511714352445,incident,1.0,2543.2549735670686,-2265.8949579115892,1479.5415601311538,-1318.1870461142807
fn167,8.6966,1.4066244983163874,0.7096244983163874,incident,1.0,2209.2451376077715,-1331.773018567809,1567.7344724328332,-945.0587601724824
fn167,8.6966,1.5344978251975303,0.8374978251975304,incident,1.0,1626.9913478772355,-607.189308609731,1362.6017154623833,-508.5197254438418
fn167,8.6966,1.662371152078673,0.9653711520786731,incident,1.0,863.9594360688952,-149.98613476733678,834.0415161470701,-144.79228771617102
fn167,8.6966,1.7902444789598158,1.0932444789598157,incident,1.0,1.1702552782237414,0.015693409708961596,1.2793751218916887,0.01715673352037663
