case,component,cutoff,mode,absolute_error,tolerance,passed,original_real,original_imag,shifted_real,shifted_imag
fn167,incident,uncut,3,1.4210854715202004e-14,4.758931341262983e-05,True,372.215170367938,-4743.349714613138,80.25874898704782,-4757.254374256605
fn167,incident,uncut,5,4.92871004578032e-13,1.5007438098872979e-05,True,1512.2220755816936,-101.62749716548674,1499.72546707127,7.417460018759661
fn167,incident,cut,3,9.094947017729282e-13,4.371299247090363e-05,True,960.2725222200805,-4263.4953022359105,696.6707993485905,-4314.413668907234
fn167,incident,cut,5,1.1368683772161603e-13,1.1302657426189117e-05,True,1150.0524362297635,-391.9896273393949,1094.2743478668376,-278.9350624307553
fn167,diffraction,uncut,3,3.2155493553843715e-13,1.5830813583652054e-05,True,-1137.9720090128515,-1099.0910477253226,-1203.3118113842688,-1027.1426916791083
fn167,diffraction,uncut,5,1.6077746776921858e-13,5.095762309070596e-06,True,246.54838975976068,-461.0211562230326,268.7956882660046,-431.73911174832847
fn167,diffraction,cut,3,3.2155493553843715e-13,1.4380110300417618e-05,True,-881.7181557046864,-1134.7130890063847,-949.7287753366375,-1078.432173926231
fn167,diffraction,cut,5,1.7288250917028504e-13,4.111684700192133e-06,True,89.50147148254052,-438.16059509087125,102.69688262152364,-397.10392103040664
fn167,total,uncut,3,1.016845989170083e-12,5.893410168798966e-05,True,-765.7568386449138,-5842.440762338459,-1123.0530623972206,-5784.397065935713
fn167,total,uncut,5,4.582862941503293e-13,1.8197127153572108e-05,True,1758.7704653414546,-562.648653388519,1768.521155337275,-424.3216517295688
fn167,total,cut,3,9.447813987773464e-13,5.3997799199242556e-05,True,78.55436651539364,-5398.208391242293,-253.0579759880467,-5392.845842833465
fn167,total,cut,5,4.547473508864641e-13,1.3756886315729907e-05,True,1239.5539077123042,-830.1502224302661,1196.9712304883615,-676.0389834611617
fn226,incident,uncut,3,9.374856803373542e-13,4.379840015441432e-05,True,-246.94131547827914,-4371.8714376729995,-514.9164578969596,-4348.459603378877
fn226,incident,uncut,5,2.8421709430404007e-13,1.1131122106461766e-05,True,1053.8634550370778,137.10311773568972,1082.1257922252846,256.5099196310484
fn226,incident,cut,3,1.9895196601282805e-13,3.9648207097747294e-05,True,280.3200516890493,-3953.896216121522,37.01449393152437,-3963.647883765412
fn226,incident,cut,5,3.5083047578154947e-14,7.1519132152371754e-06,True,724.5144215101585,-120.42905816881145,714.1833691594111,3.3703050168169284
fn226,diffraction,uncut,3,1.1368683772161603e-13,1.5135394763030741e-05,True,-1159.71104786748,-971.0025503721857,-1217.144192167825,-897.961960690602
fn226,diffraction,uncut,5,1.797546735911271e-13,3.5989129950981633e-06,True,137.35401205268698,-347.7828130753513,167.34724021178116,-317.4867966661685
fn226,diffraction,cut,3,1.1368683772161603e-13,1.4142774386864679e-05,True,-961.0880927739199,-1036.1770102778637,-1022.897847615287,-975.2092657702734
fn226,diffraction,cut,5,5.859285502108464e-14,2.6916179299868246e-06,True,14.186800159682496,-306.4080570390559,38.716871921590645,-265.3521265278939
fn226,total,uncut,3,1.8749713606747085e-12,5.525941024430583e-05,True,-1406.6523633457593,-5342.873988045184,-1732.0606500647846,-5246.421564069478
fn226,total,uncut,5,2.2837069025155467e-13,1.2519600466523433e-05,True,1191.2174670897648,-210.67969533966144,1249.473032437066,-60.976877035120246
fn226,total,cut,3,9.713407672867936e-13,5.037295854156158e-05,True,-680.7680410848704,-4990.073226399385,-985.883353683763,-4938.857149535686
fn226,total,cut,5,1.7053025658242404e-13,7.981783036574014e-06,True,738.701221669841,-426.83711520786744,752.9002410810016,-261.98182151107693
fn282,incident,uncut,3,4.547473508864641e-13,4.0280196102149656e-05,True,-621.4764449031007,-3978.775435920768,-864.6061826279441,-3933.108578467855
fn282,incident,uncut,5,2.3437142008433856e-13,9.991219744971612e-06,True,839.2507217140785,328.27258236753374,894.4828821038552,442.8858200454072
fn282,incident,cut,3,9.947598300641403e-14,3.2890783072808235e-05,True,135.2829672996096,-3285.294122840349,-66.69393772962113,-3287.4018424100273
fn282,incident,cut,5,5.859285502108464e-14,4.031088973263934e-06,True,400.2919587521358,-61.726122112293424,398.57442240003576,53.197698423200364
fn282,diffraction,uncut,3,2.2737367544323206e-13,1.5401163075500993e-05,True,-1229.532311784429,-925.8127793699374,-1284.058571374369,-848.5709124443666
fn282,diffraction,uncut,5,2.2914314707516465e-13,2.2213273846964305e-06,True,95.5378016756617,-203.8547883412753,137.28465131925046,-173.35689353249114
fn282,diffraction,cut,3,3.595093471822542e-13,1.3396838841709334e-05,True,-925.1083805732713,-967.5996206758642,-982.7748116004291,-908.9709629150525
fn282,diffraction,cut,5,8.987733679556355e-14,1.418661375868287e-06,True,-78.31984367330183,-176.35851967823766,-47.3310735763667,-132.67644173982035
fn282,total,uncut,3,0.0,5.243253234907905e-05,True,-1851.0087566875295,-4904.588215290706,-2148.664754002313,-4781.679490912222
fn282,total,uncut,5,4.582862941503293e-13,1.067391150213281e-05,True,934.7885233897404,124.41779402625852,1031.7675334231058,269.52892651291603
fn282,total,cut,3,9.094947017729282e-13,4.32661317931831e-05,True,-789.8254132736618,-4252.893743516212,-1049.4687493300505,-4196.37280532508
fn282,total,cut,5,2.21980646867526e-13,3.6112325769388304e-06,True,321.972115078834,-238.08464179053095,351.243348823669,-79.47874331661995
