case,component,mode,raw_real,raw_imag,cut_real,cut_imag,cut_to_raw_magnitude
fn167,diffraction,F3,-1137.9720090128515,-1099.0910477253226,-881.7181557046865,-1134.7130890063847,0.9083041288892076
fn167,diffraction,M5,246.54838975976074,-461.0211562230327,89.50147148254054,-438.1605950908713,0.8553992143754044
fn167,incident,F3,372.2151703679381,-4743.349714613138,960.2725222200803,-4263.49530223591,0.918529279560868
fn167,incident,M5,1512.2220755816936,-101.62749716548652,1150.0524362297635,-391.98962733939476,0.8016591658020193
fn167,total,F3,-765.7568386449134,-5842.4407623384595,78.55436651539378,-5398.208391242295,0.9162260883520054
fn167,total,M5,1758.7704653414544,-562.6486533885192,1239.553907712304,-830.1502224302661,0.8079050620554784
fn226,diffraction,F3,-1159.7110478674801,-971.0025503721857,-961.08809277392,-1036.1770102778637,0.9343739193774823
fn226,diffraction,M5,137.354012052687,-347.7828130753513,14.18680015968251,-306.40805703905596,0.8203176863342833
fn226,incident,F3,-246.9413154782792,-4371.8714376729995,280.3200516890492,-3953.8962161215222,0.9052216330801791
fn226,incident,M5,1053.863455037078,137.10311773568978,724.5144215101585,-120.42905816881148,0.6910929634751782
fn226,total,F3,-1406.6523633457593,-5342.873988045184,-680.7680410848708,-4990.073226399386,0.9115564911709106
fn226,total,M5,1191.217467089765,-210.67969533966158,738.7012216698411,-426.83711520786744,0.7052570536388526
fn282,diffraction,F3,-1229.5323117844289,-925.8127793699374,-925.1083805732713,-967.5996206758642,0.8697743488286436
fn282,diffraction,M5,95.5378016756617,-203.8547883412753,-78.3198436733018,-176.35851967823763,0.8571304265434918
fn282,incident,F3,-621.4764449031007,-3978.775435920768,135.2829672996094,-3285.294122840349,0.8165041707123206
fn282,incident,M5,839.2507217140786,328.2725823675339,400.2919587521358,-61.726122112293226,0.4494422169787674
fn282,total,F3,-1851.0087566875295,-4904.588215290705,-789.825413273662,-4252.893743516213,0.8251438809774139
fn282,total,M5,934.7885233897402,124.41779402625858,321.972115078834,-238.08464179053075,0.4246278821283007
