case,mass_kg,heave_rms_m,pitch_rms_rad,cg_accel_rms_mps2,rms_method,added_mass_factor,damping_ratio
baseline,1800.0,0.00513152716528693,0.003316923576535697,0.025896675542654,ensemble_spectral_not_single_record,1.0,0.12
mass_low,1440.0,0.00519808102528899,0.0032123420666878406,0.026867961449184383,ensemble_spectral_not_single_record,1.0,0.12
mass_high,2160.0,0.00511230716883634,0.0034387259664093645,0.025216682341011678,ensemble_spectral_not_single_record,1.0,0.12
payload_forward,1800.0,0.0051389430029525505,0.003284201886428133,0.026077972851848236,ensemble_spectral_not_single_record,1.0,0.12
payload_aft,1800.0,0.005127578086412479,0.0033572799967168583,0.025731188420684278,ensemble_spectral_not_single_record,1.0,0.12
added_mass_low,1800.0,0.004808738313987341,0.0031089375337560606,0.023728400101075086,ensemble_spectral_not_single_record,0.75,0.12
added_mass_high,1800.0,0.005492449549568346,0.0035586142195961627,0.027751552937752236,ensemble_spectral_not_single_record,1.25,0.12
damping_low,1800.0,0.005226480537725413,0.003416556787636522,0.028484388680279953,ensemble_spectral_not_single_record,1.0,0.08
damping_high,1800.0,0.0050131508294673464,0.0031646009065640465,0.02408748103708647,ensemble_spectral_not_single_record,1.0,0.18
