benchmark,coefficient,source_row,station_index,x_m,x_over_l,waterplane_beam_m,effective_draft_m,submerged_area_m2,body_normal_velocity_norm,body_potential_norm,body_potential_to_body_normal_velocity_gain,body_potential_norm_to_submerged_area_ratio,time_derivative_pressure_norm,time_derivative_density_value_per_m,time_derivative_density_per_submerged_area,time_derivative_density_per_beam,station_trapezoid_weight_m,station_time_derivative_contribution_value,station_abs_contribution_share,station_contribution_sign,station_scale_flag,coefficient_reference_value,coefficient_computed_value,coefficient_gate_error_ratio,coefficient_status,coefficient_time_component_value,station_integral_time_component_value,station_integral_minus_reported_time_component,required_global_scale_to_reference_from_time_integral,computed_over_reference,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,0.02925000000000001,0.1875,0.003656250000000001,0.45431786104139943,10.497124095908804,23.105241937543504,2871.0082997357404,19453.327901557437,0.5011735082408337,137.0730962709972,17.13413703387465,0.0375,0.018794006559031264,0.00180697566150481,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,0.05699999999999998,0.1875,0.007124999999999998,0.8714896660775344,5.802975543081899,6.658685431349247,814.4527078009685,10754.106078281737,-0.6637031723181233,-93.15132243061382,-11.643915303826727,0.07499999999999998,-0.049777737923859235,0.004785949213684585,negative,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,0.08325000000000002,0.1875,0.010406250000000002,1.2440363637319745,16.369287027554044,13.158206226744012,1573.0245792244123,30335.652427489968,3.806340959521033,365.7745066206397,45.721813327579966,0.075,0.28547557196407747,0.027447442293530955,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,0.10799999999999996,0.1875,0.013499999999999995,1.5703671514212967,10.691113314454283,6.8080342261222455,791.9343195892064,19812.829784478196,3.155393099865569,233.73282221226444,29.216602776533055,0.07500000000000001,0.2366544824899177,0.02275347136344405,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,0.13125,0.1875,0.01640625,1.8527440548546934,10.586051130713292,5.713714802093121,645.2450213006197,19618.12796980081,3.718593213689306,226.65711016772912,28.33213877096614,0.07499999999999998,0.2788944910266979,0.0268146951971156,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,5,0.44999999999999996,0.15,0.153,0.1875,0.019125,2.0953403577709504,11.253934636359714,5.3709339366382425,588.4410267377629,20855.8533426432,4.531845640939802,236.9592491994668,29.61990614993335,0.07500000000000001,0.3398884230704852,0.0326790408520148,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,6,0.525,0.17500000000000002,0.17325000000000004,0.1875,0.021656250000000005,2.302923608664771,12.183187800081093,5.290313475549835,562.5714424279869,22577.950398205023,5.47393621162209,252.76473127259283,31.595591409074103,0.07500000000000001,0.41054521587165677,0.03947243557126653,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,7,0.6,0.19999999999999998,0.19199999999999998,0.1875,0.023999999999999997,2.4801316742599075,13.216549389027367,5.328970847070568,550.6895578761404,24492.98175793536,6.488158534351216,270.3399389313007,33.79249236641259,0.07499999999999996,0.4866118900763409,0.0467859707936659,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,8,0.6749999999999999,0.22499999999999998,0.20925,0.1875,0.02615625,2.631144229310742,14.2500761469895,5.415923607776708,544.8057786184755,26408.319209791047,7.51482046406851,287.3049639787244,35.91312049734055,0.07500000000000001,0.5636115348051384,0.054189207752875834,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,9,0.75,0.25,0.22499999999999998,0.1875,0.028124999999999997,2.7595752934474778,15.152452012901383,5.490863774900577,538.7538493476048,28080.60710975761,8.463390754978358,300.9205601770083,37.61507002212604,0.07500000000000001,0.634754306623377,0.061029327594473555,positive,background_station,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,1.7763568394002505e-15,0.09718182957425663,10.289989439187291,open_section_time_pressure_scale_blocker,diagnostic_heave_time_pressure_station_scale_not_hard_gate
