panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
80,0.0,0.02,0.31097318133941215
80,0.02,0.05,0.39084230924015906
80,0.05,0.1,0.26867384951521767
80,0.1,0.2,0.025315625711905473
80,0.2,0.5,0.0017232588446418793
80,0.5,1.0,0.002471775348663733
160,0.0,0.02,0.3293133097975193
160,0.02,0.05,0.37959238041502985
160,0.05,0.1,0.2624358934136482
160,0.1,0.2,0.024534596439484226
160,0.2,0.5,0.0016305980690671828
160,0.5,1.0,0.002493221865251248
320,0.0,0.02,0.33516948537629054
320,0.02,0.05,0.3835103445144159
320,0.05,0.1,0.2549585467805908
320,0.1,0.2,0.022223562260107285
320,0.2,0.5,0.0016312136366756409
320,0.5,1.0,0.002506847431919996
