mode_count,root_rank,nullspace_dimension,linear_floor_objective_ratio,trust_limited_objective_ratio,coefficient_step_norm,maximum_displacement_ratio,trust_scale,maximum_absolute_root_increment,reduced_jacobian_condition_number
4,3,1,0.9999928616778628,0.9999928616778628,8.277487827784119e-05,0.00010903153347207329,1.0,3.0704944337968387e-19,1.0
8,3,5,0.9854664737074383,0.9854664737074383,0.0005472750254624714,0.0443218834129889,1.0,2.913793338554793e-19,12.657572933903195
12,3,9,0.9831019161087046,0.9831019161087046,0.0005113627777625797,0.04346277118717088,1.0,1.0842021724855044e-19,18.466521827952644
16,3,13,0.9828222043752518,0.9828222043752518,0.0005129567193936185,0.04392277595012235,1.0,5.386600148945316e-20,22.581653085315505
20,3,17,0.9698903474876,0.9698903474876,0.000549765423019968,0.044031161826092645,1.0,9.656175598699024e-20,25.768611452929036
26,3,23,0.9542268061980794,0.9542268061980794,0.0006510509251561751,0.04579600208721949,1.0,2.3978616825803404e-19,28.737205228771703
