xi,eta
4.5596702852539766,-0.06501781302440927
4.557008856464473,-0.06640797217073724
4.554374210282044,-0.06808517810827153
4.55171939440944,-0.06995607703385738
4.549073688298004,-0.07205404338709477
4.54639740170157,-0.07432439940681751
4.5436423248621365,-0.07671383187592502
4.540855406805453,-0.07928036275912408
4.537995737029867,-0.08198339711809474
4.535126719797631,-0.08489264366203847
4.532294967128528,-0.08805063968798392
4.529573162289048,-0.09151062184547908
4.526994855497223,-0.09528116125498991
4.52462110182659,-0.09938208185254452
4.522465044166398,-0.10379798279418326
4.5205209734014655,-0.10850777838784322
4.51887808623511,-0.11352734966260966
4.517461692429365,-0.11881456851213858
4.516432177292544,-0.12439138812534782
4.515845214092019,-0.1302364035589788
4.515784952136579,-0.1363194540252098
4.516244153670668,-0.1426010807571958
4.517221255811557,-0.1490467639242716
4.5186977674725135,-0.15562965795506936
4.52067372749333,-0.16232392128784265
4.52317792395962,-0.16909514988494656
4.526199541402906,-0.17592189134381622
4.529710281112857,-0.18279545822582988
4.533727476568701,-0.18968767122399088
4.538241431659461,-0.19658549494376554
4.543235436801494,-0.20348398373515472
4.548717814438613,-0.2103626621167862
4.5546658109557345,-0.21722724832286178
4.561074689793702,-0.22407221355404985
4.5679468964127,-0.23088678594111162
4.575264971635086,-0.23768216618312274
4.583024271796561,-0.244459539101291
4.591228383510116,-0.2512121896761982
4.59987046270116,-0.25794727074415846
4.60895637711234,-0.26465734943101255
4.618487346093274,-0.2713417086775399
4.628461613206736,-0.27800514499939233
4.6388779845185155,-0.2846533698871285
4.649742377594539,-0.2912821153422351
4.6610545174783375,-0.2978979726485237
4.672821959864075,-0.3044951274308563
4.685043169823994,-0.3110846199369642
4.697722559399791,-0.31766793750537226
4.710864890705113,-0.324246589084504
4.724478472760749,-0.3308153548994496
4.738566998433158,-0.33737882456598395
4.7531375345862585,-0.34393499087018264
4.76819232615041,-0.35049313191381715
4.783738322679176,-0.35705263016529093
4.79978042967871,-0.36361812383299885
4.816326612889997,-0.3701872338843222
4.833383694245647,-0.3767605789592924
4.850958846598002,-0.3833381121586495
4.869058172024918,-0.3899229269683822
4.88768707623866,-0.3965205201119664
4.906852987423188,-0.40313110710188776
4.9265636710356455,-0.40975401403263606
4.946826351013182,-0.4163902412287825
4.967648832308647,-0.42303909331862427
4.989037181958189,-0.42970542482877433
5.01099823147576,-0.43639192550823314
5.033539753918235,-0.44309826468210856
5.05666891629345,-0.4498260942452159
5.0803933399843215,-0.45657547044362246
