outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next
0,4.325611559410953,0.4216413652361375,0.0054538063317617,0.00272690316588085,0.00017320107223096274,-0.0060949180938107,2.0259814252134162e-07,0.0002299698440044039,0.0002299698440044039,-0.1070129735485565,0.094823137360934,1.8717277894787816e-05,-0.10164339351534818,0.08408397729451735,1.6097661814401975e-05,1.5724626968581775e-07,-0.0038646743110346132
1,4.327518760465724,0.4163721411430153,0.0057537338287695,0.00833067324614645,0.0005291282641392503,0.0115703382512348,7.702680395163761e-07,0.0008743338842334121,0.001104303728237816,0.0909584630498994,-0.0678177865474323,1.2857854681052867e-05,0.08408397729451735,-0.03879978254984099,1.0190051196332928e-05,1.3230121282690863e-06,0.08315137980476
2,4.329712498433905,0.4108881639553818,0.006066086461583,0.014240583391322701,0.0009045001463316732,0.0040108891256958,9.758653768344653e-08,0.00011077081245020818,0.0012150745406880239,0.0153335932573277,-0.0073118150059361,3.568179701193815e-07,-0.03879978254984099,0.052427804147175974,4.48872275346428e-06,6.602605964844839e-06,0.1169736073025528
3,4.332437021155668,0.4052921307971076,0.0063911442832779,0.020469198763753152,0.0013001148034699416,0.0668085850674051,2.8526150556499807e-05,0.03238013099174073,0.03359520553242876,0.1096617922966167,0.0239553778381944,3.243837740717144e-05,0.052427804147175974,0.07640102538710102,2.682433414165673e-05,6.443555449980754e-06,0.1020370701834934
4,4.335692692582829,0.399599875244352,0.00672918212561,0.0270293619681971,0.0017167879421557352,0.0655134859298756,2.8881762993689568e-05,0.03278378788458683,0.06637899341701559,0.1259924480216878,0.0050345238380633,3.70862170389404e-05,0.07640102538710102,0.058954108405714314,3.0992051095804593e-05,6.039848953194067e-06,0.1109898644713128
5,4.339447976216842,0.3938086192866331,0.0070804679308352,0.0339341869964197,0.002155352506317306,0.055339642220368,2.168376311458759e-05,0.02461331362090285,0.09099230703791843,0.1160243883093761,-0.0053451038686387,3.0375364163890805e-05,0.058954108405714314,0.0534375758609143,2.237788038229817e-05,7.924639785298806e-06,0.11829943917690401
6,4.343720182145589,0.3879383050538776,0.0074452635393975,0.04119705273153605,0.002616658264633564,0.0501775227607881,1.8745563854821203e-05,0.021278153599131412,0.11227046063704983,0.1129543353082653,-0.0125992897866873,2.8525980185271855e-05,0.0534375758609143,0.04890322721680303,1.9507508872166872e-05,9.094076074432718e-06,0.1233057720426486
7,4.348524331983086,0.3820079573514458,0.0078238223362649,0.04883159566936725,0.003101571348226157,0.046818502862409,1.7149601139240265e-05,0.01946657086608473,0.13173703150313457,0.1107064822559613,-0.0170694765311427,2.779436497729399e-05,0.04890322721680303,0.04612066473891559,1.7666427363244162e-05,1.0189954507741132e-05,0.1261135541790045
8,4.3538726220237125,0.3760346330346096,0.0082163901236639,0.05685170189933165,0.003610973741320432,0.0448154765868018,1.6502019287902288e-05,0.01873149849336251,0.15046852999649707,0.1090440776478618,-0.0194131244742585,2.7800413483350493e-05,0.04612066473891559,0.04494207514681324,1.7034395876151938e-05,1.1096231607724315e-05,0.12798890121286802
9,4.359776106718877,0.3700342573788854,0.0086232033794465,0.06527149865088686,0.0041457627443120615,0.0446500636237598,1.7191461272982896e-05,0.019514086446963178,0.16998261644346024,0.1085757767386095,-0.019275649491091,2.8937692270341042e-05,0.04494207514681324,0.04530837247223981,1.755940321510795e-05,1.1815580790260882e-05,0.1277198391636748
10,4.366244696041809,0.3640211472412778,0.0090444893076882,0.0741053449944542,0.004706850383130069,0.0451546328530696,1.844117888049836e-05,0.02093264517446787,0.19091526161792813,0.1084441896725838,-0.018134923966445,3.0517284536838243e-05,0.04530837247223981,0.04565491151040081,1.8709338017583904e-05,1.2143285498211617e-05,0.1254022074147656
11,4.373285926571016,0.3580062352514904,0.0094804647587506,0.0833678220276736,0.005295162785910257,0.0448897521237769,1.9103988268198633e-05,0.021685002375758745,0.21260026399368687,0.1072672834483206,-0.017487779200767,3.1400013322242206e-05,0.04565491151040081,0.044256672194644804,1.916178400767054e-05,1.2021986327500306e-05,0.12057346832991099
12,4.380904766598299,0.3519958546810395,0.0099313358474025,0.09307372233075015,0.0059116395132445265,0.0418797659562479,1.7418716892267675e-05,0.019772045077114685,0.23237230907080156,0.103085689129144,-0.0193261572166481,2.9820191247964347e-05,0.044256672194644804,0.03926446828370398,1.7340331557843494e-05,1.1410726604874198e-05,0.1146638074291876
13,4.389104601434448,0.3459920689224738,0.0103972973038755,0.10323803890638913,0.006557232855693469,0.0358436261719905,1.3358089255598819e-05,0.015162812768549272,0.2475351218393508,0.0953376502125395,-0.0236503978685589,2.5625301997575747e-05,0.03926446828370398,0.032758824208842637,1.3520287910888765e-05,1.0962762964803487e-05,0.1108223285012641
14,4.397891206703852,0.3399977918501872,0.0108785315620007,0.11387595333932723,0.007232907081731101,0.0298126811480901,9.668794872988801e-06,0.01097508210578776,0.2585102039451386,0.0871719306327052,-0.027546568336525,2.159922061032697e-05,0.032758824208842637,0.02704462587958137,9.756238778882164e-06,1.0771588982412267e-05,0.108301023326021
15,4.407274377088864,0.3340199785912358,0.0113752089125299,0.12500282357659254,0.007939637661599937,0.0258336874848841,7.591580202053978e-06,0.008617228633423273,0.26712743257856186,0.080754454989496,-0.0290870800197287,1.9028559165690433e-05,0.02704462587958137,0.025954695073957288,7.989161863798761e-06,1.1216177479345818e-05,0.1079787975045336
