coefficient,reference_value,computed_value,computed_body_integral_value,computed_end_term_value,gate_error_ratio,use_free_surface_marching,include_end_term,pitch_radiation_sign,pitch_moment_sign,case_name
A35,-0.2,-0.0930500459126047,2.775568426937412e-05,-0.0930778015968741,1.7824992347899211,False,True,1.0,1.0,st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0
A53,0.15,3.160465032445812e-05,3.160465032445812e-05,0.0,3.332631007770568,False,True,1.0,1.0,st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0
A55,0.063,0.056008407518011,0.0036521441197693,0.0523562633982417,0.7398510562951259,False,True,1.0,-1.0,st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pmm1p0_dt1p0_fv1p0_hr1p0
