xi,eta
4.547312927412102,-0.016181414226241777
4.5433739064854075,-0.017366419447130396
4.539280002125843,-0.01862166017391435
4.535026561003414,-0.01994941124818096
4.530606431233756,-0.021344354839737893
4.526015293995223,-0.02281060920532353
4.521260545599732,-0.02438826472833251
4.516350178154844,-0.026115521979518136
4.511273738603297,-0.027975939945090563
4.506020524626052,-0.029955064786308817
4.500602933106375,-0.03209942924666383
4.495036803588113,-0.03445828355286683
4.489325011578469,-0.03704469434057178
4.483474956122622,-0.03987996575238852
4.477509945005041,-0.04301324771950853
4.471465030025241,-0.046505163436323105
4.465390997532843,-0.05042753738278865
4.459352713730262,-0.054852639136458235
4.453423989240812,-0.05984121234831953
4.44770081644743,-0.065455029068974
4.442355712165066,-0.07179423528296067
4.437576357002768,-0.0789120403736106
4.4335214739636,-0.08679167676132256
4.430367068196346,-0.09538782309325335
4.428313424295264,-0.10462039115453464
4.427492886604858,-0.114352364660641
4.427898000940508,-0.12442580275926755
4.429528028662146,-0.13470075431290213
4.432373542669697,-0.145048786146532
4.436375988407029,-0.15536740497741028
4.441436783646902,-0.16559376385951716
4.447456442693699,-0.17569560128743442
4.454383948540916,-0.1856352832559509
4.4621651182295246,-0.19539087467446803
4.470734523118251,-0.20496455083166384
4.480035261076176,-0.21436746518033578
4.49003102210599,-0.2236034758574195
4.5006932973080005,-0.23267671086586528
4.512002551533034,-0.24158741267702324
4.523935107306771,-0.2503467304304601
4.53646238847397,-0.25897957999754156
4.549566220305977,-0.26750291888592714
4.563240098906963,-0.275920136153684
4.57748780657683,-0.2842193940555698
4.592292897884982,-0.2924251778504576
4.607653705386193,-0.3005392259417035
4.623566326128504,-0.30856914845851496
4.640029841845799,-0.31651840972609047
4.65703914588653,-0.3244008445109304
4.674595467040702,-0.3322184842957688
4.692697178129802,-0.33998082923007955
4.711345027424307,-0.3476931767518818
4.7305436187830665,-0.3553520955213734
4.750293348988085,-0.3629649846703327
4.770592765433462,-0.37054520599609564
4.791444980892711,-0.3780949574274756
4.812857196714488,-0.3856050495105566
4.834830218533314,-0.39308425190959373
4.857365220455762,-0.40054102212031595
4.8804673055987875,-0.40797227385897655
4.904139358991344,-0.41538162746330715
4.9283813847705975,-0.42278230087225016
4.953198257871883,-0.4301719655096802
4.978595861248211,-0.43754438532125534
5.004576929208963,-0.44490368455206436
5.031142581196654,-0.4522598231131725
5.0582953302034825,-0.45961794985281
5.086039626909094,-0.4669758424846839
5.11438124362567,-0.47432559701738625
5.1433232313888375,-0.4816690421463749
5.17286427373654,-0.4890252092702175
