component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-1.255296396691274,-0.039035965206776276,0.12788442129098926,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A53,-5.284553008462394,-0.5167729569195654,0.1135357501887633,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B33,97.89871201608167,0.5482123820474459,0.12788442129098926,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B53,-5.538396183955497,-0.09752787500038952,0.1135357501887633,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A33,-7.6836806097656645,-0.23893949646743137,0.0006012349987196269,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A53,-3.6310099190291774,-0.3550740676564703,0.0005113504123327903,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B33,21.82086309532665,0.12219228516362064,0.0006012349987196269,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B53,8.850880012106265,0.15585875238843008,0.0005113504123327903,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A33,6.428384213074384,0.1999035312606549,0.12931048987448981,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A53,-1.6572745643080984,-0.1620637877325921,0.18213118624505864,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B33,76.07784892075492,0.42602009688382464,0.12931048987448981,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B53,-14.320076308348552,-0.2521680583708634,0.18213118624505864,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A33,-1.255296396691274,-0.039035965206776276,0.12788442129098926,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,-5.284553008462394,-0.5167729569195654,0.1135357501887633,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,97.89871201608167,0.5482123820474459,0.12788442129098926,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,-5.538396183955497,-0.09752787500038952,0.1135357501887633,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,0.533776387294721,0.01659884991110985,6.942264190802866e-09,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-1.8845449554122162,-0.18428840953940673,3.4570845657541123e-06,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,58.4787854493462,0.3274690096552174,6.942264190802866e-09,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,33.41628652817888,0.5884410048054477,3.4570845657541123e-06,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A33,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A53,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B33,0.0,0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B53,0.0,0.0,0.0,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-0.72152000939655,-0.022437115295666336,0.0925471490923554,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,-7.169097963874609,-0.701061366458972,0.08131170064406758,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,156.3774974654278,0.8756813917026629,0.0925471490923554,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,27.87789034422339,0.4909131298050583,0.08131170064406758,zero_diagnostic_only,False
