iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,source_signed_root_defect,jacobian_condition_number
1,0,0,-0.17155023826861587,0.00021051142488465708,0.4185369045061323,8.844320349065687e-06,2373.9994080662364
1,0,1,-0.24032656311291725,0.00014888948545246678,0.5761715157292607,8.844320349065687e-06,2373.9994080662364
1,0,2,-0.23377042528316772,0.00014899584721494012,0.5300305657686495,8.844320349065687e-06,2373.9994080662364
1,0,3,-0.22390980627698465,0.0001491733623860317,0.45686725942097006,8.844320349065687e-06,2373.9994080662364
1,0,4,-0.21218501075468513,0.00014942240054971936,0.3617347936800435,8.844320349065687e-06,2373.9994080662364
1,0,5,-0.20021830017983286,0.00014974348160171102,0.25043342327406143,8.844320349065687e-06,2373.9994080662364
1,0,6,-0.1896744926872182,0.00015013727825362763,0.12903222627807506,8.844320349065687e-06,2373.9994080662364
1,0,7,-0.18216340795535407,0.00015060461929027678,0.003510879495049998,8.844320349065687e-06,2373.9994080662364
1,0,8,-0.17919772532274475,0.0001511464936089582,-0.12042814410895701,8.844320349065687e-06,2373.9994080662364
1,0,9,-0.1821164835099709,0.00015176405507698768,-0.23765101864548857,8.844320349065687e-06,2373.9994080662364
1,0,10,-0.19206401265571565,0.00015245862825141577,-0.3437058830295038,8.844320349065687e-06,2373.9994080662364
1,0,11,-0.2099234947121273,0.00015323171501332116,-0.43507010834828064,8.844320349065687e-06,2373.9994080662364
1,0,12,-0.2363305888226691,0.00015408500217827328,-0.509142570165825,8.844320349065687e-06,2373.9994080662364
1,0,13,-0.2716250490674499,0.00015502037015466353,-0.5644142239644238,8.844320349065687e-06,2373.9994080662364
1,0,14,-0.3159024995768198,0.00015603990273284053,-0.6003250496785029,8.844320349065687e-06,2373.9994080662364
1,0,15,-0.3689806887150053,0.00015714589810048949,-0.6173618435984582,8.844320349065687e-06,2373.9994080662364
1,0,16,-0.43048434197544616,0.0001583408811937464,-0.6167950514492787,8.844320349065687e-06,2373.9994080662364
