index,time_s,x_from_transom_m,saved_force_n_m,replayed_force_n_m,absolute_difference,replay_passed,potential_bvp_residual,pressure_bvp_residual
0,0.0,1.0985454545454545,18.663754587569276,18.663754587569276,0.0,True,6.045259848646508e-16,9.319435001657307e-16
80,0.06220769844666399,0.8239090909090909,96.13522191142471,96.13522191142471,0.0,True,9.516487399743757e-16,1.0344176742771261e-15
160,0.12441539689332798,0.5492727272727272,138.12426480193938,138.124264801942,2.6147972675971687e-12,True,5.447007486078514e-16,5.938435779098564e-16
240,0.18662309533999197,0.2746363636363637,172.496465631717,172.4964656317264,9.407585821463726e-12,True,5.477807737284822e-16,6.632792110684013e-16
320,0.24883079378665596,0.0,229.2215786813125,229.22157868133212,1.9610979506978765e-11,True,5.338973092713366e-16,7.572942222046496e-16
