level,case,omega,component,real,imag
0,fn167,16.734,A33,0.19505386797777832,0.0
0,fn167,16.734,A35,0.010354768867579646,0.0
0,fn167,16.734,A53,0.01391691265969432,0.0
0,fn167,16.734,A55,0.011914182784849247,0.0
0,fn167,16.734,B33,0.3966718035925777,0.0
0,fn167,16.734,B35,-0.12430143017924948,0.0
0,fn167,16.734,B53,0.15764821634727458,0.0
0,fn167,16.734,B55,0.006173896120890832,0.0
0,fn167,16.734,F3,0.15661390106496578,-0.07124253338932429
0,fn167,16.734,F5,0.030486013167098883,0.060224710065103514
0,fn167,13.7884,A33,0.20827554829429895,0.0
0,fn167,13.7884,A35,0.014927237635060465,0.0
0,fn167,13.7884,A53,0.009943033826591738,0.0
0,fn167,13.7884,A55,0.012652606287821938,0.0
0,fn167,13.7884,B33,0.48571665186758,0.0
0,fn167,13.7884,B35,-0.10128448619283317,0.0
0,fn167,13.7884,B53,0.14697605646111955,0.0
0,fn167,13.7884,B55,0.0034023852535025197,0.0
0,fn167,13.7884,F3,0.22916747643897084,-0.1587714274644331
0,fn167,13.7884,F5,0.05648290791074614,0.048679712872857904
0,fn167,11.104800000000001,A33,0.2355454126362779,0.0
0,fn167,11.104800000000001,A35,0.024673023047455604,0.0
0,fn167,11.104800000000001,A53,0.0026597394066852067,0.0
0,fn167,11.104800000000001,A55,0.013550309653726991,0.0
0,fn167,11.104800000000001,B33,0.49109832065144404,0.0
0,fn167,11.104800000000001,B35,-0.10374254589488117,0.0
0,fn167,11.104800000000001,B53,0.15468623379434593,0.0
0,fn167,11.104800000000001,B55,0.006232788788997169,0.0
0,fn167,11.104800000000001,F3,0.26709085250838505,-0.27334902831885843
0,fn167,11.104800000000001,F5,0.07128476184675692,0.025610496116560626
0,fn167,9.86,A33,0.2529294420827563,0.0
0,fn167,9.86,A35,0.031039830874842123,0.0
0,fn167,9.86,A53,-0.0018587531951243423,0.0
0,fn167,9.86,A55,0.01454284162350222,0.0
0,fn167,9.86,B33,0.4605145746120338,0.0
0,fn167,9.86,B35,-0.11629464778594181,0.0
0,fn167,9.86,B53,0.1659317470584572,0.0
0,fn167,9.86,B55,0.010211013957082498,0.0
0,fn167,9.86,F3,0.2713969912640494,-0.33311544710325885
0,fn167,9.86,F5,0.07353693627667642,0.012359338782807889
0,fn167,8.6966,A33,0.2711952169413258,0.0
0,fn167,8.6966,A35,0.03781970203977254,0.0
0,fn167,8.6966,A53,-0.006563598610129962,0.0
0,fn167,8.6966,A55,0.016349154258529917,0.0
0,fn167,8.6966,B33,0.41344431210846905,0.0
0,fn167,8.6966,B35,-0.13471591941330613,0.0
0,fn167,8.6966,B53,0.1806928145082518,0.0
0,fn167,8.6966,B55,0.015493387352634076,0.0
0,fn167,8.6966,F3,0.266843640142572,-0.3901293454684624
0,fn167,8.6966,F5,0.07260173862919733,-0.0005914980780311333
0,fn167,7.5978,A33,0.2895206800582916,0.0
0,fn167,7.5978,A35,0.04469583880008015,0.0
0,fn167,7.5978,A53,-0.011256860116383015,0.0
0,fn167,7.5978,A55,0.019531639321157385,0.0
0,fn167,7.5978,B33,0.35530268290851724,0.0
0,fn167,7.5978,B35,-0.15718933204311786,0.0
0,fn167,7.5978,B53,0.19771815058750752,0.0
0,fn167,7.5978,B55,0.02165816121740699,0.0
0,fn167,7.5978,F3,0.25479326259192253,-0.4432506245090325
0,fn167,7.5978,F5,0.06898253446855064,-0.012728965016923489
0,fn167,6.5604,A33,0.3070319257971484,0.0
0,fn167,6.5604,A35,0.05132409222821638,0.0
0,fn167,6.5604,A53,-0.015724618203998834,0.0
0,fn167,6.5604,A55,0.024948461839162824,0.0
0,fn167,6.5604,B33,0.29190902447175315,0.0
0,fn167,6.5604,B35,-0.18162588558946258,0.0
0,fn167,6.5604,B53,0.21561257498133043,0.0
0,fn167,6.5604,B55,0.028203935320087595,0.0
0,fn167,6.5604,F3,0.23666797012099633,-0.4912916608983427
0,fn167,6.5604,F5,0.06322843792359145,-0.02361188125972041
0,fn167,5.601,A33,0.3227266208124563,0.0
0,fn167,5.601,A35,0.057305934241031344,0.0
0,fn167,5.601,A53,-0.01971865207995073,0.0
0,fn167,5.601,A55,0.033798711372416364,0.0
0,fn167,5.601,B33,0.2297988447563217,0.0
0,fn167,5.601,B35,-0.2055800991722871,0.0
0,fn167,5.601,B53,0.23276705002386824,0.0
0,fn167,5.601,B55,0.0345312196487206,0.0
0,fn167,5.601,F3,0.2143940787253498,-0.5327637134650205
0,fn167,5.601,F5,0.05607219754787971,-0.03280763641467354
0,fn226,20.646,A33,0.18076759650201135,0.0
0,fn226,20.646,A35,0.002627924947183225,0.0
0,fn226,20.646,A53,0.0017209103633322917,0.0
0,fn226,20.646,A55,0.00761570052837957,0.0
0,fn226,20.646,B33,0.31047267340622775,0.0
0,fn226,20.646,B35,-0.16924186957791296,0.0
0,fn226,20.646,B53,0.16757660282895712,0.0
0,fn226,20.646,B55,-0.0009998964607280342,0.0
0,fn226,20.646,F3,0.12419786694792528,-0.11186054309406958
0,fn226,20.646,F5,0.032867429738259665,0.04508261484331985
0,fn226,16.8796,A33,0.1922545425556333,0.0
