case,field,grid_changed,stations,relative_median,relative_max,absolute_median
free_surface_fn167,elevation_local,False,55,0.031504433791951,0.05555859654573619,0.0059824817050761914
free_surface_fn167,elevation_local,True,29,0.0535966157193175,1.1906025395909101,0.0008687099427581683
free_surface_fn167,normal_derivative_local,False,55,0.24234369769743222,0.4431779797655338,0.32853667014671123
free_surface_fn167,normal_derivative_local,True,29,0.08980613977336012,0.14139650790801778,0.12296832319409513
free_surface_fn167,phi_local,False,55,0.00864479660626805,0.03383520112909003,0.002120040260772175
free_surface_fn167,phi_local,True,29,0.06880982991014592,1.19060253959091,0.0002518274381027671
free_surface_fn226,elevation_local,False,53,0.030766007218187497,0.05991728761912168,0.004140714268885494
free_surface_fn226,elevation_local,True,31,0.06110534667677578,1.9256091909326825,0.0006969970713093491
free_surface_fn226,normal_derivative_local,False,53,0.18818868685370138,0.4395820680828466,0.2561647455544162
free_surface_fn226,normal_derivative_local,True,31,0.08973462646554761,0.14329082478389107,0.1269377160169182
free_surface_fn226,phi_local,False,53,0.012894019926542028,0.0355386983009289,0.0013320190148121652
free_surface_fn226,phi_local,True,31,0.07249951041236703,1.9256091909326836,0.0001286209658036255
free_surface_fn282,elevation_local,False,49,0.028843265277596383,0.052661745137055814,0.00372604424817277
free_surface_fn282,elevation_local,True,35,0.07442321098002273,2.984860095109433,0.0007179112351981608
free_surface_fn282,normal_derivative_local,False,49,0.15486001848373623,0.3898591074974716,0.20776890391754477
free_surface_fn282,normal_derivative_local,True,35,0.09015406534047456,0.14653009715710003,0.12862442983770442
free_surface_fn282,phi_local,False,49,0.013196256532755692,0.036888125903225766,0.0010864260169593726
free_surface_fn282,phi_local,True,35,0.07711675370720249,2.9848600951094326,9.407950639637587e-05
