outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction
0,4.320700762492399,0.4080346264418264,0.01646143467297517,0.008230717336487585,0.0005226766645008287,-0.2918579406773132,0.0014022024140104218,0.3228720750484458,0.3228720750484458
1,4.329960012733084,0.3927582680716998,0.019316572727854364,0.026119721036902355,0.001658685155999567,0.22360901765354368,0.0009658478134221927,0.22239676995614532,0.545268845004591
2,4.342815660884979,0.37630481985065756,0.02252911596481148,0.04704256538323528,0.002987352153993954,0.01680988813291817,6.3661049947077435e-06,0.0014658636364337958,0.5467347086410248
3,4.3601288040769255,0.35929317690960594,0.02612347957435576,0.0713688631528189,0.004532149242516725,0.05439924781315497,7.73066426364859e-05,0.017800679754702904,0.5645353883957277
4,4.382299988172791,0.3420539265950858,0.03011656806979642,0.099488886974895,0.006317859971744456,0.02624639322915323,2.074649534048914e-05,0.004777102031516581,0.5693124904272443
5,4.409570055100409,0.3247662337557229,0.03452796844657908,0.13181115523308273,0.008370426555145076,0.028562626394545987,2.8168732435644557e-05,0.006486151358824733,0.575798641786069
6,4.442279104983877,0.3076355198434316,0.03936980768100317,0.16876004329687386,0.010716798175098952,0.019813158471551073,1.545506086113647e-05,0.0035586927538965593,0.5793573345399656
7,4.480728723893769,0.29075920137050165,0.04465385503749631,0.2107718746561236,0.013384682757537389,0.01813347449089786,1.4683209980650751e-05,0.0033809658487647712,0.5827383003887303
8,4.525268440374008,0.27424435994086466,0.050386044298905364,0.25829182432432446,0.01640235032822592,0.014732784453759251,1.093653970931838e-05,0.002518255021183487,0.5852565554099138
9,4.576254103485852,0.25815640510270754,0.05656914229233831,0.3117694176199463,0.019798347171098386,0.01302251397687848,9.593327226525947e-06,0.0022089660075454427,0.5874655214174592
10,4.634060178899686,0.24255769654547396,0.06320085924375186,0.3716544183879914,0.0236012347172802,0.01134290997389531,8.131524093598124e-06,0.0018723702306983369,0.5893378916481576
11,4.6990663834312,0.22749519100444085,0.07027444069749074,0.43839206835861266,0.027839287229256507,0.010172504067543775,7.271987809486166e-06,0.0016744528252954135,0.5910123444734531
12,4.771653954758053,0.2130097321340194,0.07777816696182384,0.51241837218827,0.03254019238602645,0.009208741168378998,6.5956596403115315e-06,0.001518721044196435,0.5925310655176494
