lambda,thickness,s_lambda,s_tau,subiterations,body_xi,body_eta,free_xi,free_eta
0.0,0.08518571519515036,3.144438165077923,-4.400018991007034,0,4.560087434416278,0.0015573482283273155,4.578361665300725,-0.08164516711160223
0.0014947811868051882,0.08377129727048171,3.194514920161424,-4.397961091869066,5,4.561547415756343,0.0018780120446353359,4.579518222531909,-0.0799430142885433
0.0029895623736103764,0.08240477711946267,3.244475298228747,-4.395935814574578,5,4.563007397096408,0.0021986758609433563,4.5806850549010365,-0.07828764413600255
0.004484343560415565,0.08108540396041396,3.294253578352891,-4.3939420451974325,5,4.564467378436473,0.0025193396772513763,4.581862001348737,-0.07667832335117157
0.005979124747220753,0.07981244971239848,3.3437812775967197,-4.391978684987494,5,4.565927359776538,0.0028400034935593967,4.583048905685454,-0.07511434080349054
0.007473905934025941,0.0785852085772004,3.3929871795187663,-4.390044649930845,5,4.567387341116603,0.003160667309867417,4.584245616501769,-0.07359500712635915
0.00896868712083113,0.07740299660027997,3.4417974482971285,-4.38813887031221,5,4.5688473224566675,0.003481331126175437,4.585451987074217,-0.07211965428831277
0.010463468307636318,0.0762651512498072,3.4901358165731784,-4.386260290306456,5,4.570307303796732,0.0038019949424834575,4.586667875274983,-0.07068763518185667
0.011958249494441506,0.07517103092134327,3.537923701725337,-4.384407867544346,6,4.571767285136797,0.004122658758791478,4.587893143465644,-0.06929832313967883
0.013453030681246694,0.07412001444985904,3.585080447135647,-4.382580572707775,6,4.573227266476862,0.004443322575099499,4.589127658392481,-0.06795111145802914
0.014947811868051882,0.07311150057947181,3.6315235439539437,-4.380777389127773,6,4.574687247816927,0.004763986391407519,4.590371291072734,-0.06664541287880113
0.01644259305485707,0.0721449073928787,3.6771688930880324,-4.378997312392125,6,4.576147229156992,0.005084650207715539,4.591623916672195,-0.06538065903224866
0.01793737424166226,0.07121967169201598,3.721931098138915,-4.377239349964034,6,4.577607210497057,0.005405314024023559,4.592885414372352,-0.06415629983206407
0.01943215542846745,0.0703352483194726,3.765723789654987,-4.3755025208134475,6,4.5790671918371215,0.00572597784033158,4.594155667224813,-0.06297180281258982
0.02092693661527264,0.0694911094045079,3.808459977452441,-4.37378585506142,6,4.580527173177186,0.0060466416566396005,4.595434561989561,-0.06182665239238954
0.02242171780207783,0.06868674352151109,3.850052439128334,-4.372088393642077,6,4.58198715451725,0.006367305472947621,4.596721988954425,-0.0607203490522994
0.02391649898888302,0.0679216547239542,3.8904141225304683,-4.370409187977313,360,4.583447135857315,0.006687969289255642,4.598017841727844,-0.059652408391871393
0.02541128017568821,0.06719536149311046,3.9294586489243084,-4.368747299697796,144,4.58490711719738,0.007008633105563662,4.59932201701334,-0.05862236010256663
0.0269060613624934,0.06650739547219438,3.9671007433779435,-4.367101800368607,81,4.586367098537445,0.007329296921871683,4.600634414337962,-0.05762974673136564
0.02840084254929859,0.0658573000066536,4.0032567647396995,-4.365471771255142,63,4.58782707987751,0.007649960738179704,4.60195493573915,-0.05667412225504364
0.02989562373610378,0.0652446284213905,4.037845251625449,-4.3638563031286175,48,4.589287061217575,0.007970624554487726,4.603283485395162,-0.05575505039749992
0.03139040492290897,0.06466894196352045,4.070787501906352,-4.36225449611958,38,4.5907470425576395,0.008291288370795746,4.604619969183741,-0.05487210262041052
0.03288518610971416,0.06412980731651699,4.102008188789972,-4.360665459630375,31,4.592207023897704,0.008611952187103766,4.605964294148854,-0.0540248556952464
0.03437996729651935,0.06362679355878145,4.1314360175964815,-4.359088312320546,25,4.593667005237769,0.008932616003411786,4.607316367848232,-0.053212888732650204
0.03587474848332454,0.06315946839357975,4.159004430442564,-4.3575221821834065,21,4.595126986577834,0.009253279819719807,4.608676097544609,-0.052435779500143526
0.03736952967012973,0.0627273934117724,4.1846523709104835,-4.355966206738121,16,4.596586967917899,0.009573943636027827,4.610043389189473,-0.05169309979514491
0.03886431085693492,0.06233011805219295,4.208325126661073,-4.354419533369968,13,4.598046949257964,0.009894607452335849,4.61141814612743,-0.050984409545955955
0.04035909204374011,0.06196717178161959,4.229975278202843,-4.352881319863412,11,4.599506930598029,0.010215271268643869,4.612800267418637,-0.0503092491737903
0.0418538732305453,0.06163805379953105,4.2495637967852105,-4.351350735189975,10,4.600966911938094,0.01053593508495189,4.6141896456302405,-0.049667129537211994
