outer_iteration,jvp_call,direction_norm,maximum_unit_displacement_ratio,signed_finite_difference_step,source_residual_norm,perturbed_residual_norm,product_norm
1,1,1.0,83.38193943959583,1.1993004800810943e-05,0.04112548540843455,0.04111927298850917,21.529416840709654
1,2,1.0,180.14595272912902,5.551054491374667e-06,0.04112548540843455,0.04112628988994513,34.34511262207305
1,3,1.0,262.4607086642692,3.8100941092831003e-06,0.04112548540843455,0.04112350378430438,42.11781889128075
1,4,1.0,320.53322359932844,3.119801400837049e-06,0.04112548540843455,0.04112434147684606,47.14360431018172
1,5,1.0,359.7622192003081,2.7796137188135947e-06,0.04112548540843455,0.041125950649446456,50.35609936482782
1,6,1.0,386.68461714662027,2.5860868409482845e-06,0.04112548540843455,0.04112352252079438,53.59540682871226
1,7,1.0,405.8176115802475,2.464161168624534e-06,0.04112548540843455,0.04112754009358077,55.655351571234725
1,8,1.0,419.9427068354045,2.3812772164464506e-06,0.04112548540843455,0.04112352967004382,58.63579824275408
1,9,1.0,430.74854048521627,2.3215400773582447e-06,0.04112548540843455,0.041128717968714555,60.52799208873837
1,10,1.0,439.2791760714865,2.2764566464158184e-06,0.04112548540843455,0.04112383765727295,63.55967481897374
1,11,1.0,446.19879937007556,2.2411534979739015e-06,0.04112548540843455,0.0411297462483052,65.61157864610678
1,12,1.0,451.9430033077456,2.212668395530091e-06,0.04112548540843455,0.04112524728106139,68.7997081378671
1,13,1.0,456.80595183752183,2.1891133335225964e-06,0.04112548540843455,0.04113204711971127,71.19695643053728
1,14,1.0,460.99173461294555,2.169236289756068e-06,0.04112548540843455,0.04112880456346586,74.55987327393979
1,15,1.0,464.64545116725657,2.152178607339974e-06,0.04112548540843455,0.041135783061155486,77.40388322531392
1,16,1.0,467.8725530811641,2.137334180888626e-06,0.04112548540843455,0.041133770975763186,80.9314081922989
1,17,1.0,470.751204262972,2.1242643480129643e-06,0.04112548540843455,0.04114078054640131,84.21801296434316
1,18,1.0,473.34037849185376,2.1126446114446796e-06,0.04112548540843455,0.0411396070565565,87.83300213742034
1,19,1.0,475.685287148532,2.102230249740206e-06,0.04112548540843455,0.04114572315150407,91.47371457227126
1,20,1.0,477.8210941783182,2.092833514852757e-06,0.04112548540843455,0.041143850359983226,95.12368245996684
1,21,1.0,479.775507656755,2.0843081483755698e-06,0.04112548540843455,0.04114803549956465,98.97575709998394
1,22,1.0,481.5706195187295,2.0765386414133337e-06,0.04112548540843455,0.0411438844266497,102.70223609143716
1,23,1.0,483.22423285625075,2.0694326401827603e-06,0.04112548540843455,0.04114643514262407,106.61607014352806
1,24,1.0,484.75083418003885,2.0629154804684567e-06,0.04112548540843455,0.04113947145649489,110.48709102508757
1,25,1.0,486.1623158857165,2.0569261897194695e-06,0.04112548540843455,0.04114046001863876,114.3397496286838
1,26,1.0,487.4685203993062,2.0514145183792737e-06,0.04112548540843455,0.04113030217023201,118.41482134309132
1,27,1.0,488.67765525177913,2.046338704569528e-06,0.04112548540843455,0.04113092539005236,122.11203886159497
1,28,1.0,489.79661334492914,2.0416637697242933e-06,0.04112548540843455,0.0411198737356228,126.39969638465793
1,29,1.0,490.83122253767124,2.037360204654157e-06,0.04112548540843455,0.0411230266928432,129.9733942153434
1,30,1.0,491.7864418058781,2.033402946872472e-06,0.04112548540843455,0.04111316471487979,134.39521225693002
1,31,1.0,492.66651648612157,2.0297705781435423e-06,0.04112548540843455,0.041117006005452754,137.90438350573874
1,32,1.0,493.4751018393951,2.0264446904667887e-06,0.04112548540843455,0.04110743873235222,142.39551524605582
1,33,1.0,494.2153618977339,2.023409382015378e-06,0.04112548540843455,0.04112218714489805,146.02052391149897
1,34,1.0,494.8900489587728,2.020650853869373e-06,0.04112548540843455,0.04111047434935431,150.37027758692773
1,35,1.0,495.5015679217288,2.0181570851415825e-06,0.04112548540843455,0.04112079344216379,154.0064509074156
1,36,1.0,496.05202878989815,2.0159175690490887e-06,0.04112548540843455,0.04111884392173269,158.25299669187123
1,37,1.0,496.54329009276665,2.013923095835562e-06,0.04112548540843455,0.041125429134356385,161.99957308944587
1,38,1.0,496.97699531073584,2.012165571918974e-06,0.04112548540843455,0.04112110670859211,166.06601824701767
1,39,1.0,497.3546037815586,2.0106378676233317e-06,0.04112548540843455,0.04112862536005826,169.873385556647
1,40,1.0,497.6774170712761,2.0093336882448546e-06,0.04112548540843455,0.04112322483873164,173.74894261015208
1,41,1.0,497.94660136760336,2.0082474651970997e-06,0.04112548540843455,0.04112915481310265,177.58569080974158
1,42,1.0,498.1632062932353,2.0073742648335353e-06,0.04112548540843455,0.041125162032598625,181.25855170600602
1,43,1.0,498.3281804440567,2.0067097130828667e-06,0.04112548540843455,0.04113212482191154,185.1379975931422
1,44,1.0,498.4423840117515,2.006249933947077e-06,0.04112548540843455,0.04112856171599036,188.53639318452858
1,45,1.0,498.5065991480108,2.0059914988268624e-06,0.04112548540843455,0.041137339856277905,192.46487530734274
1,46,1.0,498.5215387842107,2.0059313835040906e-06,0.04112548540843455,0.04113316605838787,195.5177667953574
