xi,eta,node_index
4.552115310293034,-0.03750741537365279,0
4.549302613720238,-0.03861224378424952,1
4.546372448127563,-0.03974986839651651,2
4.543307002663583,-0.04088444289253234,3
4.5401319490626,-0.04209570547914863,4
4.5368527634897164,-0.04340820839200403,5
4.533447039876666,-0.044776506476474416,6
4.529942996386918,-0.04628004222202023,7
4.526322083268292,-0.047883971095232604,8
4.522589187058152,-0.04960895580786431,9
4.518748596166397,-0.05147266363203186,10
4.514809795693459,-0.05350126713374501,11
4.510784828181822,-0.055722320947170646,12
4.506662885143179,-0.0581204327729426,13
4.502498968517092,-0.060789137154359976,14
4.498271935151156,-0.06369218486261133,15
4.4940236406560095,-0.06688704593336753,16
4.489809286790054,-0.07043462517383817,17
4.4856613752134775,-0.07435513774209546,18
4.481636850440837,-0.07868593566754335,19
4.477810896144073,-0.08346563212676131,20
4.474289794039371,-0.08873658357630386,21
4.471157449951303,-0.09450152562523084,22
4.468534662219897,-0.10076454557617945,23
4.466485154184845,-0.10748283009416368,24
4.465124729741117,-0.11462096652105441,25
4.464416724215611,-0.12209982956984917,26
4.464538794716904,-0.1298677371712514,27
4.465385286117367,-0.1378506188767275,28
4.4670124410715815,-0.14598708395175916,29
4.469367531880513,-0.15422678533144826,30
4.472562347662268,-0.1624842395431678,31
4.476409695226316,-0.17077550244958117,32
4.480984348167638,-0.17903038694182227,33
4.486214157315679,-0.18724715559782673,34
4.492075746200673,-0.19541195289236296,35
4.498539098439235,-0.20351903511985922,36
4.505610490152392,-0.21154176312709955,37
4.513216967505683,-0.21952471317789593,38
4.521400192029503,-0.22741542373410706,39
4.530108980774094,-0.2352525264908344,40
4.539352705393181,-0.24301757382790523,41
4.54912010488422,-0.25071596692868175,42
4.559401857180759,-0.25835450218271216,43
4.570202976999209,-0.2659230775579545,44
4.581515788507334,-0.2734303968086852,45
4.593343058835962,-0.2808721204133653,46
4.6056777344562665,-0.2882608023634869,47
4.618518124106485,-0.2956029301187707,48
4.631869519625672,-0.3028941892977525,49
4.6457339230058325,-0.31013686626454595,50
4.660109799331271,-0.3173415469915795,51
4.674996314174856,-0.3245194145059695,52
4.690399057065221,-0.33166986839353485,53
4.706321084978865,-0.3387983324625226,54
4.722768361024477,-0.34590466589722896,55
4.739744369716921,-0.3529950440139499,56
4.757252707943613,-0.36007636586851743,57
4.775300556135012,-0.36714744073946415,58
4.793892486736917,-0.37421401645715663,59
4.813037165274177,-0.38127158197609345,60
4.832740816536786,-0.38832218120240347,61
4.8530088038124575,-0.3953707159568981,62
4.873848033217907,-0.4024180819977154,63
4.895265436986717,-0.40946528690050454,64
4.917267729566583,-0.4165141096289543,65
4.9398635362783265,-0.42356048001782365,66
4.96305564233012,-0.4306190537515186,67
4.986854481514675,-0.4376799954224416,68
5.011261776298361,-0.44476247822293974,69
5.03629014190465,-0.45184871003158733,70
5.061941868460054,-0.45895653867260594,71
5.088226919983095,-0.4660767010009272,72
5.115148935550138,-0.473222763812678,73
5.142717197136707,-0.48038728225573923,74
5.170937310713928,-0.4875763627464524,75
5.199817386113853,-0.4947861418840662,76
5.229364008973814,-0.5020183204516905,77
5.259582571434536,-0.5092792132418877,78
5.290480872561338,-0.5165648224975562,79
5.32206416608806,-0.5238813412273897,80
5.354340150778193,-0.5312240011854054,81
5.387314130884261,-0.5385978409201024,82
5.420991143543972,-0.5460086906000364,83
5.455378441249926,-0.5534517425134658,84
5.490479645793604,-0.560938155385034,85
5.52630366540229,-0.5684536791679676,86
5.562852593402391,-0.5760154048409377,87
5.600134406466789,-0.5836114818586927,88
5.638151827523169,-0.591254638776701,89
5.676912375061235,-0.5989329830226688,90
5.716419404314641,-0.6066543051310619,91
5.756676630045866,-0.6144237476946152,92
5.7976887698562765,-0.6222402046272563,93
5.839460388481964,-0.6301021023547969,94
5.881995867618152,-0.6380075238142964,95
5.925296671304828,-0.6459690113519885,96
5.969367736610366,-0.6539790714162323,97
6.014211777147585,-0.662040861329763,98
6.059832898333963,-0.6701483588698565,99
6.106231258844351,-0.6783162161773493,100
6.15341139542244,-0.6865328535925438,101
6.201373621041696,-0.6948091610509389,102
6.250121044565971,-0.7031383291425617,103
6.299654722751106,-0.7115237209223075,104
6.349976529868048,-0.7199621670415138,105
6.4010846955088905,-0.7284704779155146,106
6.4529833215282535,-0.737028463485911,107
6.5056705474424765,-0.745649913950803,108
6.559148842593613,-0.7543203670287096,109
6.6134136241337025,-0.7630667798535903,110
6.668468788086025,-0.7718616909184405,111
6.724308791107899,-0.7807343787068102,112
6.780937592348799,-0.7896524064456474,113
6.8383497390125445,-0.7986405886659472,114
6.89654566284123,-0.8076842640271296,115
6.955519220692049,-0.816808786448739,116
7.015273304195857,-0.8259789669042044,117
7.07580067634306,-0.8352229990981961,118
7.137101343528299,-0.8445195958432489,119
7.19916815119637,-0.853892210467403,120
7.261999051532769,-0.8633283417152243,121
7.325588940009409,-0.872833373289092,122
7.389935535248531,-0.8823914158802472,123
7.4550315233250695,-0.8920179620769114,124
7.5208719295326825,-0.9017104412416155,125
7.587450140256905,-0.9114749966172754,126
7.654763585617316,-0.9212877281676831,127
7.722802608178161,-0.9311707617487575,128
7.79156321013815,-0.9411049474918708,129
7.861035098072848,-0.9511121689144317,130
7.931212169044194,-0.9611829179930143,131
8.002088086556924,-0.9713067682123011,132
8.073654484863779,-0.9814849949338952,133
8.145900358985115,-0.9917350791593119,134
8.218819438764129,-1.0020387681865535,135
8.292400124171799,-1.0124130454467326,136
8.366635667231009,-1.0228381345612996,137
8.441515785791069,-1.0333169318473376,138
8.517027960149075,-1.0438660445159171,139
8.59316355046567,-1.0544720249435409,140
8.669911890715698,-1.0651336010811547,141
8.747261271137777,-1.0758547472034075,142
8.825202332241938,-1.0866202205815088,143
8.903720263057272,-1.0974519913330267,144
8.982804721098864,-1.1083375223958813,145
9.062444534514114,-1.1192680925425313,146
9.142626411057323,-1.130248297719746,147
9.223337911772404,-1.1412744616605544,148
9.304564408330677,-1.1523569192270773,149
9.386295030638376,-1.1634764845607695,150
9.468515346003786,-1.1746381541256954,151
9.551211007804792,-1.1858444478973424,152
9.634368430449245,-1.197090446981122,153
9.717972844078783,-1.2083782042993232,154
9.802010005461568,-1.2197041578988927,155
9.886466040315055,-1.2310603224965306,156
9.971324017842432,-1.2424598306895052,157
10.056569384200689,-1.2538966061456371,158
10.1421876067724,-1.2653629078262267,159
10.228162631995117,-1.27686091489058,160
10.314478140157863,-1.2883934551577565,161
10.401118714075544,-1.299955316174384,162
10.488067121189669,-1.3115536631588498,163
10.57531016382891,-1.3231642407571076,164
10.662828499463572,-1.334807826236237,165
10.750607891361533,-1.3464658276371608,166
10.838628839777689,-1.3581583072549734,167
10.92687850431378,-1.3698543108860795,168
11.01533837044542,-1.381564825736647,169
11.103991192812224,-1.3932905718384614,170
11.192820535902923,-1.4050255009652983,171
11.281808182187726,-1.4167764815775732,172
11.370939474173928,-1.428522918266178,173
11.460195923697569,-1.4402728206549578,174
11.549559631482728,-1.452029417084116,175
11.63901293729414,-1.4637938648054998,176
11.728540403754842,-1.475550224292073,177
11.818123352570446,-1.4873071056085867,178
11.907745231162243,-1.4990569055674114,179
11.99738708468823,-1.5108103876814365,180
12.087032388884905,-1.5225599073943188,181
12.176664824131505,-1.5342964536973156,182
12.266267058656366,-1.5460190150078186,183
12.3558202803889,-1.5577382565059184,184
12.445309027835776,-1.5694396690032404,185
12.534715456377228,-1.5811274661530386,186
12.624024378987045,-1.592786109182947,187
12.713216957623056,-1.6044286653507043,188
12.80227757229499,-1.616044288442768,189
12.891188312025395,-1.627640493555269,190
12.97993534728402,-1.639194363357399,191
13.06849962859736,-1.6507239838522787,192
13.156866163841832,-1.6622173068683208,193
13.24501710388781,-1.6736853258296889,194
13.332939359859047,-1.6851035815139226,195
13.420613992873445,-1.6964938404679497,196
13.508027638012013,-1.7078362503045126,197
13.595161692751454,-1.719152647151177,198
13.682003512246933,-1.7304203864955625,199
13.768537083661965,-1.7416442374868393,200
13.854747683907886,-1.752820563219442,201
13.9406186471651,-1.7639622978727423,202
14.026137631477209,-1.7750506811603401,203
14.11129007947142,-1.7860857293177197,204
14.196061187325341,-1.7970711165540731,205
14.280438391058013,-1.8079950331756074,206
14.364405386530734,-1.8188763983531233,207
14.447951297652224,-1.8296941257165622,208
14.53106405483613,-1.8404382681956573,209
14.613727640083624,-1.8511314032311104,210
14.69593075687807,-1.8617616400998853,211
14.777661906147388,-1.872320723240727,212
14.85890712116415,-1.882821604718913,213
14.939657449841985,-1.8932405714182043,214
15.019898827383502,-1.9035956843788915,215
15.099618818489816,-1.913894603206671,216
15.178809358724148,-1.9241133843579026,217
15.25745960053816,-1.9342519041640531,218
15.335556178288295,-1.944331879354007,219
15.413091400315484,-1.9543333676541772,220
15.490054795685692,-1.964260320683853,221
15.566436316534258,-1.9741157829541573,222
15.642228455705895,-1.9838854906604333,223
15.717421101543291,-1.993577780277102,224
15.792004977749706,-2.0031969329867563,225
15.865972602361902,-2.0127357468155465,226
15.939317797149451,-2.022179343185742,227
16.01203014552668,-2.031548192345297,228
16.084103952452022,-2.040828575214402,229
16.155530934531434,-2.050029334290865,230
16.226305922030424,-2.059137603118608,231
16.296421568823263,-2.0681598876086973,232
16.36587247529059,-2.077090040253953,233
16.43465106520203,-2.085941304201887,234
16.502753144030297,-2.094703098576556,235
16.570174208823666,-2.1033696948545746,236
16.63690820427023,-2.1119498883173753,237
16.702950803082345,-2.1204414769360853,238
16.768297547790112,-2.12884570114495,239
16.832945038514456,-2.137157993763868,240
16.896889487584495,-2.1453792050667295,241
16.960128230619656,-2.1535038329389704,242
17.02265669478054,-2.1615435939091436,243
17.08447291751411,-2.1694922447572873,244
17.145575026270716,-2.177345172571517,245
17.205961016470756,-2.1851010953964023,246
17.26562838529875,-2.1927648960931023,247
17.324575157184004,-2.200339613874855,248
17.382800874679823,-2.207818705292054,249
17.4403045814784,-2.2152017152282433,250
17.497085739619198,-2.22248710874892,251
17.553142615934092,-2.2296848155355353,252
17.608475937132447,-2.2367877206440814,253
17.66308559761331,-2.2437972810991647,254
17.716972456141306,-2.2507094951502267,255
17.77013616408059,-2.2575317935977606,256
17.82257799537496,-2.264260949128965,257
17.874299115040472,-2.2708965359107047,258
17.925300649405578,-2.2774403459028685,259
17.97558463695341,-2.283888940215447,260
18.025152119505808,-2.2902484914540566,261
18.07400566285668,-2.296515095087268,262
18.12214723021172,-2.30269130827645,263
18.16957970923568,-2.3087742061153778,264
18.216305442144787,-2.3147668006310416,265
