benchmark,requirement,expected,actual,requirement_status,gate1_current_status,evidence,source_file
ma2005_wigley_iii_coefficients,provider_route_preserved,all rows use matched_bie_station_sweep,matched_bie_station_sweep,PASS,PENDING,8 matched row(s) in ma2005_wigley_iii_coefficients_comparison.csv,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,coefficient_output_complete,reference/computed/error/gate/status columns present and finite,present=True; numeric_ok=True; rows=8,PASS,PENDING,comparison table contains the hard-gate columns required by the objective,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,eq30_component_split_complete,time/gradient/Stokes/end contributions present and finite,present=True; numeric_ok=True,PASS,PENDING,Eq.30/Eq.32 split columns are available for every matched row,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,closure_residual_below_1e-9,<1e-9,1.546677495126755e-15,PASS,PENDING,reported coefficient equals the sum of pressure components to numerical precision,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,finite_numeric_outputs,no NaN/Inf in selected hard-gate numeric columns,finite=True,PASS,PENDING,selected comparison numeric columns are finite,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,current_default_gate,all coefficient rows PASS,"pass=1/8; failures=forward_speed_pressure_gradient_station_mapping,heave_time_derivative_body_potential_scale,mixed_component_cancellation",PENDING,PENDING,Gate 1 remains pending until every Wigley III coefficient passes,ma2005_wigley_iii_coefficients_gate1_failure_audit.csv
ma2005_wigley_iii_coefficients,diagnostic_candidate_exclusion,non-passing candidates remain diagnostic-only,best=gradient_flipped_keep_time_end; pass=0/8; max_gate=70.405; median_gate=29.0371; improved=3; worsened=3,PASS,PENDING,diagnostic_only_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_eq30_pressure_balance_candidate_summary.csv
ma2005_wigley_iii_coefficients,global_scale_fit_exclusion,global scale fits do not replace equation-level correction,best=least_squares_time_only; components=time_derivative; pass=2/8; max_gate=6.66667; time_scale=0.0894919; gradient_scale=0; stokes_scale=0; end_scale=0,PASS,PENDING,global_scale_fit_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_eq30_component_scale_fit_summary.csv
ma2005_wigley_iii_coefficients,full_four_component_scale_fit_exclusion,even time+gradient+Stokes+end least-squares scaling must not become a default correction unless it passes all rows and is equation-traced,full_four_component_fit=least_squares_time_gradient_stokes_end; pass=4/8; max_gate=9.04476; median_gate=0.881189; time_scale=0.0927999; gradient_scale=0.313511; stokes_scale=-0.0907734; end_scale=-1.30218,PASS,PENDING,explicitly checks the diagnostic fit containing all four Eq.30/Eq.32 contribution families,ma2005_wigley_iii_coefficients_eq30_component_scale_fit_summary.csv
ma2005_wigley_iii_coefficients,coefficient_family_scale_fit_exclusion,"shared A/B, row, column, diagonal/coupling, or matrix-cell scales must not replace equation-level correction unless the full Gate 1 passes",best=column_and_ab_family_scale; groups=4; pass=5/8; max_gate=5.98301; median_gate=0.283523; group_scale_spread=9.86681,PASS,PENDING,coefficient_family_scale_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_coefficient_family_scale_exclusion_summary.csv
ma2005_wigley_iii_coefficients,eq31_eq32_forward_identity_exclusion,Eq.31 direct-gradient or Eq.32 Stokes route can replace the current hybrid only if it passes all rows and the forward identity closes,best_equation_route=eq31_direct_time_plus_gradient; pass=0/8; max_gate=148.955; median_gate=35.2765; identity_max_residual_over_tol=146.046; identity_pass=2/8,PASS,PENDING,eq31_eq32_forward_routes_excluded_because_full_gate_not_passed_or_identity_not_closed,ma2005_wigley_iii_coefficients_eq31_eq32_forward_identity_summary.csv
ma2005_wigley_iii_coefficients,eq30_component_contribution_audit,time/gradient/Stokes/end contribution dominance and required diagnostic scales are reported,"pass=1/8; max_gate=163.904; max_closure=1.54668e-15; dominant_current=forward_speed_pressure_gradient:5;time_derivative_pressure:3; failure_sources=forward_speed_pressure_gradient_station_mapping:4;mixed_component_cancellation:1;passed_current_default:1;time_derivative_body_potential_scale:2; conclusion=Gate 1 remains PENDING: time-derivative body-potential scale dominates A33/A53, while forward-speed pressure-gradient/station mapping dominates most remaining failed damping/coupling rows.",PASS,PENDING,component-level audit records four pressure/forward-speed contribution families and keeps single-component inverse scales diagnostic-only,ma2005_wigley_iii_coefficients_eq30_component_contribution_summary.csv
ma2005_wigley_iii_coefficients,station_mapping_gradient_audit,forward-gradient-dominant failures are checked against adjacent station/body/geometry mapping jumps,"forward_gradient_failures=4; high_mapping_risk=4; peak_near_aft_startup=8; max_body_jump=1.05782; max_panel_y_jump=0.484868; max_beam_jump=0.486842; max_gradient_gain_L=98.2818; conclusion=Forward-gradient-dominant failures coincide with large body-potential, panel, or station-geometry jumps at the pressure-gradient peak.",PASS,PENDING,"diagnostic-only audit links Eq.30 forward-speed pressure-gradient peaks to station-to-station body-potential jumps, panel geometry jumps, hull-section geometry jumps, and dphi/dx gain.",ma2005_wigley_iii_coefficients_station_mapping_gradient_summary.csv
ma2005_wigley_iii_coefficients,station_marching_direction_audit,A1 local-time station marching direction is checked against solve_order and pressure-gradient peak location,"a1_match=8/8; mismatch=0; aft_peak=8; bow_start_peak=0; march_start_peak=0; first_x_over_l_range=[0.975, 0.975]; last_x_over_l_range=[0.025, 0.025]; conclusion=a1_bow_to_aft_marching_confirmed_aft_terminal_gradient_peak_remains",PASS,PENDING,"diagnostic-only audit distinguishes storage order, A1 bow-to-aft local-time marching, and aft/bow pressure-gradient peaks before any station-order or endpoint correction can alter the default route.",ma2005_wigley_iii_coefficients_station_marching_direction_summary.csv
