stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,80,0.046981335664977454,-0.0009606397897040408,0.0009606397897040408,26933.620341265,2.7755923662573574
source,160,0.04813705146412703,0.0002562594878297336,0.0002562594878297336,48946.34321591056,2.771387052903452
source,320,0.048505184092822916,0.0007411664186474419,0.0007411664186474419,114662.93667880258,2.7686197817034564
candidate_factor_1,80,0.03187591780228408,-0.0007130649862085511,0.0007130649862085511,26901.859367057627,2.7299425949420577
candidate_factor_1,160,0.032291065900646856,0.00045777777473353105,0.00045777777473353105,48624.43122417983,2.7259405864519652
candidate_factor_1,320,0.03242597079373215,0.0008817589479407013,0.0008817589479407013,113943.31175189276,2.723254525649785
candidate_factor_0.5,80,0.0389801650868414,-0.0008372657245410015,0.0008372657245410015,32147.892855339214,2.752670365743842
candidate_factor_0.5,160,0.039739929694125396,0.000316020502383925,0.000316020502383925,48837.71175683866,2.74858978396427
candidate_factor_0.5,320,0.039982728400680394,0.0007613285527258404,0.0007613285527258404,114395.07935876283,2.7458634354367644
candidate_factor_0.25,80,0.04286809422910674,-0.0008987775832982245,0.0008987775832982245,27087.99947025984,2.7640909947871837
candidate_factor_0.25,160,0.04381901924243697,0.0002922818057586188,0.0002922818057586188,48891.76961091988,2.7599701819111653
candidate_factor_0.25,320,0.04412280256153264,0.0007408221485879893,0.0007408221485879893,114529.24475364127,2.7572227806191214
candidate_factor_0.125,80,0.04489651401459393,-0.0009295059208396121,0.0009295059208396121,26873.39452565771,2.7698150245503537
candidate_factor_0.125,160,0.04594818563556173,0.00027451393453894335,0.00027451393453894335,48919.05944089096,2.765673998699617
candidate_factor_0.125,320,0.046283240805703986,0.0007497053962497403,0.0007497053962497403,114595.92253848513,2.7629171111574626
