reuse_step,step_factor,source_objective,source_curvature_energy,source_maximum_turning_angle_deg,candidate_objective,relative_decrease,maximum_displacement_ratio,condition_number,root_relative_mismatch,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,accepted,rejection_reason,outer_shape_dipole_coefficient
1,1.0,0.054203349136501225,21.159646181334754,7.83281133796131,0.04936386675376496,0.08928382581210828,0.2501796747450604,191668.71774196776,0.0027432379911655753,21.159677929095256,1.0000015003918417,7.83384953897216,False,displacement_limit,
1,0.75,0.054203349136501225,21.159646181334754,7.83281133796131,0.05055086609254594,0.06738482219534389,0.1876347740427805,191679.0996309133,0.002778647251179806,21.159669511297693,1.0000011025686697,7.833597379051294,True,,7.682988995266474
1,0.5,0.054203349136501225,21.159646181334754,7.83281133796131,0.05175296824803323,0.045207186041164346,0.12508986101618128,191689.48097060548,0.0028140493055753644,21.159661412147102,1.00000071980468,7.833344666027056,True,,
1,0.25,0.054203349136501225,21.159646181334754,7.83281133796131,0.052970173828961464,0.022750906118997074,0.06254493616016658,191699.86176496054,0.002849444153603697,21.15965363130511,1.0000003520838814,7.83309140001651,True,,
1,0.125,0.054203349136501225,21.159646181334754,7.83281133796131,0.053584440593334226,0.011418271251254065,0.0312724694508245,191705.05195095527,0.0028671388783474716,21.159649860145475,1.0000001738597466,7.832964559741056,True,,
2,1.0,0.05055086609254594,21.159669511297693,7.833597379051294,0.04589360973608274,0.09213010016360428,0.25018025451263115,191637.56942261368,0.002636945942837703,21.15970628997869,1.0000017381500679,7.834608626628306,False,displacement_limit,
2,0.75,0.05055086609254594,21.159669511297693,7.833597379051294,0.047035316967152366,0.06954478522598385,0.18763521005017336,191647.95295637095,0.0026723746979487404,21.159696616649192,1.0000012809912502,7.8343572169947615,True,,7.682473514233384
2,0.5,0.05055086609254594,21.159669511297693,7.833597379051294,0.04819212521587755,0.04666074113053045,0.1250901524805938,191658.33594154482,0.0027077962470576666,21.159687262732117,1.0000008389277733,7.834105252990653,True,,
2,0.25,0.05055086609254594,21.159669511297693,7.833597379051294,0.04936403508202839,0.02347795601255895,0.06254508229813785,191668.71837520937,0.002743210585158784,21.159678227876384,1.000000411943045,7.833852734822287,True,,
2,0.125,0.05055086609254594,21.159669511297693,7.833597379051294,0.04995565331194698,0.011774531805434946,0.03127254263160242,191673.9093870973,0.0027609150510681875,21.15967382998755,1.000000204100062,7.833726267974023,True,,
3,1.0,0.047035316967152366,21.159696616649192,7.8343572169947615,0.04255931266523449,0.09516262652261374,0.25018081837495754,191606.41632314413,0.0025305764094990563,21.159738407811414,1.0000019750359836,7.835365255793954,False,displacement_limit,
