reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,0.5,320,0.004503062983436784,2.9499433270610838e-08,2.9499433270610838e-08,252855.77757374998
1,0.25,320,0.004592226319113299,7.2710218503159695e-09,7.2710218503159695e-09,252842.5930827984
2,0.5,320,0.004343529043763625,3.054388746333468e-08,3.054388746333468e-08,252873.9074236882
2,0.25,320,0.004420707744935209,7.536493058636745e-09,7.536493058636745e-09,252862.11256832103
3,0.5,320,0.004209012678535603,3.161649842224669e-08,3.161649842224669e-08,252891.78911845328
3,0.25,320,0.004273514472516069,7.804708079451365e-09,7.804708079451365e-09,252881.42815574087
4,0.5,320,0.004101000077666048,3.2675153138949156e-08,3.2675153138949156e-08,252910.01505987914
4,0.25,320,0.004152068651144268,8.07907560895656e-09,8.07907560895656e-09,252900.54020862866
5,0.5,320,0.004021102767826915,3.37314116201193e-08,3.37314116201193e-08,252928.82286141114
5,0.25,320,0.004057894258428619,8.369426574718157e-09,8.369426574718157e-09,252922.75499714108
6,0.5,320,0.003971067626699689,3.474547684421615e-08,3.474547684421615e-08,252947.42842342143
6,0.25,320,0.003992727044386272,8.614648006371526e-09,8.614648006371526e-09,252940.00985910892
