,surge,sway,heave,roll,pitch,yaw
surge,4.01679557343738,0.0,0.0,0.0,0.0,0.0
sway,0.0,239.16567880660668,0.0,0.0,0.0,106.05580996786226
heave,0.0,0.0,24732.361560989746,0.0,17733.56517329557,0.0
roll,0.0,0.0,0.0,448.31090849593204,0.0,0.0
pitch,0.0,0.0,17733.56517329557,0.0,92119.66393760595,0.0
yaw,0.0,106.05580996786226,0.0,0.0,0.0,1582.13967537916
