,surge,sway,heave,roll,pitch,yaw
surge,0.0,0.0,0.0,0.0,0.0,0.0
sway,0.0,0.0,0.0,0.0,0.0,0.0
heave,0.0,0.0,158491.49454804562,0.0,40286.34121249442,0.0
roll,0.0,0.0,0.0,37793.127842231515,0.0,0.0
pitch,0.0,0.0,40286.34121249442,0.0,1215210.1934739558,0.0
yaw,0.0,0.0,0.0,0.0,0.0,0.0
