wave_period_s,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,radiation_model,matrix_status,matrix_type,row_dof,col_dof,row_index,col_index,value
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,surge,surge,0,0,50.20994466796725
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,surge,sway,0,1,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,surge,heave,0,2,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,surge,roll,0,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,surge,pitch,0,4,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,surge,yaw,0,5,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,sway,surge,1,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,sway,sway,1,1,2989.5709850825833
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,sway,heave,1,2,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,sway,roll,1,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,sway,pitch,1,4,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,sway,yaw,1,5,1325.6976245982783
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,heave,surge,2,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,heave,sway,2,1,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,heave,heave,2,2,6527.6020566724455
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,heave,roll,2,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,heave,pitch,2,4,4680.412592702957
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,heave,yaw,2,5,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,roll,surge,3,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,roll,sway,3,1,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,roll,heave,3,2,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,roll,roll,3,3,5603.88635619915
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,roll,pitch,3,4,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,roll,yaw,3,5,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,pitch,surge,4,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,pitch,sway,4,1,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,pitch,heave,4,2,4680.412592702957
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,pitch,roll,4,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,pitch,pitch,4,4,59949.37120989513
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,pitch,yaw,4,5,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,yaw,surge,5,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,yaw,sway,5,1,1325.6976245982783
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,yaw,heave,5,2,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,yaw,roll,5,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,yaw,pitch,5,4,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,added_mass,yaw,yaw,5,5,19776.7459422395
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,surge,surge,0,0,25.238270928965747
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,surge,sway,0,1,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,surge,heave,0,2,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,surge,roll,0,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,surge,pitch,0,4,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,surge,yaw,0,5,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,sway,surge,1,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,sway,sway,1,1,1502.7222790593032
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,sway,heave,1,2,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,sway,roll,1,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,sway,pitch,1,4,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,sway,yaw,1,5,666.3683069311026
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,heave,surge,2,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,heave,sway,2,1,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,heave,heave,2,2,12214.476448249505
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,heave,roll,2,3,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,heave,pitch,2,4,8758.007746998514
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,heave,yaw,2,5,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,roll,surge,3,0,0.0
1.0,6.283185307179586,6.283185307179586,4.025678249387654,prototype,frequency_forward_speed_prototype_not_validated,damping,roll,sway,3,1,0.0
