component,sigma,in_phase_center_from_cg_m,in_phase_center_from_transom_m,in_phase_center_from_transom_over_beam,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,restoring_subtraction,response_calibration_used
raw_bem,1.4,0.5338155346832616,1.0012755346832616,3.148665203406483,0.09700224608889324,0.5644622460888933,1.7750385097135009,zero_diagnostic_only,False
resolved_station_bem,1.4,0.7444203824983291,1.211880382498329,3.810944599051349,0.10080591713987631,0.5682659171398763,1.7869997394335733,zero_diagnostic_only,False
transom_extrapolation,1.4,-0.4017504510189071,0.06570954898109288,0.2066338018273361,-0.44133775125507285,0.026122248744927135,0.08214543630480231,zero_diagnostic_only,False
pre_chine_bem,1.4,0.4126077268429883,0.8800677268429883,2.7675085749779504,0.3387516672072973,0.8062116672072973,2.535256815117287,zero_diagnostic_only,False
post_chine_bem,1.4,-0.03302519745605195,0.43443480254394806,1.3661471778111574,-0.01235701271122569,0.4551029872887743,1.4311414694615543,zero_diagnostic_only,False
longitudinal_bin_aft_post_chine,1.4,-0.3365207915189408,0.13093920848105917,0.4117585172360351,-0.3312881955664301,0.1361718044335699,0.42821322148921354,zero_diagnostic_only,False
longitudinal_bin_middle_post_chine,1.4,-0.07547405543578982,0.39198594456421015,1.2326602030321074,-0.10685194535592786,0.36060805464407214,1.1339875932203527,zero_diagnostic_only,False
longitudinal_bin_forward_post_chine,1.4,0.03636156480166741,0.5038215648016674,1.5843445434014698,0.12448074745410412,0.5919407474541041,1.861448891365107,zero_diagnostic_only,False
longitudinal_bin_pre_chine,1.4,0.4126077268429883,0.8800677268429883,2.7675085749779504,0.3387516672072973,0.8062116672072973,2.535256815117287,zero_diagnostic_only,False
bem,1.4,0.5338155346832616,1.0012755346832616,3.148665203406483,0.09700224608889324,0.5644622460888933,1.7750385097135009,zero_diagnostic_only,False
front,1.4,-3.2896854775895883,-2.8222254775895883,-8.87492288550185,0.5236825086340904,0.9911425086340904,3.1168003416166363,zero_diagnostic_only,False
transom,1.4,nan,nan,nan,nan,nan,nan,zero_diagnostic_only,False
total,1.4,0.6754914782574203,1.1429514782574204,3.594187038545347,0.1844288584904012,0.6518888584904012,2.049964963806293,zero_diagnostic_only,False
