component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,diagnostic_zero_restoring_component,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-22.119848363346684,-0.6878611564302362,0.03743012934528902,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,A53,-11.807918681192579,-1.154688588074381,0.04873785833108191,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,B33,359.94128983748806,2.0155961997398424,0.03743012934528902,zero_diagnostic_only,False,False
raw_bem,1.4,7.774541989381373,B53,34.91511357436966,0.6148344609528371,0.04873785833108191,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,A33,-18.05540424906105,-0.5614690952020376,0.07733495048141045,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,A53,-13.440810937247981,-1.3143680459474576,0.08299187819582123,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,B33,357.41594767447486,2.0014548099895575,0.07733495048141045,zero_diagnostic_only,False,False
resolved_station_bem,1.4,7.774541989381373,B53,36.02964240574348,0.6344606532547616,0.08299187819582123,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,A33,-4.064444114285656,-0.12639206122819932,0.23568296168399308,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,A53,1.632892256055405,0.15967945787307672,0.2408096285283848,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,B33,2.525342163013094,0.01414138975028436,0.23568296168399308,zero_diagnostic_only,False,False
transom_extrapolation,1.4,7.774541989381373,B53,-1.1145288313738204,-0.01962619230192464,0.2408096285283848,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,A33,-28.136231318214186,-0.8749526802455553,0.04799775610116298,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,A53,-11.609226446136852,-1.1352586053185487,0.048211840443682,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,B33,112.1103376804039,0.6277945236074379,0.04799775610116298,zero_diagnostic_only,False,False
pre_chine_bem,1.4,7.774541989381373,B53,37.97756380040991,0.668762394766134,0.048211840443682,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,A33,6.016382954867471,0.18709152381531807,0.02681055147088683,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,A53,-0.19869223505572356,-0.01942998275583184,0.09199706520138312,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,B33,247.8309521570842,1.3878016761324046,0.02681055147088683,zero_diagnostic_only,False,False
post_chine_bem,1.4,7.774541989381373,B53,-3.062450226040255,-0.05392793381329698,0.09199706520138312,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,A33,0.3695651808943249,0.011492372304303555,0.008679539950591795,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,A53,-0.12436636719239876,-0.012161705107781716,0.011001079644713606,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,B33,37.27576677223209,0.2087365244549239,0.008679539950591795,zero_diagnostic_only,False,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,B53,-12.34902151232786,-0.2174589513694332,0.011001079644713606,zero_diagnostic_only,False,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,A33,2.5005718006578075,0.07776030749774446,0.021947174552272637,zero_diagnostic_only,False,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,A53,-0.18872829470402014,-0.018455615593675558,0.008204205429475683,zero_diagnostic_only,False,False
