station_index,x_m,omega_rad_s,waterplane_beam_m,draft_m,added_mass_per_m,damping_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,section_solver,status
0,0.0,0.7853981633974483,1.6484864516727733,0.3,204.0343218743533,1.1673130010547943,7.6761407825550805,3.0087443619538823e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
1,2.2,0.7853981633974483,1.8682846452291433,0.34,214.2028279973817,2.0481968051998196,7.789376942986765,2.3185080947088073e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
2,4.4,0.7853981633974483,1.978183742007328,0.36,213.7871229761515,2.651162662800368,7.851288661924655,3.055750085887769e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
3,6.6,0.7853981633974483,1.4850521120497775,0.3,187.07147694959107,0.7268438119819197,7.529350722589424,1.7049814426821791e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
4,8.8,0.7853981633974483,0.8984147095616863,0.2,102.96252541426288,0.07652190479504145,7.251512959631657,2.6238010897087047e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
5,11.0,0.7853981633974483,0.2256871758415598,0.06,11.538759435444346,0.000983213445061541,7.092092765689493,2.0425715290847638e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.0,1.6484864516727733,0.3,179.86427010488893,2.6465268242624944,8.13880214941967,2.9546285568286334e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.0,1.8682846452291433,0.34,171.11520428247627,4.795728477504514,8.393687099849334,2.401459046999243e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
2,4.4,1.0,1.978183742007328,0.36,157.5315755865799,6.317316777537318,8.535205727806785,1.6180596182016822e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
3,6.6,1.0,1.4850521120497775,0.3,172.18046649941493,1.612776181498993,7.896718073226112,2.808658633944575e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
4,8.8,1.0,0.8984147095616863,0.2,101.4417994013341,0.1596197627839297,7.369871368614158,1.8233130612525822e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
5,11.0,1.0,0.2256871758415598,0.06,11.519397431019907,0.0020131779560954148,7.079980983289404,1.5401468418839217e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
0,0.0,6.283185307179586,1.6484864516727733,0.3,511.7344226502572,31.31078777645693,4.300428615043672,3.998644458009181e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
1,2.2,6.283185307179586,1.8682846452291433,0.34,640.5446389714145,34.11730622857765,4.517954211486397,3.6729800156749584e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
2,4.4,6.283185307179586,1.978183742007328,0.36,711.1644170805694,35.73346444264348,4.653869805670059,9.190273379679942e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
3,6.6,6.283185307179586,1.4850521120497775,0.3,424.10516103837324,29.609036712350658,4.178386886318057,3.59359253216409e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
4,8.8,6.283185307179586,0.8984147095616863,0.2,223.87222271628667,62.54836851933628,12.383516638436678,3.2680216165800696e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
5,11.0,6.283185307179586,0.2256871758415598,0.06,10.136320244692165,0.25504151469314845,6.0600789337984615,2.4894585198194147e-16,8,8,collocation,experimental_2d_free_surface_source_panel_not_validated
