frequency_index,status,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
0,PASS,1.1345853244035931e-13,7.714894039740188e-14,0.0,2.0463630789890885e-12,0.0
1,PASS,1.20218526241828e-12,1.0740084299189534e-12,6.0254023992456496e-12,2.432898327242583e-11,0.0
2,PASS,4.089175203592744e-12,4.143456975985382e-12,2.9189095585024916e-11,5.786660040030256e-11,0.0
3,PASS,4.524634764302392e-12,5.6617550037580365e-12,1.2209966371301562e-10,1.6007106751203537e-10,0.0
4,PASS,9.082579570794659e-12,4.081398635667212e-12,1.1628173979261192e-09,1.271359906240832e-09,0.0
5,PASS,8.556325420667577e-11,5.593318211687931e-11,1.3082484429105534e-08,1.1866063687193673e-08,0.0
6,PASS,5.2347796944743366e-11,2.704198218360475e-10,2.3865851517257397e-08,1.7222134829353308e-08,0.0
7,PASS,3.277874072778476e-09,3.968754130449713e-09,1.73354635535361e-07,9.695693847788789e-08,0.0
