station_index,x_m,omega_rad_s,waterplane_beam_m,draft_m,added_mass_per_m,damping_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,0.7853981633974483,0.24,0.14,13.688792178493086,0.0009226467327491315,1.3511539625978084,3.437257153563812e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,0.7853981633974483,0.36,0.2,27.922298104492008,0.002149484011838064,1.3462021663988153,3.342481851287385e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,0.7853981633974483,0.32,0.18,22.727911443910514,0.0016187261450594237,1.3487857688869145,2.1361852541437054e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,0.7853981633974483,0.1,0.08,2.7306146461941414,0.00018210850577591792,1.420073213605214,9.614484806850005e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.0,0.24,0.14,13.67062402754367,0.0018889261337539944,1.3487620626986336,1.4401441893460386e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.0,0.36,0.2,27.880021904745185,0.0043901556960915375,1.3424636942586095,3.3270972902733454e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.0,0.32,0.18,22.696060692071885,0.003308952988965856,1.3454388217541522,2.513724064388573e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.0,0.1,0.08,2.7270257430016875,0.00037344533429203283,1.420939643901275,1.0758804733213988e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.1087974071493387,0.24,0.14,13.659815534457657,0.0025624335062881943,1.3473982164975498,2.5819217287286226e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.1087974071493387,0.36,0.2,27.854918786870012,0.005947075553552477,1.3403567860532677,1.5068933633162872e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.1087974071493387,0.32,0.18,22.677135212848956,0.0044847114175345345,1.3435440675413164,1.5090975525773224e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.1087974071493387,0.1,0.08,2.72488784231409,0.0005070979055469779,1.42148228438527,1.3443804372668076e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.8849555921538759,0.24,0.14,13.5532409212147,0.011990558228605983,1.3360131832603876,4.6289017933748735e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,1.8849555921538759,0.36,0.2,27.609276694592143,0.027445590925606923,1.3233416993477651,1.7678206675838586e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,1.8849555921538759,0.32,0.18,22.491437736362517,0.020799395862353177,1.3279937954430934,1.29995159011297e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,1.8849555921538759,0.1,0.08,2.7036944687399593,0.0023961166734606074,1.4280662877126804,1.6908785990767454e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,6.283185307179586,0.24,0.14,12.379030142339648,0.23698266279632788,1.516405583085815,1.8979002916425474e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
1,1.3,6.283185307179586,0.36,0.2,25.107906814045776,0.4704692265537374,1.7464821767343248,1.7368766493741845e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
2,2.6,6.283185307179586,0.32,0.18,20.54936426923097,0.37370556764644236,1.6611597816550294,1.7796080586835128e-16,2,8,experimental_2d_free_surface_source_panel_not_validated
3,4.0,6.283185307179586,0.1,0.08,2.455496209062977,0.05304977534072241,1.7558226682319338,2.683136285699974e-17,2,8,experimental_2d_free_surface_source_panel_not_validated
