outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,s_nu_continuous_normal_left,s_nu_continuous_normal_right,k_contribution_continuous_normal_exact
0,4.316177932019986,0.418346129759421,0.016472212495678977,0.008236106247839488,0.0005226484587950276,-0.18285529995755967,0.0005507658972405841,0.15228816219269986,0.15228816219269986,-0.7562377324399847,0.3905271325248654,0.002355941464933033,-0.8046661934029241,0.48738405445074406,0.002706106832818029,-0.7562377324399854,0.6727650587826959,0.0028317820296556682
1,4.324232438838486,0.4024025501454058,0.019331723029257102,0.026138074010307526,0.0016586750688095094,0.2514024178748846,0.0012218262874597212,0.337838055638895,0.4901262178315949,0.5979008745056991,-0.09509603875593076,0.00199548944978553,0.48738405445074406,0.0021425471915122838,0.0015374651449657033,0.31347586904447566,0.1490909182720035,0.0010776251685503074
2,4.33587086619527,0.38503791359217965,0.022544387808078808,0.04707612942897548,0.0029873663296346516,-0.034670834699800146,2.709985963204392e-05,0.007493179660761321,0.49761939749235623,0.1406609018224767,-0.21000257122207744,0.0002581138384638338,0.0021425471915122838,-0.004961530284612377,1.3960220220542426e-07,-0.10360027092385837,0.13548996552546777,0.00011312585750101975
3,4.352041844464948,0.36694602846960034,0.02614264954092958,0.07141964810347967,0.004532162151108559,0.024009047369261793,1.506952134126532e-05,0.004166760726622311,0.5017861582189785,0.2058494965866564,-0.1578314018481315,0.00030321335990872336,-0.004961530284612377,0.029604825702222615,6.572063831627461e-06,-0.13962966505562235,0.08829423421859373,0.00013039797440541454
4,4.373417970751981,0.34871471019115324,0.030137533108687435,0.09955973942828819,0.006317881630519181,0.008686687384781955,2.274134178897666e-06,0.0006288038464601049,0.5024149620654386,0.19154911754350445,-0.1741757427739401,0.00033819379248456943,0.029604825702222615,0.007398590902863816,1.1554919521151331e-05,-0.054631020157960286,0.04944853100266133,2.7407895241463488e-05
5,4.4001053106139905,0.3305144201596045,0.03455259690487309,0.13190480443506847,0.008370441161286922,0.014390477270016966,7.155353418050938e-06,0.0019784732993340026,0.5043934353647725,0.17680713024960681,-0.14802617570957288,0.00031097828636701734,0.007398590902863816,0.015296032213134603,4.628629412207238e-06,-0.046820605910337765,0.03278136331118775,1.9947716651916542e-05
6,4.4324042264983525,0.31258024006430196,0.039397655884645104,0.16887993082982755,0.010716816043111881,0.01123939318208178,4.97686787066398e-06,0.0013761165411594852,0.5057695519059321,0.15625325767933873,-0.13377447131517517,0.00028114157749350164,0.015296032213134603,0.010240712829625836,6.506957216049465e-06,-0.024561250097250298,0.020268212804608998,6.779585565372956e-06
7,4.470570005720161,0.29500918436508794,0.04468551784674358,0.2109215176955219,0.013384699375289195,0.01147205587054545,5.88097457741206e-06,0.0016261043299579197,0.50739565623589,0.13803026116040495,-0.11508614941931383,0.00024445664642121044,0.010240712829625836,0.01082370874976161,4.958116836179876e-06,-0.016014993791247933,0.014016064113538285,3.4029943259840426e-06
8,4.514916324468816,0.2778955025219634,0.05042175067739501,0.2584751519575912,0.016402367301039018,0.010204570105045496,5.250580820600149e-06,0.0014517988634001335,0.5088474550992902,0.12045740170840702,-0.1000482614983158,0.00020955425182138322,0.01082370874976161,0.009299254292118185,5.114130629383976e-06,-0.008647046064023556,0.009908291020394921,1.4667382675784135e-06
9,4.565775435439651,0.2612950692270303,0.056609233558570234,0.31199064407557375,0.01979836398144344,0.009566948112112117,5.181244799042466e-06,0.0014326272782499356,0.5102800823775401,0.10539862397633759,-0.0862647277521138,0.00017847550810752067,0.009299254292118185,0.008793257734485176,4.633810171754358e-06,-0.0045595073981266054,0.007615754097525684,8.314902170004433e-07
10,4.623503880217272,0.24525691181013226,0.06324565111500742,0.37191808641236257,0.02360125146666338,0.008796852121140564,4.894239871249776e-06,0.001353269690547469,0.5116333520680876,0.09219988685839686,-0.07460618261611551,0.0001515412186152887,0.008793257734485176,0.00805571270127124,4.491534255850436e-06,-0.0016818405060365915,0.006185797969528117,6.469852688201564e-07
11,4.688469419604488,0.22981790769206445,0.07032424484302244,0.43870303439137753,0.02783930390085759,0.008205677042666393,4.735151923022469e-06,0.0013092814708992922,0.5129426335389868,0.08093225492313416,-0.06452090083780138,0.0001287204320527479,0.00805571270127124,0.007560518466647399,4.288872016379616e-06,0.00013931766683872304,0.005354408070139316,6.899994281252903e-07
12,4.7610446575646765,0.2150092305717524,0.07783328973092908,0.5127818016783533,0.032540208962898255,0.007687637151678306,4.5999291303962795e-06,0.0012718920270742844,0.5142145255660611,0.07126619662274036,-0.055890922319384195,0.00010947336570236661,0.007560518466647399,0.007111554727841394,4.1900952464055965e-06,0.001390147235177941,0.004859970607838937,8.382100042407723e-07
13,4.841598869605573,0.2008555198044034,0.0857562043802684,0.594576548733952,0.03773075619477157,0.0072626826108799225,4.523344668779944e-06,0.0012507162299334267,0.5154652417959945,0.06299183551539,-0.04846647029363038,9.330212604836974e-05,0.007111554727841394,0.006750572020334195,4.1206283732455e-06,0.002240372316691386,0.0045739803902674625,1.0344480441364684e-06
14,4.930491187861172,0.18737569920174119,0.09407152544829397,0.6844904136482333,0.04343652801310876,0.006895425765449437,4.472809082847658e-06,0.0012367430127362164,0.5167019848087308,0.05587285986586754,-0.04208200833496889,7.969205750349946e-05,0.006750572020334195,0.006430970791012128,4.0871048516636776e-06,0.002831971565974256,0.004403378743169761,1.2505257348044192e-06
15,5.028064105598215,0.17458275416193675,0.10275304841579891,0.7829027005802798,0.04968159437623644,0.006573224917449605,4.43968033130304e-06,0.001227582829228586,0.5179295676379594,0.0497242295267456,-0.03657777969184628,6.821538744933107e-05,0.006430970791012128,0.0061524102138473405,4.068181811712919e-06,0.003238508602590673,0.004303218497411887,1.4707947199968673e-06
16,5.13463761197635,0.16248403162059522,0.11177001599550088,0.8901642327859296,0.05648821789569163,0.006296154422161138,4.430737852032161e-06,0.0012251102111154612,0.5191546778490749,0.04440172212291371,-0.03180941327859166,5.8528703117560966e-05,0.0061524102138473405,0.005923892356031865,4.075539685811968e-06,0.003520470184114166,0.0042609161668036855,1.6970244659427038e-06
17,5.250503804799073,0.15108165100209225,0.1210873928665515,1.0065929372169558,0.06387657364284341,0.0060819583350711914,4.479048961049131e-06,0.0012384683548250595,0.5203931462038999,0.039803122793209744,-0.02763920612306736,5.037589053780909e-05,0.005923892356031865,0.00576573498081019,4.136821370967711e-06,0.003732600119259022,0.004279682281541297,1.946371938373335e-06
